"ppm", "INTENSITY"
0.00,0.0526
0.53,0.0042
0.61,0.0889
0.63,0.0153
0.65,0.0327
0.65,0.0311
0.69,0.0092
0.73,0.1172
0.74,0.0340
0.76,0.0341
0.78,0.1102
0.78,0.0840
0.79,0.1121
0.82,0.1203
0.83,0.1292
0.85,0.0763
0.87,0.1419
0.88,0.2153
0.89,0.1393
0.93,0.2009
0.95,0.1173
0.96,0.1077
0.98,0.0987
0.98,0.1010
1.01,0.1169
1.03,0.0940
1.04,0.1336
1.06,0.0686
1.09,0.1176
1.11,0.0573
1.12,0.0603
1.13,0.0611
1.17,0.1760
1.18,0.1587
1.21,0.0810
1.21,0.0885
1.26,0.1220
1.30,0.2306
1.34,0.0948
1.36,0.1035
1.38,0.1292
1.39,0.0959
1.43,0.0772
1.45,0.0831
1.48,0.0650
1.52,0.0472
1.54,0.0585
1.55,0.0638
1.59,0.1007
1.60,0.0719
1.62,0.0607
1.64,0.1224
1.66,0.1781
1.72,0.0437
1.73,0.0438
1.74,0.0300
1.75,0.0290
1.76,0.0286
1.78,0.0359
1.80,0.0457
1.81,0.0397
1.83,0.0454
1.84,0.0455
1.86,0.0465
1.88,0.0484
1.90,0.0379
1.92,0.0299
1.96,0.0317
1.98,0.0402
2.01,0.0569
2.02,0.0474
2.04,0.0322
2.08,0.0219
2.11,0.0313
2.17,0.0118
2.18,0.0106
2.24,0.0315
2.25,0.0532
2.27,0.0370
2.28,0.0182
2.30,0.0149
2.30,0.0146
2.31,0.0127
2.32,0.0124
2.33,0.0133
2.35,0.0193
2.36,0.0330
2.37,0.0327
2.38,0.0259
2.40,0.0168
2.41,0.0187
2.41,0.0186
2.43,0.0145
2.44,0.0131
2.45,0.0094
2.46,0.0082
2.47,0.0071
2.47,0.0079
2.48,0.0110
2.49,0.0122
2.50,0.0129
2.51,0.0156
2.52,0.0165
2.54,0.0127
2.55,0.0289
2.57,0.0057
2.61,0.0025
2.64,0.0029
2.67,0.0025
2.69,0.0022
2.70,0.0025
2.71,0.0020
2.75,0.0067
2.79,0.0034
2.83,0.0012
2.85,0.0005
2.93,0.0055
2.95,0.0065
2.99,0.0007
3.10,0.0156
3.11,0.0209
3.12,0.0159
3.12,0.0113
3.14,0.0082
3.16,0.0299
3.19,0.0102
3.19,0.0099
3.21,0.0059
3.24,0.0623
3.51,0.0756
3.52,0.0850
3.52,0.1039
3.54,0.1007
3.55,0.0429
3.57,0.0551
3.58,0.1218
3.59,0.1515
3.60,0.1234
3.61,0.1119
3.62,0.0892
3.64,0.0725
3.65,0.0772
3.66,0.0922
3.66,0.1095
3.67,0.1009
3.69,0.1010
3.71,0.1129
3.74,0.1873
3.75,0.1616
3.76,0.2111
3.77,0.1595
3.79,0.2047
3.79,0.2121
3.82,0.3463
3.82,0.3415
3.83,0.2721
3.84,0.1714
3.85,0.1642
3.85,0.1704
3.86,0.1457
3.87,0.1113
3.88,0.1423
3.97,0.0256
4.00,0.0178
4.81,0.0064
4.84,0.0177
4.88,0.0150
4.90,0.0141
4.91,0.0144
4.92,0.0106
4.94,0.0109
4.96,0.0087
5.00,0.0093
5.01,0.0107
5.02,0.0108
5.04,0.0087
5.05,0.0075
5.07,0.0077
5.09,0.0082
5.10,0.0081
5.12,0.0092
5.12,0.0096
5.14,0.0083
5.16,0.0087
5.17,0.0089
5.19,0.0066
5.21,0.0076
5.23,0.0082
5.26,0.0069
5.27,0.0099
5.29,0.0132
5.30,0.0141
5.31,0.0182
5.32,0.0212
5.32,0.0272
5.33,0.0192
5.35,0.0093
5.36,0.0100
5.46,0.0123
5.52,0.0011
5.55,0.0043
5.60,0.0023
5.66,0.0019
5.68,0.0023
5.71,0.0024
5.78,0.0008
5.80,0.0012
5.81,0.0013
5.84,0.0018
5.86,0.0011
5.89,0.0039
5.90,0.0037
5.92,0.0029
5.94,0.0019
5.96,0.0017
5.97,0.0016
5.98,0.0018
5.99,0.0016
6.00,0.0014
6.03,0.0014
6.04,0.0012
6.17,0.0024
6.18,0.0035
6.19,0.0037
6.20,0.0052
6.21,0.0051
6.22,0.0060
6.23,0.0047
6.24,0.0039
6.25,0.0063
6.26,0.0069
6.27,0.0090
6.29,0.0158
6.29,0.0151
6.31,0.0095
6.31,0.0109
6.33,0.0155
6.36,0.0168
6.37,0.0113
6.38,0.0160
6.39,0.0152
6.41,0.0106
6.42,0.0081
6.45,0.0188
6.46,0.0207
6.48,0.0207
6.51,0.0173
6.52,0.0160
6.53,0.0209
6.56,0.0229
6.57,0.0340
6.60,0.0253
6.61,0.0263
6.62,0.0275
6.63,0.0303
6.63,0.0305
6.65,0.0299
6.66,0.0350
6.67,0.0469
6.69,0.0442
6.69,0.0392
6.70,0.0443
6.71,0.0421
6.73,0.0493
6.75,0.0497
6.76,0.0477
6.77,0.0473
6.77,0.0486
6.78,0.0489
6.78,0.0488
6.79,0.0513
6.80,0.0500
6.80,0.0498
6.82,0.0459
6.83,0.0472
6.85,0.0392
6.85,0.0390
6.87,0.0292
6.91,0.0519
6.92,0.0669
6.94,0.0566
6.98,0.0217
6.99,0.0254
7.02,0.0267
7.03,0.0265
7.04,0.0262
7.07,0.0133
7.08,0.0133
7.10,0.0231
7.12,0.0236
7.13,0.0245
7.14,0.0282
7.15,0.0362
7.19,0.0360
7.21,0.0111
7.23,0.0089
7.24,0.0107
7.26,0.0097
7.31,0.0336
7.32,0.0302
7.36,0.0948
7.37,0.0933
7.39,0.0368
7.40,0.0373
7.41,0.0680
7.42,0.1053
7.44,0.1046
7.48,0.0278
7.52,0.0448
7.54,0.0755
7.55,0.0819
7.55,0.0827
7.58,0.0524
7.60,0.0257
7.63,0.0210
7.65,0.0110
7.66,0.0107
7.67,0.0125
7.70,0.0092
7.72,0.0069
7.74,0.0069
7.75,0.0075
7.78,0.0049
7.80,0.0048
7.84,0.0170
7.85,0.0135
7.87,0.0085
7.90,0.0103
7.91,0.0117
7.93,0.0248
7.94,0.0247
7.99,0.0780
8.00,0.0782
8.01,0.0401
8.01,0.0401
8.03,0.0314
8.05,0.0126
8.07,0.0153
8.08,0.0095
8.11,0.0101
8.39,0.0005
9.52,0.0015
9.54,0.0018
9.69,0.0011
9.71,0.0230
