"ppm", "INTENSITY"
0.00,0.0358
0.32,0.0003
0.55,0.0109
0.61,0.0357
0.65,0.0204
0.66,0.0213
0.69,0.0080
0.70,0.0091
0.72,0.0127
0.75,0.0286
0.76,0.0290
0.78,0.0160
0.81,0.0641
0.84,0.0613
0.85,0.0507
0.87,0.0784
0.88,0.1138
0.89,0.0864
0.90,0.0730
0.94,0.0641
0.95,0.0551
0.97,0.0609
0.98,0.0816
0.98,0.0793
0.99,0.0820
1.01,0.0539
1.03,0.0474
1.04,0.0515
1.06,0.0528
1.08,0.0445
1.11,0.0628
1.12,0.0622
1.13,0.0622
1.15,0.1074
1.16,0.1817
1.17,0.1814
1.18,0.1767
1.26,0.111
1.39,0.0727
1.41,0.0586
1.48,0.1016
1.51,0.1359
1.60,0.0875
1.64,0.0676
1.66,0.0711
1.68,0.0488
1.71,0.0924
1.72,0.0725
1.73,0.0619
1.75,0.0721
1.78,0.0438
1.80,0.0431
1.83,0.0471
1.85,0.0549
1.88,0.0563
1.91,0.0558
1.92,0.0557
1.93,0.0452
1.94,0.0457
1.95,0.0581
1.95,0.0582
1.96,0.0593
1.98,0.0781
2.01,0.2522
2.03,0.1018
2.04,0.1167
2.11,0.0388
2.12,0.0374
2.16,0.0198
2.18,0.0193
2.19,0.0193
2.20,0.0235
2.21,0.0251
2.22,0.0201
2.27,0.0268
2.28,0.0255
2.33,0.0201
2.35,0.0267
2.36,0.0328
2.37,0.0311
2.42,0.0183
2.44,0.0180
2.50,0.0168
2.51,0.0183
2.53,0.0164
2.54,0.0161
2.56,0.0147
2.57,0.0149
2.58,0.0159
2.59,0.0159
2.60,0.0144
2.61,0.0113
2.64,0.0089
2.64,0.0089
2.66,0.0081
2.68,0.0058
2.70,0.0047
2.75,0.0093
2.76,0.0114
2.77,0.0085
2.78,0.0056
2.79,0.0055
2.81,0.0066
2.82,0.0066
2.85,0.0037
2.87,0.0033
2.89,0.0036
2.90,0.0039
2.91,0.0030
2.94,0.0015
2.95,0.0022
2.96,0.0022
2.98,0.0021
2.98,0.0022
3.00,0.0029
3.01,0.0027
3.04,0.0016
3.08,0.0019
3.11,0.0039
3.12,0.0031
3.16,0.0081
3.19,0.0031
3.24,0.0107
3.51,0.0179
3.52,0.0199
3.52,0.0193
3.54,0.0121
3.58,0.0340
3.59,0.0453
3.60,0.0487
3.61,0.0274
3.64,0.0238
3.65,0.0241
3.67,0.0220
3.70,0.0437
3.72,0.0362
3.74,0.0507
3.74,0.0503
3.75,0.0521
3.77,0.0757
3.79,0.0782
3.79,0.0823
3.81,0.0854
3.82,0.0997
3.82,0.0886
3.84,0.1609
3.86,0.0565
3.88,0.0369
3.88,0.0383
3.89,0.0250
3.95,0.0124
4.00,0.0090
4.84,0.0191
4.88,0.0568
4.99,0.0056
5.01,0.0038
5.02,0.0047
5.05,0.0033
5.07,0.0035
5.09,0.0049
5.12,0.0051
5.13,0.0054
5.15,0.0042
5.16,0.0045
5.18,0.0042
5.20,0.0035
5.21,0.0029
5.23,0.0018
5.30,0.0183
5.32,0.0160
5.32,0.0172
5.33,0.0127
5.35,0.0085
5.37,0.0072
5.40,0.0029
5.42,0.0029
5.43,0.0030
5.44,0.0030
5.46,0.0022
5.47,0.0011
5.52,0.0019
5.61,0.0021
5.65,0.0002
5.67,0.0007
5.70,0.0015
5.70,0.0018
5.72,0.0111
5.75,0.0024
5.77,0.0025
5.78,0.0026
5.80,0.0023
5.83,0.0005
5.86,0.0011
5.88,0.0022
5.89,0.0032
5.90,0.0025
5.93,0.0023
5.95,0.0015
5.97,0.0011
6.02,0.0002
6.07,0.0005
6.10,0.0036
6.12,0.0060
6.13,0.0057
6.13,0.0059
6.14,0.0076
6.15,0.0101
6.16,0.0117
6.17,0.0103
6.18,0.0096
6.19,0.0108
6.20,0.0074
6.23,0.0049
6.25,0.0057
6.27,0.0060
6.28,0.0061
6.30,0.0079
6.31,0.0054
6.32,0.0062
6.33,0.0045
6.34,0.0093
6.37,0.0049
6.40,0.0044
6.42,0.0040
6.44,0.0034
6.45,0.0052
6.47,0.0127
6.48,0.0101
6.50,0.0173
6.51,0.0168
6.52,0.0170
6.54,0.0169
6.55,0.0144
6.56,0.0155
6.57,0.0130
6.60,0.0106
6.61,0.0110
6.62,0.0109
6.63,0.0123
6.64,0.0154
6.68,0.0248
6.69,0.0318
6.70,0.0276
6.71,0.0360
6.73,0.0414
6.73,0.0377
6.75,0.0423
6.76,0.0439
6.76,0.0434
6.78,0.0432
6.80,0.0358
6.80,0.0358
6.82,0.0420
6.83,0.0397
6.88,0.0193
6.90,0.0173
6.92,0.0306
6.94,0.0250
6.95,0.0240
6.96,0.0213
6.98,0.0350
7.02,0.0159
7.04,0.0125
7.08,0.0064
7.11,0.0117
7.12,0.0218
7.14,0.0142
7.15,0.0119
7.17,0.0090
7.20,0.0081
7.21,0.0130
7.22,0.0229
7.26,0.0106
7.27,0.0081
7.29,0.0158
7.30,0.0127
7.33,0.0061
7.35,0.0060
7.37,0.0089
7.38,0.0079
7.41,0.0066
7.42,0.0105
7.44,0.0068
7.45,0.0093
7.46,0.0096
7.47,0.0084
7.49,0.0067
7.52,0.0064
7.53,0.0078
7.56,0.0079
7.57,0.0066
7.59,0.0063
7.60,0.0052
7.68,0.0013
7.71,0.0012
7.79,0.0004
7.81,0.0002
7.97,0.0024
8.01,0.0015
8.02,0.0030
8.03,0.0029
8.08,0.0016
8.10,0.0043
8.11,0.0051
8.15,0.0008
8.17,0.0008
9.16,0.0003
9.17,0.0006
9.18,0.0003
9.30,0.0104
9.34,0.0004
9.36,0.0002
9.53,0.0021
9.55,0.0023
9.66,0.0013
9.70,0.0040
9.72,0.0033
10.07,0.0003
