"ppm", "INTENSITY"
0.00,0.0133
0.51,0.0063
0.53,0.0402
0.54,0.0530
0.56,0.0101
0.57,0.0159
0.58,0.0184
0.61,0.6605
0.65,0.1899
0.66,0.2004
0.67,0.2002
0.72,0.0220
0.72,0.0238
0.73,0.0209
0.74,0.0224
0.76,0.0660
0.80,0.2496
0.82,0.0851
0.84,0.0609
0.85,0.0562
0.87,0.1143
0.88,0.1117
0.88,0.1449
0.89,0.1188
0.93,0.1506
0.95,0.2208
0.97,0.1419
0.98,0.2162
0.99,0.2395
0.99,0.2563
1.00,0.2515
1.02,0.1821
1.04,0.1659
1.05,0.1805
1.06,0.1634
1.07,0.1443
1.09,0.1286
1.11,0.1226
1.14,0.1314
1.15,0.2097
1.17,0.111
1.19,0.2211
1.22,0.4026
1.22,0.5780
1.27,0.4868
1.30,0.2594
1.31,0.2159
1.41,0.0816
1.42,0.1048
1.46,0.1823
1.48,0.2174
1.54,0.1838
1.55,0.1830
1.59,0.2344
1.60,0.1890
1.64,0.5535
1.68,0.2537
1.71,0.1527
1.72,0.2716
1.73,0.2255
1.78,0.1536
1.80,0.1823
1.81,0.1989
1.85,0.2540
1.87,0.3177
1.89,0.3042
1.92,0.1696
1.96,0.1834
1.98,0.1913
2.00,0.2975
2.02,0.1504
2.04,0.1719
2.07,0.0878
2.12,0.2224
2.12,0.2311
2.15,0.1120
2.17,0.0703
2.19,0.0662
2.20,0.0549
2.24,0.0453
2.25,0.0628
2.27,0.0595
2.27,0.0592
2.29,0.0495
2.32,0.0341
2.37,0.1692
2.43,0.0429
2.45,0.0335
2.47,0.0278
2.48,0.0295
2.50,0.0366
2.52,0.0466
2.56,0.1773
2.62,0.0275
2.63,0.0266
2.72,0.0147
2.73,0.0160
2.75,0.0200
2.76,0.0220
2.77,0.0187
2.78,0.0151
2.79,0.0153
2.80,0.0151
2.81,0.0243
2.82,0.0262
2.89,0.0099
2.91,0.0085
2.92,0.0083
2.93,0.0077
2.95,0.0076
2.96,0.0078
2.98,0.0069
3.00,0.0075
3.01,0.0068
3.02,0.0072
3.03,0.0061
3.09,0.0116
3.10,0.0079
3.12,0.0070
3.13,0.0057
3.16,0.0083
3.17,0.0067
3.21,0.0047
3.23,0.0059
3.25,0.0118
3.26,0.0141
3.52,0.0129
3.53,0.0138
3.54,0.0125
3.56,0.0113
3.58,0.0298
3.59,0.0512
3.60,0.0536
3.61,0.0321
3.63,0.0485
3.65,0.0221
3.68,0.0238
3.70,0.0345
3.72,0.0515
3.74,0.0480
3.75,0.0504
3.77,0.0638
3.80,0.0973
3.80,0.0958
3.82,0.1144
3.87,0.0396
3.87,0.0363
3.91,0.0169
3.95,0.0118
3.96,0.0120
3.97,0.0117
3.98,0.0119
3.99,0.0131
4.81,0.0533
4.84,0.0907
4.87,0.0178
4.90,0.0149
4.94,0.0049
4.99,0.0559
5.01,0.0523
5.02,0.0280
5.05,0.0230
5.07,0.0228
5.09,0.0115
5.10,0.0121
5.14,0.0239
5.16,0.0578
5.18,0.0633
5.20,0.0184
5.24,0.0077
5.27,0.0370
5.31,0.0557
5.32,0.0790
5.33,0.0617
5.36,0.0280
5.37,0.0356
5.43,0.0091
5.44,0.0094
5.50,0.0059
5.53,0.0062
5.56,0.0042
5.62,0.0240
5.64,0.0056
5.65,0.0058
5.67,0.0048
5.68,0.0057
5.70,0.0066
5.72,0.0529
5.75,0.0091
5.76,0.0052
5.77,0.0052
5.80,0.0045
5.82,0.0061
5.82,0.0060
5.84,0.0045
5.85,0.0424
5.87,0.0452
5.88,0.0454
5.90,0.0417
5.93,0.0080
5.94,0.0078
5.97,0.0056
6.02,0.0060
6.04,0.0028
6.05,0.0028
6.06,0.0033
6.07,0.0036
6.10,0.0044
6.12,0.0058
6.13,0.0053
6.14,0.0052
6.14,0.0052
6.17,0.0096
6.21,0.0034
6.22,0.0043
6.25,0.0160
6.27,0.0159
6.28,0.0168
6.30,0.0145
6.32,0.0030
6.34,0.0024
6.35,0.0022
6.37,0.0020
6.38,0.0016
6.40,0.0018
6.42,0.0039
6.46,0.0037
6.47,0.0046
6.50,0.0087
6.51,0.0063
6.52,0.0074
6.53,0.0071
6.55,0.0090
6.56,0.0074
6.58,0.0096
6.59,0.0076
6.59,0.0076
6.63,0.0120
6.64,0.0110
6.67,0.0168
6.69,0.0196
6.70,0.0204
6.71,0.0239
6.72,0.0223
6.74,0.0324
6.76,0.0535
6.77,0.0542
6.78,0.0441
6.81,0.0474
6.84,0.0249
6.85,0.0242
6.87,0.0248
6.88,0.0187
6.91,0.0259
6.92,0.0286
6.93,0.0326
6.95,0.0199
6.96,0.0199
6.97,0.0193
6.97,0.0194
7.00,0.0160
7.02,0.0141
7.04,0.0132
7.06,0.0113
7.08,0.0103
7.10,0.0243
7.11,0.0234
7.15,0.0135
7.16,0.0191
7.17,0.0155
7.20,0.0090
7.23,0.0058
7.25,0.0052
7.27,0.0047
7.29,0.0041
7.30,0.0040
7.31,0.0038
7.32,0.0049
7.33,0.0047
7.34,0.0050
7.36,0.0087
7.39,0.0055
7.40,0.0100
7.41,0.0077
7.42,0.0107
7.44,0.0123
7.45,0.0095
7.46,0.0070
7.47,0.0066
7.51,0.0064
7.55,0.0079
7.56,0.0076
7.59,0.0042
7.63,0.0024
7.67,0.0021
7.69,0.0019
7.70,0.0023
7.71,0.0017
7.74,0.0014
7.75,0.0012
7.81,0.0050
7.82,0.0031
7.84,0.0012
7.88,0.0015
7.92,0.0009
7.93,0.0011
7.96,0.0019
7.97,0.0023
8.00,0.0026
8.02,0.0065
8.03,0.0065
8.06,0.0026
8.10,0.0029
8.11,0.0035
8.18,0.0015
8.19,0.0016
9.16,0.0033
9.17,0.0019
9.18,0.0012
9.21,0.0007
9.22,0.0010
9.26,0.0018
9.38,0.0009
9.52,0.0018
9.53,0.0022
9.68,0.0222
9.71,0.0065
9.74,0.0025
9.75,0.0023
9.79,0.0008
9.89,0.0022
9.91,0.0024
