"ppm", "INTENSITY"
0.00,0.0142
0.41,0.0013
0.44,0.0019
0.51,0.0095
0.54,0.1114
0.57,0.0374
0.58,0.0361
0.61,0.7179
0.66,0.2983
0.66,0.2834
0.69,0.0424
0.70,0.0285
0.72,0.0223
0.72,0.0230
0.74,0.0172
0.76,0.0422
0.81,0.3442
0.83,0.0774
0.84,0.0484
0.86,0.0571
0.88,0.0808
0.89,0.1045
0.94,0.1116
0.94,0.1123
0.97,0.2346
0.98,0.3091
0.99,0.3189
0.99,0.3262
1.00,0.3010
1.01,0.1349
1.02,0.1566
1.03,0.1798
1.05,0.1892
1.06,0.1641
1.09,0.1110
1.12,0.1224
1.14,0.1318
1.17,1.0000
1.22,0.3605
1.24,0.1035
1.27,0.2406
1.29,0.1742
1.30,0.1858
1.32,0.1700
1.32,0.1690
1.34,0.1157
1.40,0.0607
1.42,0.0963
1.44,0.1135
1.46,0.1675
1.48,0.2040
1.52,0.0972
1.54,0.1262
1.57,0.1548
1.59,0.2203
1.61,0.1889
1.64,0.5578
1.68,0.3415
1.72,0.3489
1.73,0.3078
1.77,0.1100
1.80,0.1667
1.81,0.1820
1.83,0.1989
1.85,0.2677
1.87,0.3443
1.89,0.2961
1.92,0.1522
1.92,0.1518
1.95,0.1424
1.96,0.1899
1.97,0.1921
1.98,0.1938
2.00,0.4612
2.01,0.1112
2.02,0.1260
2.04,0.1865
2.07,0.0748
2.11,0.2769
2.13,0.2523
2.18,0.0668
2.19,0.0654
2.20,0.0490
2.26,0.0371
2.27,0.0400
2.29,0.0332
2.37,0.1777
2.38,0.1434
2.43,0.0426
2.45,0.0243
2.46,0.0245
2.48,0.0153
2.49,0.0167
2.52,0.0158
2.53,0.0143
2.54,0.0156
2.55,0.0155
2.57,0.0119
2.59,0.0131
2.60,0.0130
2.61,0.0105
2.63,0.0097
2.64,0.0089
2.65,0.0079
2.66,0.0068
2.68,0.0061
2.69,0.0082
2.70,0.0074
2.72,0.0088
2.75,0.0118
2.76,0.0131
2.77,0.0095
2.79,0.0089
2.80,0.0084
2.82,0.0090
2.82,0.0094
2.84,0.0074
2.85,0.0087
2.87,0.0066
2.90,0.0045
2.90,0.0041
2.92,0.0041
2.93,0.0038
2.95,0.0048
2.95,0.0049
2.97,0.0043
2.98,0.0039
3.00,0.0040
3.01,0.0036
3.04,0.0022
3.09,0.0142
3.12,0.0031
3.13,0.0032
3.14,0.0030
3.16,0.0022
3.17,0.0050
3.19,0.0028
3.21,0.0016
3.25,0.0075
3.27,0.0120
3.28,0.0090
3.30,0.0567
3.33,0.0051
3.36,0.0050
3.38,0.0048
3.42,0.0046
3.44,0.0051
3.46,0.0112
3.47,0.0055
3.48,0.0063
3.49,0.0071
3.50,0.0080
3.50,0.0081
3.51,0.0084
3.52,0.0083
3.53,0.0090
3.54,0.0088
3.58,0.0187
