"ppm", "INTENSITY"
0.00,0.0109
0.16,0.0001
0.27,0.0003
0.34,0.0003
0.43,0.0004
0.51,0.0080
0.53,0.0417
0.54,0.0493
0.56,0.0117
0.57,0.0174
0.58,0.0202
0.61,0.8086
0.65,0.2173
0.66,0.2232
0.67,0.1123
0.69,0.0189
0.69,0.0157
0.72,0.0153
0.72,0.0173
0.74,0.0139
0.76,0.0376
0.77,0.0269
0.80,0.2571
0.82,0.0713
0.84,0.0466
0.84,0.0468
0.86,0.0531
0.89,0.1073
0.94,0.0984
0.95,0.1354
0.97,0.1437
0.98,0.2134
0.99,0.2399
0.99,0.2574
1.00,0.2498
1.02,0.1765
1.05,0.1681
1.07,0.1354
1.09,0.0957
1.11,0.0900
1.14,0.1038
1.17,1.0000
1.22,0.2842
1.23,0.2578
1.25,0.0870
1.27,0.2437
1.30,0.2093
1.31,0.1800
1.33,0.1225
1.42,0.0977
1.44,0.1164
1.46,0.1632
1.48,0.1737
1.52,0.0858
1.54,0.1111
1.55,0.1075
1.57,0.1361
1.58,0.2125
1.60,0.1763
1.64,0.6082
1.68,0.3420
1.72,0.2674
1.74,0.2208
1.81,0.1821
1.83,0.2004
1.84,0.2147
1.85,0.2375
1.87,0.3218
1.89,0.2970
1.95,0.1393
1.96,0.1748
1.98,0.1861
2.00,0.4516
2.02,0.1254
2.04,0.1941
2.11,0.2051
2.13,0.2186
2.15,0.0999
2.19,0.0513
2.20,0.0390
2.21,0.0376
2.24,0.0231
2.25,0.0328
2.27,0.0312
2.37,0.1678
2.38,0.1343
2.42,0.0281
2.47,0.0127
2.48,0.0130
2.50,0.0263
2.53,0.0344
2.56,0.0854
2.59,0.0191
2.60,0.0169
2.63,0.0102
2.64,0.0098
2.64,0.0097
2.68,0.0072
2.69,0.0077
2.71,0.0079
2.75,0.0116
2.76,0.0146
2.77,0.0101
2.79,0.0080
2.81,0.0061
2.82,0.0059
2.83,0.0051
2.85,0.0049
2.85,0.0049
2.86,0.0045
2.88,0.0031
2.92,0.0033
2.94,0.0045
2.95,0.0050
2.96,0.0039
2.97,0.0036
3.00,0.0033
3.02,0.0035
3.03,0.0021
3.04,0.0017
3.08,0.0037
3.09,0.0039
3.10,0.0028
3.12,0.0024
3.14,0.0012
3.15,0.0017
3.17,0.0049
3.19,0.0022
3.24,0.0027
3.25,0.0046
3.27,0.0072
3.30,0.0398
3.34,0.0054
3.35,0.0053
3.36,0.0062
3.38,0.0061
3.39,0.0057
3.41,0.0073
3.42,0.0081
3.44,0.0059
3.45,0.0082
3.47,0.0058
3.48,0.0073
3.50,0.0091
3.51,0.0091
3.51,0.0093
3.52,0.0092
3.53,0.0109
3.54,0.0115
3.55,0.0083
3.56,0.0070
3.58,0.0148
3.59,0.0199
3.61,0.0225
3.62,0.0151
3.63,0.0319
3.66,0.0131
3.67,0.0130
3.68,0.0160
3.68,0.0158
3.70,0.0231
3.70,0.0246
3.71,0.0209
3.72,0.0213
3.74,0.0273
3.74,0.0253
3.75,0.0261
3.77,0.0420
3.79,0.0522
3.80,0.0596
3.81,0.0639
3.82,0.1544
3.83,0.1161
3.87,0.0262
3.88,0.0211
3.90,0.0078
3.91,0.0076
3.95,0.0059
3.96,0.0056
3.97,0.0053
3.98,0.0057
3.99,0.0064
4.01,0.0062
4.07,0.1505
4.08,0.1566
4.15,0.0142
4.18,0.0189
4.19,0.0201
4.21,0.0072
4.22,0.0068
4.25,0.0049
4.27,0.0047
4.29,0.0094
4.31,0.0085
4.39,0.0021
4.44,0.0281
4.45,0.0246
4.50,0.0330
4.52,0.0484
4.54,0.0190
4.55,0.0175
4.61,0.0009
4.71,0.0002
4.76,0.0022
4.79,0.0027
4.81,0.0529
4.84,0.1297
4.87,0.0157
4.88,0.0127
4.89,0.0106
4.90,0.0166
4.91,0.0130
4.94,0.0052
4.97,0.0025
5.00,0.0364
5.01,0.0240
5.03,0.0267
5.05,0.0235
5.07,0.0233
5.09,0.0106
5.10,0.0086
5.12,0.0100
5.14,0.0258
5.16,0.0287
5.17,0.0286
5.19,0.0293
5.21,0.0143
5.23,0.0051
5.24,0.0061
5.27,0.0637
5.28,0.0446
5.31,0.0653
5.32,0.1003
5.36,0.0300
5.37,0.0386
5.41,0.0072
5.43,0.0064
5.44,0.0066
5.50,0.0070
5.52,0.0039
5.53,0.0038
5.57,0.0028
5.62,0.0205
5.65,0.0043
5.69,0.0034
5.70,0.0051
5.72,0.0564
5.75,0.0061
5.77,0.0030
5.80,0.0026
5.82,0.0030
5.82,0.0028
5.86,0.0183
5.87,0.0192
5.88,0.0188
5.90,0.0171
5.93,0.0036
5.93,0.0036
5.95,0.0046
5.96,0.0036
5.98,0.0027
6.02,0.0041
6.06,0.0013
6.07,0.0011
6.09,0.0028
6.10,0.0050
6.11,0.0051
6.12,0.0055
6.13,0.0063
6.14,0.0053
6.14,0.0062
6.15,0.0097
6.17,0.0183
6.18,0.0130
6.19,0.0080
6.21,0.0031
6.23,0.0035
6.24,0.0054
6.25,0.0197
6.27,0.0200
6.28,0.0193
6.30,0.0174
6.32,0.0040
6.33,0.0040
6.35,0.0057
6.37,0.0050
6.38,0.0039
6.40,0.0045
6.41,0.0036
6.44,0.0023
6.46,0.0102
6.49,0.0131
6.51,0.0094
6.53,0.0098
6.53,0.0090
6.55,0.0083
6.58,0.0082
6.59,0.0139
6.61,0.0069
6.62,0.0062
6.64,0.0109
6.65,0.0054
6.66,0.0107
6.67,0.0092
6.69,0.0142
6.70,0.0135
6.73,0.0213
6.74,0.0307
6.75,0.0316
6.76,0.0418
6.77,0.0403
6.78,0.0356
6.80,0.0344
6.81,0.0323
6.82,0.0285
6.84,0.0278
6.84,0.0252
6.86,0.0260
6.87,0.0153
6.89,0.0089
6.91,0.0127
6.92,0.0132
6.94,0.0143
6.96,0.0319
6.99,0.0130
7.00,0.0185
7.06,0.0055
7.07,0.0042
7.10,0.0075
7.11,0.0125
7.13,0.0072
7.15,0.0072
7.16,0.0061
7.16,0.0067
7.19,0.0037
7.20,0.0070
7.20,0.0066
7.22,0.0079
7.23,0.0053
7.26,0.0023
7.27,0.0029
7.29,0.0064
7.30,0.0061
7.31,0.0033
7.32,0.0029
7.33,0.0031
7.34,0.0050
7.36,0.0127
7.39,0.0039
7.40,0.0062
7.41,0.0076
7.42,0.0164
7.44,0.0234
7.45,0.0186
7.46,0.0151
7.48,0.0096
7.51,0.0032
7.55,0.0127
7.56,0.0130
7.57,0.0103
7.59,0.0081
7.60,0.0046
7.63,0.0016
7.65,0.0014
7.67,0.0028
7.70,0.0027
7.72,0.0009
7.75,0.0003
7.81,0.0051
7.82,0.0023
7.88,0.0006
7.89,0.0002
7.93,0.0006
7.96,0.0053
7.97,0.0062
8.00,0.0049
8.01,0.0095
8.02,0.0169
8.03,0.0153
8.05,0.0019
8.06,0.0020
8.06,0.0021
8.10,0.0109
8.11,0.0123
9.14,0.0001
9.16,0.0047
9.17,0.0023
9.18,0.0014
9.22,0.0008
9.26,0.0012
9.28,0.0002
9.33,0.0001
9.38,0.0004
9.42,0.0004
9.52,0.0016
9.53,0.0018
9.68,0.0213
9.71,0.0039
9.74,0.0012
9.75,0.0011
9.80,0.0004
9.82,0.0001
9.89,0.0012
9.91,0.0013
10.14,0.0002
