"ppm", "INTENSITY"
0.00,0.0275
0.10,0.0008
0.28,0.0024
0.33,0.0022
0.39,0.0023
0.44,0.0026
0.50,0.0050
0.53,0.0051
0.61,0.0312
0.64,0.0177
0.65,0.0290
0.69,0.0163
0.71,0.0204
0.74,0.0345
0.75,0.0507
0.77,0.0514
0.78,0.0502
0.79,0.0428
0.82,0.0764
0.86,0.0943
0.87,0.1321
0.88,0.1384
0.89,0.1022
0.90,0.0705
0.94,0.1157
0.96,0.0744
0.98,0.0655
0.98,0.0667
0.99,0.0636
1.01,0.0608
1.02,0.0585
1.04,0.0578
1.05,0.0567
1.07,0.0505
1.10,0.0690
1.12,0.0857
1.17,0.1795
1.17,0.1791
1.18,0.1815
1.25,1.0000
1.49,0.1630
1.57,0.1096
1.61,0.0770
1.64,0.0664
1.66,0.0810
1.71,0.0500
1.72,0.0464
1.76,0.0373
1.78,0.0412
1.81,0.0433
1.82,0.0434
1.84,0.0466
1.85,0.0456
1.86,0.0523
1.88,0.0530
1.90,0.0761
1.91,0.0772
1.93,0.0583
1.96,0.0878
2.02,0.3019
2.04,0.3295
2.09,0.0318
2.11,0.0292
2.14,0.0217
2.16,0.0203
2.19,0.0262
2.20,0.0260
2.27,0.0352
2.31,0.0304
2.35,0.0282
2.43,0.0222
2.50,0.0379
2.56,0.0263
2.57,0.0265
2.62,0.0167
2.64,0.0134
2.65,0.0136
2.72,0.0065
2.73,0.0070
2.74,0.0079
2.75,0.0081
2.80,0.0058
2.81,0.0058
2.84,0.0037
2.91,0.0016
2.92,0.0029
2.93,0.0028
2.95,0.0013
2.96,0.0011
2.97,0.0010
2.98,0.0005
3.00,0.0006
3.02,0.0007
3.05,0.0013
3.10,0.0075
3.12,0.0060
3.13,0.0060
3.15,0.0143
3.20,0.0044
3.23,0.0052
3.28,0.0111
3.29,0.0123
3.32,0.0914
3.36,0.0130
3.40,0.0139
3.43,0.0162
3.44,0.0183
3.45,0.0182
3.51,0.0288
3.53,0.0341
3.54,0.0345
3.56,0.0369
3.61,0.0547
3.62,0.0608
3.63,0.0616
3.72,0.1504
3.74,0.1923
3.76,0.1832
3.77,0.2344
3.81,0.5244
3.82,0.6105
3.85,0.1758
3.86,0.1690
3.87,0.1899
3.93,0.0225
3.94,0.0220
3.97,0.0188
3.98,0.0188
4.01,0.0207
4.02,0.0211
4.04,0.0187
4.05,0.0170
4.09,0.0174
4.12,0.0147
4.15,0.0157
4.19,0.0261
4.20,0.0274
4.24,0.0156
4.26,0.0154
4.33,0.0069
4.37,0.0063
4.42,0.0040
4.49,0.0037
4.54,0.0028
4.61,0.0005
4.89,0.0612
4.90,0.0697
5.01,0.0136
5.03,0.0132
5.05,0.0084
5.07,0.0074
5.08,0.0084
5.10,0.0080
5.12,0.0074
5.14,0.0081
5.15,0.0079
5.17,0.0104
5.20,0.0179
5.24,0.0079
5.26,0.0088
5.27,0.0103
5.29,0.0083
5.31,0.0155
5.32,0.0194
5.36,0.0050
5.38,0.0062
5.39,0.0059
5.44,0.0116
5.53,0.0013
5.61,0.0008
5.63,0.0013
5.66,0.0008
5.68,0.0014
5.70,0.0033
5.73,0.0040
5.73,0.0034
5.75,0.0032
5.76,0.0031
5.78,0.0030
5.80,0.0040
5.87,0.0081
5.89,0.0087
5.90,0.0089
5.92,0.0092
5.93,0.0057
5.93,0.0058
5.95,0.0062
5.97,0.0053
5.98,0.0046
5.99,0.0044
6.01,0.0032
6.02,0.0036
6.07,0.0065
6.09,0.0163
6.10,0.0259
6.11,0.0228
6.12,0.0234
6.13,0.0302
6.14,0.0216
6.16,0.0172
6.17,0.0219
6.18,0.0213
6.20,0.0214
6.21,0.0189
6.23,0.0162
6.24,0.0219
6.25,0.0187
6.26,0.0256
6.27,0.0198
6.28,0.0126
6.29,0.0128
6.30,0.0144
6.31,0.0131
6.34,0.0146
6.37,0.0136
6.38,0.0154
6.40,0.0128
6.41,0.0132
6.42,0.0107
6.44,0.0206
6.47,0.0306
6.48,0.0275
6.50,0.0384
6.52,0.0581
6.55,0.0474
6.57,0.0332
6.59,0.0308
6.60,0.0362
6.61,0.0363
6.62,0.0644
6.63,0.0568
6.65,0.0632
6.70,0.0762
6.71,0.1100
6.75,0.1149
6.75,0.1364
6.76,0.1344
6.77,0.1183
6.80,0.1126
6.82,0.1246
6.84,0.1106
6.86,0.1027
6.87,0.0823
6.89,0.0443
6.93,0.0569
6.97,0.1140
7.00,0.0809
7.03,0.0352
7.06,0.0203
7.07,0.0217
7.08,0.0242
7.10,0.0268
7.10,0.0239
7.13,0.0371
7.17,0.0423
7.19,0.0216
7.22,0.0095
7.24,0.0104
7.25,0.0102
7.27,0.0142
7.29,0.0149
7.30,0.0161
7.34,0.0836
7.39,0.0392
7.42,0.2024
7.48,0.0261
7.52,0.0705
7.53,0.0934
7.54,0.0932
7.55,0.0958
7.56,0.0698
7.60,0.0218
7.61,0.0222
7.63,0.0188
7.64,0.0190
7.66,0.0181
7.69,0.0159
7.73,0.0085
7.75,0.0080
7.79,0.0063
7.80,0.0065
7.82,0.0060
7.87,0.0077
7.90,0.0095
7.96,0.0238
8.01,0.1341
8.02,0.1242
8.07,0.0188
8.12,0.0097
8.13,0.0079
9.29,0.0073
9.34,0.0008
9.36,0.0005
9.51,0.0056
9.53,0.0064
9.59,0.0010
9.65,0.0017
9.66,0.0008
9.70,0.0273
10.05,0.0004
