"ppm", "INTENSITY"
0.00,0.0286
0.20,0.0020
0.23,0.0025
0.26,0.0056
0.29,0.0041
0.31,0.0036
0.35,0.0035
0.37,0.0060
0.41,0.0051
0.48,0.0378
0.49,0.0273
0.50,0.0143
0.52,0.0190
0.52,0.0164
0.60,0.1670
0.61,0.2938
0.64,0.1395
0.65,0.1302
0.70,0.0267
0.74,0.0515
0.74,0.0507
0.75,0.0713
0.76,0.1282
0.79,0.0605
0.80,0.0571
0.80,0.0566
0.82,0.0501
0.83,0.0636
0.85,0.0757
0.85,0.0736
0.87,0.0995
0.88,0.1403
0.89,0.1136
0.90,0.1066
0.92,0.1390
0.92,0.1320
0.94,0.1317
0.95,0.1235
0.96,0.1643
0.97,0.1560
0.98,0.1552
0.98,0.1558
1.01,0.1378
1.01,0.1403
1.03,0.1213
1.05,0.1056
1.07,0.0805
1.08,0.1109
1.09,0.0919
1.12,0.0880
1.16,0.5921
1.17,0.4283
1.18,0.5093
1.20,0.3101
1.21,0.1877
1.25,0.4038
1.26,0.2221
1.28,0.1870
1.28,0.1926
1.33,0.0701
1.34,0.0793
1.36,0.0612
1.37,0.0571
1.39,0.0747
1.41,0.0867
1.42,0.0868
1.43,0.0887
1.45,0.1171
1.46,0.1106
1.47,0.1101
1.50,0.0935
1.51,0.0919
1.53,0.0988
1.56,0.1470
1.58,0.1467
1.60,0.1312
1.64,0.3530
1.66,0.1734
1.70,0.1011
1.72,0.1636
1.74,0.1618
1.78,0.0957
1.80,0.1200
1.81,0.1155
1.85,0.1204
1.87,0.1950
1.88,0.1594
1.91,0.0955
1.92,0.0850
1.95,0.1121
2.00,0.1822
2.03,0.0797
2.06,0.0401
2.10,0.1073
2.12,0.1540
2.23,0.0279
2.25,0.0377
2.26,0.0405
2.28,0.0374
2.33,0.0590
2.35,0.0931
2.37,0.0705
2.44,0.0114
2.46,0.0134
2.48,0.0128
2.50,0.0162
2.51,0.0121
2.57,0.0270
2.61,0.0120
2.63,0.0112
2.65,0.0119
2.65,0.0113
2.72,0.0098
2.73,0.0088
2.75,0.0086
2.76,0.0087
2.77,0.0078
2.78,0.0085
2.80,0.0080
2.81,0.0073
2.82,0.0071
2.83,0.0063
2.85,0.0073
2.88,0.0067
2.91,0.0049
2.92,0.0049
2.98,0.0040
3.00,0.0049
3.02,0.0044
3.07,0.0149
3.09,0.0174
3.12,0.0086
3.12,0.0084
3.15,0.0305
3.17,0.0099
3.19,0.0126
3.21,0.0160
3.23,0.0243
3.26,0.0198
3.29,0.0676
3.33,0.1377
3.37,0.0236
3.37,0.0194
3.39,0.0175
3.40,0.0175
3.43,0.0261
3.43,0.0287
3.45,0.0219
3.47,0.0226
3.48,0.0299
3.49,0.0290
3.51,0.0309
3.52,0.0347
3.53,0.0397
3.55,0.0521
3.56,0.0543
3.56,0.0575
3.57,0.0606
3.58,0.0651
3.60,0.1235
3.62,0.2354
3.63,0.2504
3.64,0.1782
3.65,0.1103
3.67,0.1243
3.69,0.1433
3.71,0.2109
3.72,0.2286
3.74,0.3672
3.76,0.3558
3.79,0.5452
3.81,1.0000
3.82,0.9252
3.84,0.2234
3.86,0.2772
3.88,0.0550
3.93,0.0248
3.93,0.0246
3.97,0.0214
4.01,0.0163
4.02,0.0178
4.03,0.0231
4.04,0.0180
4.05,0.0229
4.06,0.0198
4.10,0.0864
4.11,0.0859
4.13,0.0234
4.14,0.0245
4.16,0.0217
4.17,0.0216
4.20,0.0219
4.21,0.0247
4.22,0.0210
4.24,0.0201
4.26,0.0185
4.27,0.0195
4.28,0.0181
4.31,0.0141
4.33,0.0157
4.34,0.0131
4.39,0.0111
4.40,0.0105
4.42,0.0260
4.44,0.0261
4.49,0.0191
4.51,0.0221
4.55,0.0089
4.60,0.0009
4.80,0.0239
4.84,0.0315
4.85,0.0187
4.87,0.0122
4.89,0.0657
4.90,0.0825
4.92,0.0391
4.97,0.0206
4.98,0.0204
5.00,0.0189
5.01,0.0255
5.04,0.0288
5.07,0.0276
5.09,0.0249
5.12,0.0121
5.15,0.0216
5.16,0.0112
5.18,0.0261
5.20,0.0333
5.21,0.0145
5.22,0.0113
5.24,0.0144
5.27,0.0497
5.30,0.0548
5.32,0.0413
5.34,0.0473
5.36,0.0178
5.42,0.0288
5.58,0.0012
5.62,0.0064
5.63,0.0067
5.66,0.0031
5.70,0.0219
5.74,0.0023
5.77,0.0047
5.80,0.0044
5.83,0.0055
5.85,0.0039
5.88,0.0079
5.89,0.0079
5.90,0.0099
5.91,0.0120
5.92,0.0130
5.93,0.0119
5.95,0.0090
5.96,0.0077
5.98,0.0072
5.99,0.0054
6.01,0.0041
6.03,0.0047
6.04,0.0042
6.06,0.0042
6.08,0.0073
6.09,0.0119
6.10,0.0101
6.13,0.0114
6.14,0.0121
6.15,0.0098
6.17,0.0190
6.18,0.0268
6.20,0.0244
6.21,0.0335
6.22,0.0387
6.24,0.0531
6.25,0.0415
6.25,0.0432
6.26,0.0656
6.27,0.0520
6.29,0.0331
6.30,0.0398
6.31,0.0305
6.34,0.0270
6.37,0.0256
6.38,0.0383
6.39,0.0343
6.40,0.0445
6.42,0.0175
6.44,0.0195
6.45,0.0208
6.48,0.0469
6.48,0.0441
6.50,0.0593
6.51,0.0621
6.52,0.0287
6.53,0.0315
6.56,0.0290
6.58,0.0552
6.60,0.0587
6.62,0.1246
6.64,0.1157
6.66,0.0438
6.68,0.0514
6.69,0.0682
6.70,0.1961
6.72,0.0729
6.73,0.0731
6.75,0.0753
6.75,0.0758
6.77,0.1879
6.78,0.1993
6.79,0.0924
6.80,0.0867
6.81,0.0967
6.82,0.1104
6.82,0.1022
6.84,0.1206
6.86,0.1769
6.87,0.1186
6.89,0.0359
6.90,0.0348
6.92,0.0447
6.93,0.0497
6.96,0.0308
6.98,0.0748
7.00,0.1492
7.05,0.0254
7.07,0.0408
7.08,0.0442
7.10,0.0327
7.11,0.0700
7.12,0.0453
7.14,0.0199
7.17,0.0704
7.22,0.0107
7.23,0.0171
7.24,0.0124
7.25,0.0143
7.29,0.0370
7.30,0.0469
7.34,0.2363
7.36,0.0792
7.37,0.0807
7.38,0.0828
7.40,0.3149
7.42,0.5325
7.43,0.3874
7.51,0.1727
7.52,0.2324
7.54,0.2242
7.55,0.1348
7.61,0.0475
7.64,0.0440
7.66,0.0412
7.68,0.0350
7.72,0.0103
7.74,0.0154
7.76,0.0129
7.79,0.0098
7.80,0.0092
7.83,0.0077
7.87,0.0113
7.89,0.0119
7.90,0.0150
7.95,0.0330
7.96,0.0327
7.99,0.0898
8.01,0.3754
8.02,0.3748
8.07,0.0299
8.09,0.0258
8.10,0.0159
8.13,0.0133
8.14,0.0124
8.69,0.0008
9.13,0.0024
9.26,0.0006
9.51,0.0018
9.52,0.0021
9.54,0.0007
9.64,0.0109
9.65,0.0118
9.70,0.0378
