"ppm", "INTENSITY"
0.00,0.0305
0.16,0.0007
0.16,0.0011
0.17,0.0007
0.33,0.0006
0.34,0.0007
0.35,0.0005
0.42,0.0013
0.43,0.0016
0.45,0.0028
0.47,0.0038
0.53,0.1267
0.56,0.0299
0.57,0.0275
0.61,0.6273
0.65,0.2038
0.66,0.1961
0.68,0.0417
0.70,0.0282
0.72,0.0398
0.75,0.0848
0.79,0.3391
0.81,0.1829
0.82,0.1535
0.83,0.1497
0.85,0.1040
0.88,0.1980
0.89,0.1780
0.89,0.1696
0.92,0.1279
0.94,0.1710
0.94,0.1696
0.96,0.2791
0.98,0.3263
0.98,0.3645
0.99,0.3716
0.99,0.3423
1.01,0.2008
1.01,0.1895
1.03,0.2461
1.04,0.2193
1.06,0.2174
1.08,0.1428
1.09,0.1408
1.11,0.1364
1.12,0.1505
1.17,1.0000
1.21,0.3462
1.23,0.2355
1.23,0.2065
1.26,0.4464
1.27,0.2684
1.29,0.3078
1.31,0.2638
1.31,0.2601
1.34,0.1346
1.37,0.1314
1.39,0.3581
1.40,0.2218
1.41,0.1659
1.43,0.1770
1.43,0.1834
1.45,0.2237
1.48,0.2370
1.51,0.1541
1.53,0.1750
1.56,0.1904
1.58,0.2792
1.60,0.2693
1.64,0.6194
1.66,0.2161
1.67,0.3399
1.71,0.8963
1.72,0.5166
1.73,0.4489
1.74,0.7141
1.77,0.1604
1.80,0.1947
1.81,0.1906
1.83,0.2414
1.85,0.2558
1.87,0.3108
1.88,0.2744
1.92,0.1988
1.95,0.2106
1.97,0.2105
2.00,0.3559
2.03,0.1663
2.03,0.1954
2.07,0.0874
2.11,0.2859
2.12,0.2742
2.13,0.2010
2.16,0.0782
2.18,0.0718
2.19,0.0570
2.21,0.0386
2.26,0.0763
2.36,0.1598
2.37,0.1357
2.42,0.0525
2.44,0.0470
2.47,0.0336
2.49,0.0389
2.50,0.0412
2.51,0.0343
2.52,0.0345
2.53,0.0309
2.54,0.0297
2.56,0.0461
2.62,0.0199
2.63,0.0230
2.64,0.0189
2.69,0.0102
2.72,0.0137
2.74,0.0199
2.75,0.0208
2.79,0.0187
2.79,0.0172
2.81,0.0166
2.82,0.0158
2.83,0.0126
2.85,0.0137
2.88,0.0330
2.89,0.0428
2.90,0.0279
2.95,0.0082
2.97,0.0066
3.00,0.0241
3.01,0.0306
3.02,0.0176
3.05,0.0067
3.08,0.0291
3.09,0.0351
3.11,0.0069
3.13,0.0059
3.16,0.0193
3.19,0.0125
3.24,0.0507
3.28,0.0458
3.29,0.0606
3.31,0.3069
3.32,0.2126
3.38,0.0225
3.39,0.0209
3.41,0.0121
3.42,0.0129
3.44,0.0131
3.45,0.0117
3.47,0.0118
3.49,0.0113
3.50,0.0124
3.52,0.0162
3.54,0.0174
3.55,0.0174
3.59,0.0438
3.60,0.0709
3.61,0.0718
3.62,0.0418
3.63,0.0845
3.68,0.0273
3.69,0.0340
3.70,0.0384
3.72,0.0835
3.75,0.0681
3.76,0.0626
3.78,0.1031
3.80,0.1357
3.81,0.1250
3.82,0.1366
3.83,0.1240
3.87,0.0319
3.95,0.0159
3.96,0.0174
3.98,0.0297
3.99,0.0204
4.01,0.0161
4.03,0.0123
4.04,0.0135
4.07,0.1129
4.08,0.1143
4.12,0.0138
4.14,0.0134
4.14,0.0139
4.15,0.0140
4.19,0.0158
4.20,0.0153
4.25,0.0059
4.27,0.0057
4.28,0.0050
4.29,0.0067
4.31,0.0077
4.31,0.0079
4.32,0.0068
4.37,0.0030
4.39,0.0032
4.40,0.0030
4.43,0.0285
4.44,0.0245
4.48,0.0070
4.50,0.0275
4.51,0.0436
4.53,0.0144
4.71,0.0009
4.77,0.0031
4.81,0.0333
4.84,0.0886
4.86,0.0224
4.88,0.0114
4.89,0.0220
4.91,0.0093
4.94,0.0087
5.00,0.0417
5.03,0.0548
5.05,0.0651
5.07,0.0618
5.09,0.0415
5.14,0.0388
5.16,0.0253
5.17,0.0345
5.19,0.0268
5.21,0.0164
5.27,0.0594
5.28,0.0708
5.31,0.1448
5.32,0.1412
5.35,0.0370
5.36,0.0396
5.43,0.0095
5.51,0.0080
5.54,0.0070
5.55,0.0071
5.57,0.0061
5.61,0.0398
5.65,0.0093
5.67,0.0128
5.68,0.0219
5.68,0.0218
5.69,0.0291
5.71,0.0709
5.74,0.0095
5.79,0.0051
5.82,0.0059
5.86,0.0127
5.88,0.0142
5.89,0.0139
5.91,0.0126
5.92,0.0076
5.94,0.0074
5.95,0.0077
5.97,0.0061
6.01,0.0056
6.02,0.0100
6.03,0.0123
6.05,0.0149
6.06,0.0062
6.10,0.0119
6.13,0.0073
6.14,0.0080
6.17,0.0153
6.20,0.0258
6.22,0.0521
6.25,0.0452
6.27,0.0408
6.28,0.0401
6.30,0.0366
6.32,0.0232
6.34,0.0275
6.35,0.0268
6.37,0.0147
6.39,0.0109
6.41,0.0180
6.46,0.0090
6.50,0.0205
6.52,0.0227
6.54,0.0150
6.55,0.0136
6.56,0.0110
6.58,0.0204
6.61,0.0165
6.62,0.0205
6.63,0.0187
6.64,0.0138
6.67,0.0249
6.68,0.0309
6.69,0.0312
6.70,0.0438
6.72,0.0535
6.73,0.0433
6.75,0.0652
6.76,0.0678
6.76,0.0684
6.78,0.0895
6.79,0.0775
6.79,0.0604
6.80,0.0602
6.83,0.0286
6.84,0.0288
6.85,0.0289
6.87,0.0536
6.88,0.0370
6.89,0.0295
6.91,0.0407
6.92,0.0522
6.94,0.0457
6.96,0.0211
6.97,0.0193
7.01,0.0208
7.02,0.0274
7.04,0.0244
7.07,0.0235
7.09,0.0153
7.13,0.1909
7.15,0.0499
7.16,0.0491
7.18,0.0584
7.19,0.0628
7.21,0.0402
7.23,0.0454
7.24,0.0549
7.25,0.0824
7.27,0.0453
7.28,0.0300
7.29,0.0299
7.30,0.0275
7.34,0.0409
7.36,0.0390
7.38,0.0216
7.40,0.0322
7.41,0.0399
7.42,0.0310
7.44,0.0236
7.45,0.0205
7.47,0.0181
7.48,0.0146
7.51,0.0467
7.54,0.0621
7.63,0.0129
7.66,0.0120
7.67,0.0078
7.71,0.0067
7.72,0.0057
7.73,0.0050
7.75,0.0086
7.77,0.0051
7.80,0.0052
7.81,0.0025
7.85,0.0012
7.86,0.0015
7.96,0.0114
7.97,0.0128
7.99,0.0088
8.01,0.0111
8.02,0.0116
8.03,0.0086
8.07,0.0041
8.09,0.0042
8.10,0.0064
8.11,0.0076
8.15,0.0024
8.16,0.0021
9.15,0.0063
9.17,0.0021
9.21,0.0014
9.26,0.0015
9.33,0.0005
9.38,0.0006
9.54,0.0006
9.68,0.0453
9.71,0.0028
9.73,0.0024
9.90,0.0007
9.91,0.0006
