"ppm", "INTENSITY"
0.00,0.0242
0.16,0.0008
0.26,0.0022
0.31,0.0014
0.34,0.0032
0.35,0.0028
0.38,0.0024
0.40,0.0024
0.50,0.0958
0.54,0.0163
0.54,0.0149
0.61,0.5460
0.65,0.1677
0.65,0.1523
0.68,0.0184
0.69,0.0170
0.72,0.0236
0.73,0.0251
0.75,0.0385
0.78,0.2093
0.79,0.0685
0.81,0.0433
0.82,0.0462
0.83,0.0520
0.84,0.0503
0.85,0.0551
0.87,0.0821
0.88,0.1278
0.94,0.2154
0.97,0.2020
0.98,0.2213
0.98,0.2303
0.99,0.2225
1.02,0.1733
1.03,0.1476
1.05,0.1408
1.06,0.1092
1.07,0.1061
1.09,0.0937
1.10,0.0878
1.11,0.0884
1.12,0.0935
1.13,0.1179
1.17,0.8443
1.19,0.1799
1.21,0.2458
1.24,0.1656
1.26,0.3729
1.28,0.2397
1.33,0.0735
1.34,0.0634
1.40,0.0924
1.42,0.1032
1.45,0.1587
1.46,0.1477
1.47,0.1590
1.49,0.1209
1.50,0.1027
1.51,0.1139
1.52,0.1138
1.54,0.1077
1.55,0.1330
1.57,0.1921
1.59,0.1896
1.61,0.1433
1.64,0.4837
1.67,0.2801
1.69,0.1445
1.71,0.3427
1.72,0.2315
1.74,0.2068
1.78,0.1233
1.79,0.1632
1.81,0.2019
1.84,0.2298
1.86,0.2804
1.88,0.2766
1.91,0.2151
1.91,0.2130
1.92,0.2135
1.92,0.1916
1.95,0.2253
1.96,0.2252
1.97,0.2717
1.99,0.2783
2.00,0.4182
2.02,0.3651
2.04,0.9269
2.07,0.1402
2.10,0.1626
2.12,0.2849
2.14,0.0985
2.17,0.0626
2.18,0.0513
2.19,0.0484
2.20,0.0405
2.25,0.0523
2.26,0.0587
2.34,0.0760
2.36,0.1441
2.37,0.1150
2.40,0.0542
2.44,0.0371
2.47,0.0787
2.49,0.3378
2.50,0.4397
2.53,0.0449
2.54,0.0486
2.56,0.0883
2.57,0.0496
2.59,0.0516
2.60,0.0688
2.62,0.0545
2.69,0.0118
2.71,0.0110
2.73,0.0114
2.74,0.0121
2.76,0.0145
2.78,0.0099
2.79,0.0098
2.80,0.0091
2.81,0.0090
2.82,0.0082
2.84,0.0079
2.85,0.0078
2.87,0.0057
2.88,0.0061
2.89,0.0057
2.90,0.0070
2.91,0.0097
2.93,0.0103
2.93,0.0103
2.94,0.0098
2.95,0.0116
2.96,0.0275
2.97,0.0265
2.99,0.0243
3.00,0.0239
3.05,0.0266
3.07,0.0303
3.08,0.0346
3.09,0.0327
3.15,0.0122
3.17,0.0081
3.17,0.0087
3.19,0.0101
3.20,0.0085
3.22,0.0073
3.26,0.0139
3.27,0.0176
