"ppm", "INTENSITY"
0.00,0.0511
0.28,0.0006
0.43,0.0006
0.44,0.0011
0.46,0.0010
0.52,0.0028
0.54,0.0059
0.61,0.0765
0.64,0.0270
0.66,0.0756
0.69,0.0168
0.71,0.0315
0.73,0.0678
0.74,0.0451
0.75,0.0535
0.76,0.0864
0.77,0.0699
0.78,0.0745
0.80,0.1727
0.82,0.1663
0.83,0.1452
0.84,0.0988
0.85,0.0997
0.86,0.1294
0.88,0.1790
0.89,0.1271
0.90,0.0713
0.93,0.1431
0.94,0.1533
0.95,0.0833
0.98,0.0795
1.00,0.0642
1.02,0.0760
1.02,0.0727
1.04,0.0620
1.06,0.0492
1.07,0.0457
1.09,0.0589
1.10,0.0523
1.10,0.0513
1.13,0.0600
1.14,0.0716
1.17,0.1625
1.17,0.1367
1.18,0.1141
1.19,0.1145
1.22,0.3672
1.25,0.8751
1.28,0.3123
1.34,0.1452
1.36,0.1117
1.39,0.4489
1.40,0.0927
1.42,0.0886
1.45,0.0980
1.48,0.1019
1.49,0.0993
1.50,0.0992
1.51,0.0999
1.52,0.0994
1.57,0.1457
1.58,0.1371
1.60,0.1198
1.63,0.2019
1.65,0.1517
1.70,1.0000
1.73,0.2815
1.74,0.7659
1.78,0.0526
1.78,0.0522
1.81,0.0463
1.84,0.0391
1.86,0.0396
1.87,0.0396
1.88,0.0400
1.91,0.0441
1.91,0.0422
1.92,0.0408
1.93,0.0512
1.94,0.0397
1.96,0.0450
1.97,0.0484
2.01,0.1132
2.01,0.1248
2.04,0.0900
2.09,0.0321
2.11,0.0259
2.14,0.0251
2.15,0.0201
2.16,0.0205
2.18,0.0199
2.20,0.0202
2.24,0.0459
2.26,0.0704
2.27,0.0521
2.32,0.0229
2.35,0.0315
2.35,0.0315
2.36,0.0326
2.40,0.0226
2.42,0.0229
2.44,0.0154
2.47,0.0104
2.49,0.0394
2.51,0.0211
2.52,0.0175
2.53,0.0158
2.57,0.0856
2.58,0.0227
2.60,0.0115
2.61,0.0122
2.62,0.0141
2.64,0.0119
2.66,0.0077
2.67,0.0049
2.70,0.0051
2.71,0.0054
2.74,0.0101
2.75,0.0115
2.78,0.0093
2.79,0.0089
2.80,0.0052
2.82,0.0047
2.88,0.0379
2.89,0.0566
2.90,0.0350
2.93,0.0037
2.94,0.0042
2.95,0.0048
2.96,0.0032
2.99,0.0322
3.00,0.0468
3.01,0.0223
3.03,0.0042
3.07,0.0357
3.08,0.0360
3.10,0.0083
3.11,0.0088
3.12,0.0083
3.15,0.0119
3.17,0.0622
3.20,0.0178
3.22,0.0227
3.23,0.0289
3.25,0.1248
3.27,0.0497
3.28,0.0719
3.30,0.3958
3.31,0.4309
3.31,0.4291
3.35,0.0283
3.37,0.0298
3.38,0.0332
3.40,0.0250
3.42,0.0195
3.43,0.0191
3.44,0.0202
3.45,0.0278
3.46,0.0223
3.47,0.0202
3.49,0.0376
3.50,0.0435
3.51,0.0438
3.52,0.0643
3.53,0.0580
3.54,0.0699
3.55,0.0696
3.57,0.0315
3.57,0.0314
3.59,0.0738
3.60,0.0957
3.61,0.0747
3.62,0.0721
3.63,0.0569
3.65,0.0610
3.67,0.0729
3.69,0.0967
3.70,0.0906
3.72,0.0930
3.73,0.1159
3.74,0.1568
3.75,0.1495
3.76,0.1361
3.78,0.1633
3.79,0.1451
3.81,0.2707
3.82,0.2671
3.82,0.3016
3.83,0.3272
3.85,0.1424
3.85,0.1235
3.86,0.1320
3.88,0.0894
3.95,0.0260
3.98,0.0436
4.01,0.0255
4.03,0.0256
4.05,0.0145
4.07,0.0246
4.08,0.0182
4.09,0.0135
4.11,0.0121
4.11,0.0121
4.13,0.0118
4.15,0.0143
4.18,0.0119
4.19,0.0135
4.20,0.0124
4.25,0.0064
4.27,0.0059
4.28,0.0095
4.30,0.0085
4.32,0.0038
4.33,0.0026
4.39,0.0012
4.41,0.0016
4.47,0.0035
4.50,0.0016
4.51,0.0017
