"ppm", "INTENSITY"
0.00,0.0232
0.26,0.0009
0.33,0.0008
0.35,0.0004
0.42,0.0005
0.44,0.0005
0.53,0.0766
0.54,0.0114
0.56,0.0184
0.57,0.0181
0.61,0.6843
0.65,0.2111
0.66,0.1939
0.68,0.0196
0.69,0.0155
0.70,0.0104
0.71,0.0124
0.73,0.0125
0.76,0.0346
0.79,0.2415
0.81,0.0521
0.82,0.0479
0.83,0.0426
0.85,0.0365
0.87,0.0685
0.88,0.1076
0.93,0.1131
0.94,0.1129
0.95,0.1244
0.96,0.1508
0.98,0.1987
0.98,0.2193
0.99,0.2284
0.99,0.2146
1.00,0.1229
1.01,0.1318
1.02,0.1679
1.05,0.1633
1.06,0.1387
1.08,0.0948
1.09,0.0914
1.10,0.0892
1.11,0.0904
1.11,0.0895
1.13,0.1033
1.14,0.1070
1.16,0.2730
1.17,1.0000
1.19,0.1125
1.21,0.2924
1.23,0.2883
1.26,0.3258
1.30,0.1957
1.37,0.0469
1.40,0.0572
1.42,0.0863
1.44,0.1050
1.46,0.1526
1.48,0.1622
1.51,0.0783
1.53,0.1175
1.55,0.1092
1.56,0.1308
1.58,0.1821
1.60,0.1584
1.62,0.1338
1.64,0.4882
1.68,0.3164
1.70,0.1015
1.72,0.2663
1.73,0.2186
1.76,0.0891
1.80,0.1536
1.83,0.1977
1.84,0.2239
1.86,0.2896
1.88,0.2601
1.90,0.1750
1.91,0.1511
1.93,0.1000
1.96,0.1722
1.97,0.1955
1.98,0.1825
2.00,0.4399
2.02,0.1693
2.04,0.2566
2.06,0.0698
2.10,0.1433
2.11,0.2200
2.12,0.2178
2.17,0.0469
2.18,0.0445
2.19,0.0362
2.20,0.0248
2.24,0.0334
2.26,0.0454
2.27,0.0395
2.29,0.0291
2.30,0.0244
2.31,0.0243
2.36,0.1529
2.38,0.1132
2.42,0.0339
2.44,0.0248
2.47,0.0225
2.48,0.0255
2.50,0.0808
2.52,0.1254
2.56,0.0868
2.58,0.0422
2.59,0.0237
2.61,0.0211
2.62,0.0260
2.64,0.0220
2.69,0.0049
2.71,0.0048
2.73,0.0050
2.74,0.0064
2.75,0.0089
2.76,0.0078
2.78,0.0092
2.79,0.0075
2.81,0.0086
2.82,0.0097
2.83,0.0088
2.84,0.0082
2.86,0.0066
2.92,0.0021
2.93,0.0029
2.94,0.0032
2.96,0.0024
2.97,0.0023
2.98,0.0059
3.00,0.0058
3.01,0.0059
3.02,0.0051
3.05,0.0014
3.07,0.0101
3.08,0.0162
3.10,0.0120
3.11,0.0096
3.14,0.0027
3.15,0.0118
3.17,0.0038
3.18,0.0036
3.22,0.0043
3.25,0.0066
3.27,0.0093
3.30,0.0932
3.34,0.0163
3.35,0.0179
3.37,0.0180
3.38,0.0171
3.38,0.0166
3.41,0.0076
3.43,0.0111
3.44,0.0132
3.45,0.0123
3.46,0.0153
3.47,0.0151
3.48,0.0162
3.49,0.0212
3.50,0.0222
3.51,0.0261
3.51,0.0245
3.52,0.0181
3.53,0.0210
3.54,0.0200
3.55,0.0156
3.56,0.0148
3.58,0.0421
3.60,0.0736
3.61,0.0783
3.62,0.0485
3.63,0.0646
3.66,0.0430
3.68,0.0515
3.70,0.0496
3.73,0.0746
3.74,0.1066
3.76,0.1021
3.78,0.1531
3.79,0.1569
3.80,0.1644
3.81,0.1618
3.83,0.3966
3.87,0.0916
3.87,0.0753
3.94,0.0154
3.97,0.0142
3.98,0.0145
4.00,0.0192
4.02,0.0190
4.07,0.1294
4.08,0.1307
4.11,0.0150
4.15,0.0527
4.18,0.0450
4.19,0.0481
4.24,0.0100
4.25,0.0112
4.27,0.0100
4.29,0.0141
4.31,0.0121
4.37,0.0053
4.38,0.0055
4.39,0.0050
4.40,0.0044
4.43,0.0273
4.45,0.0278
4.48,0.0055
4.50,0.0347
4.52,0.0420
4.54,0.0192
4.76,0.0013
4.77,0.0030
4.81,0.0466
4.84,0.1139
4.86,0.0181
4.87,0.0174
4.89,0.0168
4.90,0.0222
4.91,0.0159
4.94,0.0074
4.97,0.0060
5.00,0.0412
5.02,0.0283
5.03,0.0256
5.05,0.0254
5.07,0.0233
5.10,0.0085
5.12,0.0079
5.12,0.0080
5.14,0.0263
5.16,0.0335
5.17,0.0298
5.19,0.0364
5.21,0.0444
5.22,0.0176
5.24,0.0204
5.26,0.0374
5.27,0.0554
5.28,0.0528
5.31,0.0450
5.32,0.0808
5.33,0.0513
5.36,0.0198
5.37,0.0283
5.42,0.0067
5.43,0.0085
5.44,0.0077
5.50,0.0023
5.52,0.0037
5.53,0.0041
5.58,0.0023
5.61,0.0294
5.66,0.0047
5.67,0.0030
5.68,0.0051
5.71,0.0536
5.75,0.0053
5.76,0.0028
5.79,0.0030
5.82,0.0039
5.84,0.0029
5.86,0.0199
5.88,0.0213
5.89,0.0207
5.91,0.0187
5.92,0.0049
5.94,0.0047
5.96,0.0035
5.97,0.0054
5.98,0.0032
6.00,0.0017
6.02,0.0029
6.03,0.0018
6.05,0.0030
6.06,0.0021
6.09,0.0082
6.10,0.0137
6.11,0.0126
6.12,0.0130
6.13,0.0170
6.14,0.0147
6.15,0.0163
6.16,0.0228
6.17,0.0182
6.18,0.0200
6.19,0.0259
6.20,0.0164
6.21,0.0085
6.22,0.0091
6.23,0.0090
6.24,0.0096
6.25,0.0218
6.27,0.0208
6.28,0.0191
6.30,0.0164
6.33,0.0030
6.35,0.0016
6.36,0.0013
6.37,0.0013
6.37,0.0013
6.39,0.0019
6.43,0.0031
6.47,0.0286
6.49,0.0290
6.52,0.0233
6.55,0.0233
6.57,0.0141
6.59,0.0158
6.59,0.0161
6.60,0.0164
6.62,0.0191
6.63,0.0321
6.66,0.0243
6.68,0.0317
6.69,0.0424
6.70,0.0476
6.73,0.0679
6.73,0.0777
6.74,0.0941
6.74,0.0895
6.75,0.0925
6.76,0.1170
6.77,0.1208
6.78,0.0937
6.79,0.1002
6.81,0.0855
6.81,0.0815
6.83,0.0682
6.83,0.0675
6.84,0.0615
6.85,0.0539
6.85,0.0509
6.86,0.0435
6.92,0.0558
6.94,0.0489
6.97,0.0881
7.00,0.0374
7.02,0.0262
7.04,0.0211
7.06,0.0175
7.08,0.0112
7.09,0.0167
7.11,0.0441
7.13,0.0129
7.15,0.0099
7.16,0.0139
7.20,0.0135
7.24,0.0066
7.25,0.0058
7.27,0.0059
7.29,0.0046
7.30,0.0058
7.31,0.0051
7.32,0.0074
7.34,0.0095
7.35,0.0197
7.35,0.0190
7.36,0.0194
7.39,0.0108
7.40,0.0244
7.41,0.0176
7.42,0.0270
7.44,0.0304
7.45,0.0181
7.48,0.0039
7.50,0.0112
7.53,0.0156
7.55,0.0199
7.56,0.0182
7.57,0.0118
7.60,0.0034
7.63,0.0023
7.66,0.0010
7.67,0.0043
7.70,0.0043
7.72,0.0017
7.74,0.0007
7.80,0.0247
7.81,0.0095
7.85,0.0006
7.88,0.0028
7.90,0.0013
7.93,0.0034
7.96,0.0017
