"ppm", "INTENSITY"
0.00,0.0562
0.09,0.0004
0.10,0.0003
0.49,0.0001
0.51,0.0001
0.54,0.0003
0.55,0.0003
0.56,0.0004
0.58,0.0003
0.61,0.0016
0.62,0.0008
0.63,0.0008
0.66,0.0012
0.67,0.0025
0.68,0.0026
0.69,0.0034
0.74,0.0218
0.75,0.0118
0.76,0.0040
0.77,0.0067
0.78,0.0057
0.80,0.0238
0.81,0.0150
0.81,0.0209
0.83,0.0125
0.83,0.0180
0.84,0.0324
0.85,0.0245
0.86,0.0219
0.87,0.0313
0.88,0.0451
0.89,0.0290
0.91,0.0139
0.92,0.0122
0.93,0.0350
0.94,0.0159
0.95,0.0253
0.97,0.0216
0.98,0.0220
0.99,0.0124
1.00,0.0115
1.02,0.0115
1.02,0.0103
1.03,0.0079
1.04,0.0218
1.05,0.0121
1.06,0.0080
1.07,0.0162
1.07,0.0113
1.09,0.0176
1.10,0.0104
1.11,0.0083
1.12,0.0086
1.13,0.0102
1.13,0.0097
1.14,0.0080
1.15,0.0079
1.15,0.0082
1.16,0.0109
1.17,0.0095
1.18,0.0128
1.18,0.0233
1.20,0.0124
1.22,0.0118
1.23,0.0200
1.24,0.0242
1.27,0.1957
1.30,0.0504
1.31,0.0489
1.32,0.0480
1.32,0.0559
1.35,0.0193
1.37,0.0162
1.38,0.0171
1.38,0.0159
1.39,0.0228
1.40,0.0204
1.40,0.0207
1.41,0.0199
1.42,0.0147
1.42,0.0146
1.44,0.0136
1.45,0.0138
1.47,0.0101
1.49,0.0099
1.50,0.0106
1.51,0.0109
1.51,0.0109
1.52,0.0116
1.53,0.0105
1.54,0.0101
1.54,0.0107
1.55,0.0112
1.58,0.0242
1.59,0.0262
1.61,0.0128
1.63,0.0148
1.64,0.0121
1.65,0.0152
1.66,0.0248
1.67,0.0289
1.68,0.0151
1.69,0.0115
1.69,0.0107
1.70,0.0120
1.71,0.0134
1.72,0.0131
1.76,0.0061
1.77,0.0049
1.78,0.0060
1.79,0.0115
1.80,0.0064
1.82,0.0053
1.83,0.0052
1.83,0.0062
1.84,0.0064
1.86,0.0072
1.87,0.0058
1.88,0.0054
1.90,0.0054
1.90,0.0051
1.91,0.0062
1.92,0.0061
1.92,0.0061
1.93,0.0063
1.94,0.0068
1.95,0.0065
1.96,0.0087
1.99,0.0085
1.99,0.0092
2.01,0.0183
2.02,0.0151
2.02,0.0139
2.04,0.0098
2.05,0.0096
2.06,0.0064
2.08,0.0048
2.09,0.0047
2.09,0.0047
2.09,0.0049
2.10,0.0049
2.11,0.0049
2.13,0.0062
2.14,0.0048
2.15,0.0046
2.18,0.0029
2.19,0.0035
2.20,0.0036
2.22,0.0031
2.23,0.0104
2.25,0.0165
2.26,0.0103
2.27,0.0040
2.28,0.0040
2.29,0.0046
2.30,0.0045
2.30,0.0047
2.31,0.0050
2.31,0.0051
2.32,0.0053
2.32,0.0052
2.34,0.0046
2.34,0.0045
2.35,0.0037
2.36,0.0030
2.37,0.0031
2.38,0.0043
2.39,0.0043
2.40,0.0029
2.41,0.0032
2.41,0.0027
2.42,0.0027
2.43,0.0026
2.45,0.0021
2.47,0.0027
2.47,0.0029
2.48,0.0029
2.49,0.0029
2.50,0.0044
2.50,0.0041
2.51,0.0045
2.52,0.0045
2.53,0.0123
2.54,0.0058
2.55,0.0043
2.56,0.0042
2.56,0.0029
2.57,0.0032
2.58,0.0022
2.59,0.0024
2.61,0.0020
2.61,0.0020
2.62,0.0020
2.62,0.0020
2.63,0.0021
2.64,0.0023
2.66,0.0021
2.67,0.0027
2.67,0.0027
2.68,0.0021
2.69,0.0027
2.70,0.0029
2.71,0.0022
2.73,0.0019
2.75,0.0033
2.76,0.0044
2.77,0.0041
2.78,0.0032
2.79,0.0030
2.80,0.0026
2.82,0.0028
2.83,0.0032
2.84,0.0026
2.84,0.0029
2.86,0.0020
2.87,0.0021
2.89,0.0021
2.89,0.0021
2.90,0.0021
2.91,0.0022
2.92,0.0022
2.93,0.0023
2.93,0.0033
2.95,0.0023
2.96,0.0022
2.98,0.0023
2.98,0.0023
2.99,0.0028
3.01,0.0026
3.02,0.0026
3.02,0.0026
3.03,0.0025
3.04,0.0023
3.05,0.0025
3.05,0.0026
3.07,0.0033
3.07,0.0042
3.09,0.0050
3.09,0.0053
3.10,0.0077
3.11,0.0058
3.12,0.0097
3.13,0.0114
3.13,0.0077
3.15,0.0055
3.16,0.0050
3.16,0.0049
3.18,0.0193
3.19,0.0068
3.20,0.0081
3.21,0.0070
3.22,0.0061
3.23,0.0064
3.24,0.0075
3.24,0.0072
3.24,0.0079
3.25,0.0191
3.26,0.0104
3.27,0.0146
3.28,0.0204
3.30,0.1855
3.51,0.0306
3.52,0.0313
3.53,0.0157
3.54,0.0215
3.55,0.0187
3.55,0.0187
3.56,0.0191
3.56,0.0317
3.57,0.0328
3.58,0.0270
3.59,0.0278
3.60,0.0280
3.60,0.0251
3.61,0.0234
3.61,0.0168
3.62,0.0202
3.62,0.0265
3.63,0.0280
3.63,0.0221
3.64,0.0255
3.64,0.0384
3.65,0.0267
3.66,0.0339
3.67,0.0226
3.68,0.0222
3.68,0.0224
3.69,0.0225
3.70,0.0230
3.70,0.0226
3.72,0.0388
3.73,0.0273
3.74,0.0315
3.76,0.0410
3.77,0.0421
3.77,0.0536
3.78,0.0487
3.79,0.0567
3.80,0.0526
