"ppm", "INTENSITY"
0.00,0.0237
0.51,0.0004
0.52,0.0004
0.54,0.0015
0.54,0.0014
0.56,0.0066
0.58,0.0008
0.59,0.0011
0.61,0.0243
0.65,0.0097
0.66,0.0102
0.67,0.0086
0.68,0.0035
0.69,0.0033
0.69,0.0040
0.70,0.0034
0.71,0.0020
0.72,0.0026
0.72,0.0020
0.73,0.0038
0.74,0.0037
0.74,0.0052
0.75,0.0121
0.77,0.0088
0.78,0.0053
0.79,0.0043
0.80,0.0060
0.80,0.0057
0.81,0.0197
0.83,0.0140
0.84,0.0174
0.84,0.0161
0.87,0.1039
0.88,0.2039
0.89,0.1658
0.91,0.0661
0.92,0.0530
0.93,0.0518
0.94,0.0548
0.95,0.0455
0.95,0.0477
0.96,0.0439
0.97,0.0471
0.97,0.0519
0.98,0.0543
0.98,0.0581
0.99,0.0651
0.99,0.0522
1.00,0.0509
1.01,0.0417
1.02,0.0382
1.03,0.0372
1.04,0.0360
1.05,0.0367
1.06,0.0356
1.06,0.0346
1.09,0.0165
1.09,0.0120
1.10,0.0137
1.11,0.0120
1.12,0.0088
1.13,0.0053
1.14,0.0067
1.15,0.0058
1.15,0.0062
1.16,0.0105
1.17,0.0499
1.18,0.0362
1.22,0.0746
1.27,0.0777
1.39,0.0414
1.40,0.0423
1.43,0.0739
1.44,0.0714
1.47,0.0516
1.49,0.0489
1.49,0.0501
1.50,0.0461
1.53,0.0262
1.54,0.0141
1.55,0.0144
1.56,0.0141
1.56,0.0246
1.58,0.0309
1.59,0.0255
1.60,0.0268
1.62,0.0119
1.64,0.0117
1.65,0.0077
1.66,0.0089
1.68,0.0044
1.70,0.0047
1.72,0.0136
1.73,0.0168
1.74,0.0071
1.75,0.0084
1.76,0.0074
1.77,0.0081
1.81,0.0048
1.85,0.0607
1.86,0.0597
1.92,0.0309
1.95,0.0136
1.96,0.0090
1.98,0.0184
1.99,0.0814
2.01,0.2000
2.04,0.0440
2.05,0.0351
2.05,0.0343
2.08,0.0172
2.09,0.0185
2.10,0.0194
2.11,0.0241
2.12,0.0176
2.13,0.0139
2.15,0.0107
2.17,0.0065
2.19,0.0090
2.20,0.0069
2.21,0.0045
2.23,0.0032
2.24,0.0246
2.26,0.0483
2.27,0.0329
2.30,0.0045
2.31,0.0021
2.32,0.0023
2.33,0.0024
2.34,0.0063
2.35,0.0103
2.37,0.0187
2.38,0.0172
2.40,0.0146
2.41,0.0151
2.43,0.0103
2.43,0.0105
2.45,0.0050
2.47,0.0020
2.49,0.0014
2.50,0.0015
2.52,0.0093
2.53,0.0096
2.55,0.0077
2.56,0.0059
2.59,0.0034
2.60,0.0031
2.61,0.0016
2.62,0.0015
2.62,0.0018
2.63,0.0022
2.64,0.0020
2.65,0.0024
2.66,0.0031
2.66,0.0029
2.69,0.0024
2.69,0.0024
2.70,0.0018
2.71,0.0019
2.72,0.0017
2.74,0.0057
2.76,0.0089
2.77,0.0070
2.78,0.0041
2.79,0.0046
2.80,0.0034
2.81,0.0030
2.82,0.0032
2.83,0.0037
2.84,0.0035
2.85,0.0035
2.86,0.0032
2.87,0.0032
2.88,0.0027
2.89,0.0025
2.89,0.0025
2.90,0.0022
2.92,0.0020
2.95,0.0015
2.95,0.0014
2.97,0.0019
2.97,0.0021
2.98,0.0024
3.00,0.0050
3.01,0.0038
3.02,0.0021
3.03,0.0022
3.04,0.0019
3.05,0.0021
3.06,0.0027
3.07,0.0024
3.11,0.0064
3.12,0.0064
3.13,0.0063
3.14,0.0045
3.15,0.0055
3.16,0.0048
3.18,0.0076
3.21,0.0086
3.25,0.0024
3.28,0.0710
3.29,0.1086
3.51,0.0246
3.52,0.0265
3.53,0.0041
3.54,0.0029
3.55,0.0012
3.56,0.0218
3.57,0.0295
3.58,0.0171
3.59,0.0187
3.60,0.0113
3.63,0.0151
3.64,0.0154
3.65,0.0206
3.66,0.0131
3.67,0.0071
3.68,0.0076
3.70,0.0147
3.71,0.0127
3.72,0.0200
3.72,0.0180
3.73,0.0135
3.74,0.0140
3.75,0.0159
3.76,0.0134
3.77,0.0383
3.78,0.0212
3.79,0.0399
3.80,0.0202
3.81,0.0487
3.81,0.0393
3.82,0.0341
3.82,0.0366
3.83,0.0431
3.83,0.0378
3.84,0.0241
3.86,0.0148
3.86,0.0141
3.87,0.0081
3.88,0.0062
3.88,0.0059
3.90,0.0031
3.95,0.0137
4.00,0.0065
4.02,0.0050
4.03,0.0060
4.05,0.0039
4.06,0.0058
4.07,0.0059
4.08,0.0018
4.09,0.0019
4.10,0.0019
4.11,0.0020
4.13,0.0015
4.13,0.0016
4.14,0.0022
4.14,0.0022
4.15,0.0022
4.15,0.0024
4.17,0.0025
4.18,0.0025
4.18,0.0026
4.19,0.0026
4.20,0.0046
4.21,0.0047
4.22,0.0045
4.23,0.0038
4.25,0.0013
4.26,0.0013
