"ppm", "INTENSITY"
0.00,0.0054
0.17,0.0001
0.18,0.0001
0.27,0.0001
0.44,0.0001
0.44,0.0002
0.47,0.0001
0.51,0.0008
0.54,0.0083
0.55,0.0283
0.58,0.0028
0.59,0.0024
0.61,0.1828
0.65,0.0537
0.66,0.0610
0.69,0.0100
0.70,0.0066
0.72,0.0038
0.72,0.0039
0.74,0.0021
0.74,0.0022
0.77,0.0083
0.78,0.0022
0.78,0.0026
0.79,0.0027
0.81,0.0836
0.82,0.0146
0.83,0.0173
0.85,0.0076
0.87,0.0166
0.88,0.0137
0.88,0.0221
0.89,0.0168
0.89,0.0181
0.90,0.0130
0.92,0.0081
0.93,0.0098
0.94,0.0154
0.94,0.0154
0.95,0.0113
0.98,0.0551
0.98,0.0684
0.99,0.0692
0.99,0.0693
1.00,0.0681
1.02,0.0313
1.03,0.0318
1.03,0.0311
1.04,0.0311
1.04,0.0261
1.05,0.0364
1.06,0.0395
1.08,0.0302
1.10,0.0229
1.10,0.0196
1.11,0.0171
1.12,0.0219
1.14,0.0171
1.14,0.0171
1.15,0.0229
1.15,0.0235
1.16,0.0396
1.17,0.2630
1.18,0.1227
1.18,0.1145
1.22,0.1153
1.24,0.0319
1.25,0.0220
1.27,0.1001
1.29,0.0418
1.31,0.0521
1.32,0.0388
1.32,0.0448
1.33,0.0464
1.35,0.0289
1.35,0.0241
1.40,0.0123
1.41,0.0133
1.42,0.0200
1.43,0.0186
1.44,0.0227
1.45,0.0237
1.46,0.0347
1.47,0.0347
1.48,0.0409
1.48,0.0419
1.49,0.0400
1.49,0.0362
1.52,0.0217
1.54,0.0253
1.55,0.0269
1.55,0.0254
1.57,0.0284
1.58,0.0309
1.60,0.0544
1.61,0.0494
1.63,0.0310
1.64,0.1593
1.65,0.0407
1.67,0.0345
1.68,0.0692
1.69,0.0298
1.70,0.0324
1.72,0.0695
1.73,0.0654
1.74,0.0259
1.76,0.0207
1.78,0.0293
1.78,0.0296
1.80,0.0385
1.82,0.0435
1.83,0.0442
1.85,0.0603
1.87,0.0774
1.89,0.0741
1.90,0.0505
1.91,0.0462
1.92,0.0434
1.95,0.0321
1.96,0.0397
1.96,0.0382
1.97,0.0445
1.98,0.0429
2.00,0.0979
2.01,0.0286
2.02,0.0324
2.04,0.0426
2.04,0.0423
2.05,0.0340
2.07,0.0196
2.11,0.0658
2.12,0.0550
2.14,0.0398
2.15,0.0228
2.16,0.0199
2.18,0.0135
2.19,0.0135
2.20,0.0132
2.21,0.0058
2.24,0.0038
2.25,0.0071
2.26,0.0058
2.27,0.0064
2.28,0.0062
2.28,0.0049
2.29,0.0040
