"ppm", "INTENSITY"
0.00,0.0091
0.34,0.0005
0.34,0.0005
0.39,0.0003
0.51,0.0014
0.55,0.0101
0.56,0.0217
0.59,0.0016
0.62,0.2938
0.66,0.0560
0.67,0.0617
0.68,0.0322
0.70,0.0122
0.72,0.0080
0.74,0.0054
0.77,0.0112
0.77,0.0114
0.80,0.0071
0.81,0.0126
0.82,0.0722
0.84,0.0192
0.85,0.0103
0.86,0.0098
0.87,0.0188
0.89,0.0317
0.90,0.0206
0.90,0.0149
0.91,0.0177
0.92,0.0171
0.93,0.0182
0.94,0.0222
0.94,0.0174
0.96,0.0358
0.97,0.0152
0.98,0.0097
0.99,0.0697
1.00,0.0620
1.00,0.0574
1.01,0.0306
1.02,0.0323
1.02,0.0435
1.03,0.0296
1.04,0.0450
1.04,0.0435
1.05,0.0311
1.06,0.0451
1.07,0.0470
1.08,0.0369
1.09,0.0395
1.10,0.0272
1.11,0.0268
1.12,0.0198
1.13,0.0218
1.13,0.0184
1.14,0.0175
1.15,0.0213
1.15,0.0225
1.16,0.0226
1.17,0.0353
1.18,0.3804
1.18,0.1383
1.19,0.1291
1.22,0.1490
1.24,0.0378
1.24,0.0375
1.26,0.0264
1.27,0.1053
1.32,0.0822
1.33,0.0611
1.34,0.0638
1.39,0.0162
1.41,0.0169
1.41,0.0189
1.42,0.0234
1.43,0.0283
1.44,0.0257
1.44,0.0268
1.45,0.0334
1.45,0.0338
1.47,0.0492
1.48,0.0515
1.49,0.0545
1.52,0.0262
1.53,0.0296
1.54,0.0294
1.55,0.0354
1.57,0.0354
1.58,0.0412
1.60,0.0750
1.62,0.0700
1.64,0.2539
1.67,0.0450
1.69,0.0845
1.70,0.0419
1.72,0.0773
1.73,0.0694
1.76,0.0315
1.79,0.0330
1.82,0.0676
1.83,0.0619
1.83,0.0643
1.85,0.0802
1.86,0.0792
1.87,0.0885
1.88,0.1032
1.89,0.1107
1.90,0.0761
1.91,0.0718
1.93,0.0607
1.95,0.0424
1.96,0.0708
1.98,0.0617
1.99,0.0631
2.00,0.1152
2.02,0.0398
2.03,0.0415
2.04,0.0437
2.08,0.0262
2.11,0.0797
2.12,0.0763
2.14,0.0594
2.15,0.0386
2.18,0.0225
2.19,0.0222
2.21,0.0187
2.22,0.0157
2.23,0.0197
2.25,0.0252
2.26,0.0209
2.27,0.0159
2.28,0.0166
2.28,0.0159
2.29,0.0151
2.33,0.0109
2.37,0.0560
2.38,0.0485
2.39,0.0478
2.39,0.0477
2.44,0.0130
2.45,0.0129
2.47,0.0107
2.47,0.0104
2.49,0.0089
2.50,0.0085
2.52,0.0130
2.54,0.0135
2.55,0.0164
2.55,0.0180
2.56,0.0153
2.57,0.0110
2.59,0.0084
2.63,0.0065
2.64,0.0064
2.65,0.0064
2.66,0.0059
2.67,0.0054
2.69,0.0053
2.70,0.0054
2.71,0.0055
2.72,0.0069
2.75,0.0059
2.77,0.0068
2.80,0.0160
2.82,0.0083
2.83,0.0091
2.85,0.0107
2.86,0.0097
2.87,0.0083
2.88,0.0085
2.91,0.0085
2.94,0.0057
2.96,0.0054
2.97,0.0057
2.99,0.0051
3.00,0.0142
3.02,0.0050
3.05,0.0108
3.07,0.0045
3.08,0.0046
3.09,0.0065
3.11,0.0081
3.12,0.0065
3.13,0.0056
3.14,0.0051
3.15,0.0072
3.16,0.0096
3.18,0.0074
3.19,0.0256
3.20,0.0100
3.22,0.0098
3.25,0.0156
3.26,0.0056
3.28,0.0049
3.28,0.0049
3.29,0.0270
3.51,0.0180
3.52,0.0225
3.53,0.0250
3.54,0.0104
3.55,0.0096
3.56,0.0095
3.57,0.0231
3.58,0.0269
3.59,0.0197
3.60,0.0244
3.61,0.0136
3.61,0.0218
3.63,0.0153
3.63,0.0180
3.64,0.0283
3.65,0.0161
3.66,0.0185
3.66,0.0145
3.67,0.0132
3.68,0.0125
3.69,0.0117
3.70,0.0139
3.70,0.0129
3.71,0.0132
3.72,0.0183
3.73,0.0150
3.74,0.0117
3.74,0.0120
3.75,0.0120
3.76,0.0125
3.76,0.0120
3.77,0.0122
3.78,0.0121
3.79,0.0173
3.79,0.0220
3.81,0.0211
3.82,0.0265
3.82,0.0231
3.83,0.0252
3.83,0.0263
3.85,0.0137
3.85,0.0126
3.88,0.0094
