"ppm", "INTENSITY"
0.00,0.0492
0.10,0.0004
0.25,0.0008
0.29,0.0020
0.30,0.0021
0.32,0.0012
0.35,0.0015
0.39,0.0015
0.41,0.0019
0.43,0.0019
0.44,0.0032
0.46,0.0040
0.46,0.0038
0.48,0.0040
0.51,0.0041
0.52,0.0041
0.53,0.0044
0.54,0.0036
0.56,0.0049
0.58,0.0051
0.61,0.0188
0.65,0.0134
0.66,0.0156
0.66,0.0153
0.69,0.0127
0.69,0.0162
0.73,0.0371
0.73,0.0442
0.74,0.0302
0.75,0.0299
0.76,0.0320
0.78,0.0521
0.78,0.0462
0.80,0.0314
0.81,0.0652
0.82,0.0556
0.84,0.0521
0.85,0.0555
0.86,0.0634
0.87,0.1060
0.88,0.1643
0.89,0.1026
0.92,0.1071
0.92,0.1246
0.95,0.0957
0.96,0.0718
0.98,0.0596
0.98,0.0627
0.99,0.0625
1.01,0.0702
1.01,0.0555
1.02,0.0810
1.03,0.0891
1.03,0.0738
1.05,0.0561
1.06,0.0469
1.07,0.0595
1.09,0.0618
1.11,0.0669
1.12,0.0661
1.13,0.0647
1.14,0.0648
1.14,0.0684
1.15,0.0699
1.17,0.0832
1.18,0.0604
1.20,0.0628
1.22,0.0672
1.23,0.1146
1.23,0.1352
1.26,0.5683
1.27,0.2466
1.30,0.1674
1.32,0.1104
1.32,0.1372
1.35,0.0529
1.35,0.0527
1.36,0.0494
1.37,0.0524
1.37,0.0511
1.39,0.0553
1.41,0.0506
1.42,0.0402
1.42,0.0394
1.43,0.0397
1.45,0.0399
1.48,0.0555
1.48,0.0492
1.49,0.0584
1.50,0.0503
1.51,0.0514
1.51,0.0508
1.52,0.0540
1.52,0.0527
1.53,0.0577
1.55,0.0602
1.56,0.0709
1.57,0.1219
1.59,0.0901
1.60,0.0730
1.62,0.0658
1.63,0.0524
1.65,0.0828
1.66,0.1114
1.69,0.0443
1.70,0.0477
1.72,0.0568
1.74,0.0307
1.75,0.0314
1.77,0.0252
1.79,0.0394
1.81,0.0230
1.83,0.0266
1.84,0.0261
1.84,0.0260
1.86,0.0302
1.89,0.0339
1.90,0.0359
1.90,0.0359
1.92,0.0357
1.93,0.0612
1.95,0.0370
1.96,0.0370
1.98,0.0361
2.00,0.0584
2.01,0.0552
2.04,0.0435
2.05,0.0498
2.06,0.0493
2.10,0.0244
2.10,0.0228
2.11,0.0228
2.11,0.0231
2.13,0.0235
2.14,0.0241
2.16,0.0235
2.18,0.0176
2.20,0.0180
2.21,0.0185
2.24,0.0380
2.26,0.0612
2.27,0.0396
2.31,0.0136
2.33,0.0132
2.34,0.0120
2.35,0.0125
2.36,0.0145
2.37,0.0145
2.37,0.0131
2.38,0.0138
2.39,0.0124
2.40,0.0108
2.41,0.0092
2.42,0.0091
2.43,0.0092
2.44,0.0095
2.46,0.0099
2.47,0.0090
2.48,0.0097
2.49,0.0119
2.50,0.0131
2.51,0.0131
2.51,0.0121
2.53,0.0092
2.54,0.0087
2.55,0.0088
2.55,0.0317
2.57,0.0086
2.58,0.0068
2.59,0.0067
2.61,0.0071
2.62,0.0071
2.63,0.0075
2.64,0.0092
2.64,0.0096
2.67,0.0099
2.67,0.0113
2.69,0.0089
2.70,0.0088
2.72,0.0127
2.74,0.0073
2.75,0.0085
2.76,0.0071
2.78,0.0076
2.79,0.0090
2.80,0.0086
2.80,0.0087
2.81,0.0077
2.84,0.0093
2.86,0.0096
2.87,0.0087
2.88,0.0071
2.90,0.0073
2.91,0.0083
2.92,0.0082
2.92,0.0088
2.93,0.0073
2.94,0.0072
2.95,0.0064
2.97,0.0053
2.98,0.0051
2.99,0.0068
3.01,0.0063
3.02,0.0055
3.03,0.0082
3.06,0.0141
3.06,0.0129
3.07,0.0116
3.07,0.0119
3.09,0.0150
3.09,0.0154
3.10,0.0182
3.11,0.0145
3.12,0.0136
3.13,0.0175
3.14,0.0190
3.16,0.0490
3.17,0.0174
3.18,0.0202
3.21,0.0238
3.21,0.0215
3.22,0.0206
3.24,0.0447
3.25,0.0323
3.26,0.0285
3.26,0.0257
3.27,0.0302
3.29,0.0402
3.51,0.0956
3.52,0.1160
3.53,0.1298
3.55,0.0428
3.55,0.0427
3.56,0.0460
3.56,0.0433
3.58,0.1328
3.58,0.1582
3.59,0.1149
3.60,0.1367
3.61,0.0954
3.62,0.0933
3.62,0.0773
3.63,0.0924
3.64,0.0822
3.65,0.0996
3.66,0.1308
3.67,0.1067
3.68,0.1193
3.68,0.1087
3.69,0.1037
3.70,0.2061
3.70,0.1279
3.71,0.1208
3.71,0.1146
3.73,0.1816
3.73,0.1586
3.75,0.1425
3.75,0.1631
3.76,0.2050
3.76,0.2001
3.77,0.1859
3.78,0.2430
3.78,0.2429
3.79,0.2331
3.80,0.2334
3.81,0.2550
3.81,0.2607
3.82,0.2801
3.83,0.2481
3.83,0.3293
3.86,0.1108
3.86,0.1047
3.87,0.0871
3.88,0.0764
3.88,0.0974
3.90,0.0466
3.90,0.0456
3.92,0.0421
3.94,0.0233
3.95,0.0300
3.95,0.0385
3.96,0.0384
3.97,0.0394
3.97,0.0397
4.00,0.0442
4.02,0.0447
4.04,0.0288
4.05,0.0520
4.07,0.0340
4.07,0.0239
4.09,0.0193
4.09,0.0202
4.10,0.0245
4.11,0.0249
4.12,0.0251
4.12,0.0280
4.13,0.0232
4.16,0.0349
4.17,0.0272
4.18,0.0274
4.19,0.0271
4.19,0.0246
4.20,0.0222
4.20,0.0216
4.22,0.0210
4.22,0.0194
4.23,0.0197
4.24,0.0196
4.24,0.0171
4.25,0.0172
4.25,0.0174
4.26,0.0199
4.27,0.0231
4.28,0.0187
4.28,0.0216
4.30,0.0146
4.31,0.0189
4.33,0.0190
4.35,0.0209
4.36,0.0163
4.37,0.0180
4.37,0.0188
4.38,0.0194
4.39,0.0167
4.41,0.0125
4.42,0.0126
4.42,0.0125
4.43,0.0122
4.44,0.0134
4.44,0.0124
4.45,0.0128
4.46,0.0175
4.47,0.0212
4.48,0.0288
4.49,0.0276
4.50,0.0254
4.51,0.0214
4.52,0.0163
4.52,0.0140
4.53,0.0136
4.53,0.0134
4.55,0.0164
4.55,0.0163
4.57,0.0128
4.58,0.0140
4.58,0.0207
4.60,0.0137
4.60,0.0129
4.62,0.0151
4.63,0.0138
4.64,0.0139
4.67,0.0251
4.68,0.0212
4.69,0.0178
4.69,0.0184
4.70,0.0182
4.71,0.0181
4.71,0.0183
4.72,0.0197
4.73,0.0196
4.73,0.0226
4.75,0.0268
5.02,0.0394
5.03,0.0355
5.03,0.0351
5.04,0.0318
5.04,0.0321
5.04,0.0325
5.06,0.0293
5.06,0.0291
5.06,0.0296
5.06,0.0295
5.08,0.0264
5.09,0.0243
5.11,0.0284
5.12,0.0283
5.13,0.0238
5.15,0.0183
5.16,0.0198
5.16,0.0207
5.16,0.0205
5.17,0.0188
5.18,0.0153
5.19,0.0184
5.19,0.0187
5.20,0.0190
5.21,0.0228
5.21,0.0169
5.22,0.0152
5.23,0.0146
5.24,0.0158
5.24,0.0164
5.25,0.0128
5.26,0.0149
5.27,0.0145
5.27,0.0150
5.27,0.0143
5.29,0.0146
5.29,0.0151
5.30,0.0150
5.31,0.0217
5.32,0.0360
5.33,0.0433
5.36,0.0132
5.39,0.0119
5.40,0.0115
5.41,0.0133
5.42,0.0137
5.43,0.0110
5.44,0.0115
5.45,0.0093
5.45,0.0099
5.46,0.0169
5.48,0.0059
5.49,0.0052
5.52,0.0053
5.55,0.0050
5.56,0.0054
5.57,0.0052
5.60,0.0042
5.61,0.0037
5.62,0.0034
5.64,0.0032
5.64,0.0031
5.66,0.0031
5.67,0.0030
5.68,0.0032
5.69,0.0032
5.71,0.0035
5.73,0.0031
5.74,0.0030
5.76,0.0032
5.77,0.0031
5.78,0.0034
5.79,0.0037
5.80,0.0044
5.81,0.0047
5.83,0.0050
5.84,0.0063
5.85,0.0045
5.86,0.0049
5.86,0.0050
5.87,0.0078
5.87,0.0094
5.88,0.0084
5.89,0.0263
5.89,0.0226
5.90,0.0264
5.91,0.0098
5.92,0.0115
5.92,0.0101
5.92,0.0077
5.93,0.0081
5.93,0.0074
5.94,0.0064
5.94,0.0064
5.95,0.0047
5.96,0.0047
5.96,0.0045
5.97,0.0048
5.98,0.0046
5.98,0.0045
5.99,0.0042
6.00,0.0042
6.01,0.0041
6.01,0.0039
6.02,0.0039
6.02,0.0040
6.03,0.0043
6.04,0.0044
6.04,0.0042
6.05,0.0041
6.05,0.0038
6.06,0.0034
6.07,0.0035
6.08,0.0037
6.08,0.0037
6.09,0.0038
6.10,0.0043
6.11,0.0040
6.12,0.0040
6.13,0.0043
6.14,0.0043
6.15,0.0042
6.15,0.0045
6.16,0.0044
6.16,0.0048
6.17,0.0054
6.18,0.0062
6.18,0.0068
6.19,0.0076
6.19,0.0063
6.20,0.0074
6.20,0.0073
6.21,0.0079
6.22,0.0194
6.22,0.0179
6.23,0.0085
6.24,0.0108
6.25,0.0149
6.26,0.0122
6.26,0.0140
6.27,0.0184
6.28,0.0140
6.29,0.0105
6.30,0.0159
6.31,0.0170
6.31,0.0122
6.32,0.0219
6.33,0.0211
6.33,0.0132
6.35,0.0289
6.37,0.0120
6.37,0.0122
6.38,0.0150
6.38,0.0126
6.39,0.0144
6.40,0.0148
6.40,0.0165
6.40,0.0176
6.41,0.0198
6.41,0.0165
6.42,0.0149
6.42,0.0136
6.44,0.0082
6.45,0.0143
6.46,0.0108
6.47,0.0117
6.48,0.0204
6.48,0.0172
6.49,0.0165
6.49,0.0167
6.50,0.0161
6.51,0.0136
6.52,0.0149
6.52,0.0178
6.53,0.0165
6.53,0.0156
6.54,0.0138
6.55,0.0170
6.56,0.0165
6.59,0.0155
6.59,0.0196
6.61,0.0354
6.62,0.0207
6.63,0.0274
6.64,0.0310
6.64,0.0248
6.66,0.0348
6.67,0.0322
6.68,0.0290
6.69,0.0282
6.69,0.0260
6.70,0.0282
6.71,0.0284
6.71,0.0336
6.72,0.0318
6.73,0.0469
6.74,0.0385
6.75,0.0522
6.75,0.0491
6.77,0.0597
6.77,0.0594
6.77,0.0514
6.78,0.0439
6.79,0.0499
6.79,0.0441
6.80,0.0495
6.81,0.0436
6.82,0.0375
6.83,0.0394
6.84,0.0371
6.84,0.0398
6.85,0.0382
6.86,0.0491
6.86,0.0512
6.87,0.0478
6.88,0.0408
6.88,0.0415
6.89,0.0350
6.90,0.0354
6.90,0.0347
6.91,0.0373
6.91,0.0376
6.92,0.0446
6.93,0.0573
6.93,0.0519
6.94,0.0461
6.94,0.0492
6.95,0.0388
6.96,0.0231
6.96,0.0245
6.97,0.0224
6.98,0.0258
6.99,0.0227
7.00,0.0231
7.00,0.0231
7.01,0.0378
7.02,0.0381
7.03,0.0229
7.03,0.0235
7.04,0.0301
7.05,0.0220
7.07,0.0148
7.08,0.0146
7.09,0.0197
7.11,0.0249
7.12,0.0267
7.13,0.0215
7.14,0.0178
7.14,0.0207
7.15,0.0241
7.15,0.0219
7.16,0.0216
7.16,0.0211
7.18,0.0098
7.19,0.0214
7.21,0.0112
7.21,0.0109
7.22,0.0120
7.23,0.0114
7.24,0.0121
7.24,0.0120
7.25,0.0168
7.27,0.0221
7.28,0.0181
7.29,0.0134
7.30,0.0131
7.30,0.0147
7.30,0.0155
7.32,0.0209
7.32,0.0207
7.32,0.0187
7.33,0.0197
7.34,0.0270
7.36,0.0438
7.36,0.0542
7.36,0.0567
7.40,0.0223
7.42,0.0494
7.42,0.0604
7.44,0.0917
7.44,0.0813
7.45,0.0735
7.45,0.0556
7.46,0.0554
7.49,0.0167
7.52,0.0196
7.55,0.0380
7.56,0.0651
7.57,0.0559
7.58,0.0352
7.60,0.0155
7.63,0.0102
7.63,0.0172
7.66,0.0138
7.67,0.0115
7.68,0.0075
7.70,0.0102
7.72,0.0054
7.72,0.0067
7.73,0.0061
7.75,0.0055
7.75,0.0064
7.76,0.0052
7.77,0.0053
7.78,0.0044
7.79,0.0040
7.81,0.0035
7.82,0.0036
7.83,0.0040
7.84,0.0040
7.84,0.0041
7.86,0.0047
7.86,0.0047
7.88,0.0048
7.88,0.0048
7.90,0.0053
7.91,0.0057
7.95,0.0076
7.96,0.0082
7.97,0.0102
7.98,0.0200
8.00,0.0582
8.00,0.0597
8.01,0.0703
8.03,0.0420
8.04,0.0178
8.06,0.0096
8.06,0.0122
8.08,0.0149
8.10,0.0060
8.10,0.0062
8.11,0.0053
8.11,0.0054
8.16,0.0021
8.17,0.0016
8.19,0.0016
