"ppm", "INTENSITY"
0.00,0.0243
0.31,0.0002
0.52,0.0004
0.61,0.0011
0.63,0.0010
0.67,0.0035
0.71,0.0079
0.73,0.0596
0.75,0.0246
0.76,0.0493
0.77,0.0360
0.78,0.0409
0.80,0.0756
0.81,0.0500
0.82,0.0617
0.83,0.0924
0.84,0.0602
0.85,0.0633
0.86,0.0683
0.87,0.0956
0.88,0.0648
0.93,0.0867
0.94,0.0475
0.95,0.0424
0.96,0.1113
0.98,0.0356
1.00,0.0293
1.00,0.0297
1.01,0.0341
1.02,0.0303
1.03,0.0271
1.04,0.0247
1.04,0.0252
1.06,0.0301
1.07,0.0248
1.10,0.0318
1.11,0.0403
1.12,0.0680
1.14,0.0395
1.16,0.0293
1.17,0.0360
1.18,0.0357
1.21,0.3125
1.22,0.2895
1.23,0.1049
1.26,0.2529
1.28,0.1283
1.29,0.1387
1.31,0.1094
1.32,0.0920
1.33,0.0804
1.35,0.0601
1.38,0.0405
1.40,0.0397
1.40,0.0401
1.42,0.0470
1.43,0.0453
1.44,0.0535
1.46,0.0692
1.47,0.0731
1.48,0.0811
1.49,0.0939
1.51,0.1014
1.53,0.1225
1.55,0.3636
1.56,0.3922
1.57,0.5110
1.58,0.3162
1.59,0.3683
1.60,0.2633
1.65,0.1587
1.68,0.1087
1.69,0.1033
1.70,0.1051
1.71,0.0788
1.73,0.0781
1.74,0.1131
1.75,0.0913
1.77,0.4800
1.83,0.0334
1.84,0.0335
1.86,0.0323
1.87,0.0323
1.89,0.0356
1.95,0.1651
1.96,0.1463
2.00,0.3100
2.04,0.1828
2.05,0.3281
2.06,0.4231
2.08,0.2373
2.09,0.1938
2.13,0.0634
2.14,0.0458
2.19,0.0256
2.20,0.0257
2.23,0.0597
2.24,0.1257
2.25,0.1492
2.26,0.1112
2.32,0.0267
2.35,0.0242
2.39,0.0122
2.40,0.0117
2.41,0.0137
2.43,0.0143
2.44,0.0129
2.46,0.0138
2.47,0.0137
2.48,0.0120
2.49,0.0114
2.52,0.0139
2.53,0.0136
2.53,0.0142
2.56,0.0203
2.57,0.0234
2.59,0.0315
2.62,0.0530
2.63,0.0814
2.64,0.0755
2.72,0.0097
2.74,0.0102
2.75,0.0122
2.76,0.0094
2.77,0.0076
2.80,0.0052
2.82,0.0042
2.85,0.0032
2.89,0.0071
2.92,0.0064
2.95,0.0058
2.97,0.0065
3.00,0.0036
3.02,0.0015
3.04,0.0013
3.05,0.0014
3.08,0.0030
3.13,0.0112
3.14,0.0130
3.15,0.0116
3.16,0.0104
3.17,0.0206
3.20,0.0063
3.22,0.0077
3.25,0.0057
3.51,0.0159
3.52,0.0179
3.53,0.0170
3.56,0.0109
3.58,0.0165
3.58,0.0183
3.59,0.0169
3.60,0.0200
3.61,0.0322
3.63,0.0208
3.64,0.0237
3.65,0.0187
3.66,0.0285
3.68,0.0267
3.69,0.0183
3.70,0.0184
3.72,0.0233
3.74,0.0233
3.76,0.0324
3.76,0.0329
3.77,0.0342
3.78,0.0346
3.79,0.0523
3.83,0.0774
3.84,0.0612
3.86,0.0282
3.87,0.0271
3.88,0.0178
3.89,0.0371
3.97,0.0102
4.00,0.0150
4.02,0.0150
4.04,0.0090
4.05,0.0182
4.06,0.0103
4.07,0.0071
4.11,0.0085
4.13,0.0058
4.13,0.0061
4.15,0.0067
4.18,0.0042
4.18,0.0050
4.23,0.0030
4.24,0.0031
4.26,0.0029
4.28,0.0032
4.29,0.0035
4.31,0.0028
4.32,0.0031
4.34,0.0031
4.35,0.0027
4.36,0.0028
4.37,0.0033
4.39,0.0103
