"ppm", "INTENSITY"
0.00,0.0132
0.51,0.0049
0.55,0.0290
0.56,0.0558
0.61,0.6723
0.64,0.0272
0.66,0.1558
0.66,0.1543
0.68,0.1322
0.70,0.0152
0.72,0.0040
0.73,0.0016
0.74,0.0024
0.77,0.0200
0.81,0.2043
0.83,0.0293
0.84,0.0442
0.85,0.0190
0.87,0.0342
0.88,0.0616
0.89,0.0378
0.91,0.0249
0.91,0.0249
0.92,0.0239
0.93,0.0591
0.94,0.0394
0.96,0.1367
0.98,0.2128
0.99,0.1727
1.00,0.1727
1.00,0.1540
1.01,0.0749
1.02,0.0872
1.03,0.1065
1.04,0.0981
1.06,0.1093
1.06,0.1058
1.08,0.0851
1.08,0.0864
1.10,0.0623
1.13,0.0626
1.15,0.0979
1.15,0.0869
1.16,0.1568
1.17,0.9002
1.18,0.3347
1.20,0.0839
1.22,0.4214
1.24,0.0793
1.25,0.0526
1.27,0.3181
1.30,0.0981
1.31,0.1273
1.33,0.0947
1.33,0.0972
1.34,0.0480
1.35,0.0438
1.37,0.0161
1.39,0.0027
1.40,0.0068
1.41,0.0122
1.43,0.0360
1.44,0.0529
1.45,0.0553
1.47,0.0868
1.47,0.0964
1.49,0.0849
1.53,0.0404
1.54,0.0713
1.55,0.0604
1.56,0.0642
1.58,0.0663
1.60,0.1352
1.62,0.1102
1.64,0.4814
1.67,0.0342
1.68,0.1796
1.70,0.0454
1.72,0.1591
1.73,0.1244
1.75,0.0071
1.77,0.0047
1.79,0.0426
1.82,0.1059
1.82,0.1021
1.84,0.1190
1.85,0.1351
1.85,0.1335
1.87,0.1826
1.87,0.1934
1.89,0.1908
1.91,0.0846
1.93,0.0534
1.96,0.0831
1.97,0.0803
1.98,0.0801
2.00,0.2708
2.03,0.0290
2.04,0.0467
2.04,0.0485
2.06,0.0229
2.07,0.0138
2.11,0.1485
2.12,0.1370
2.14,0.0842
2.15,0.0339
2.16,0.0254
2.18,0.0115
2.19,0.0169
2.20,0.0119
2.22,0.0044
2.23,0.0016
2.24,0.0086
2.25,0.0137
2.26,0.0074
2.28,0.0021
2.28,0.0030
2.29,0.0010
2.37,0.1297
2.37,0.1067
2.38,0.0992
2.43,0.0082
2.44,0.0086
2.47,0.0030
2.51,0.0037
2.54,0.0160
2.56,0.1621
2.58,0.0115
2.60,0.0032
2.62,0.0014
2.63,0.0015
2.66,0.0013
2.76,0.0028
2.80,0.0027
2.81,0.0036
2.83,0.0041
2.84,0.0035
2.85,0.0028
2.86,0.0025
2.92,0.0008
2.99,0.0208
3.02,0.0015
3.03,0.0009
3.11,0.0022
3.12,0.0057
3.14,0.0027
3.14,0.0024
3.18,0.0065
3.19,0.0034
3.21,0.0059
3.24,0.0089
3.26,0.0099
3.27,0.0105
3.29,0.0347
3.29,0.0404
3.29,0.0332
3.51,0.0063
3.52,0.0068
3.54,0.0022
3.56,0.0108
3.57,0.0196
3.58,0.0407
3.60,0.0426
3.61,0.0199
3.62,0.0160
3.63,0.0439
3.64,0.0177
3.65,0.0111
3.66,0.0138
3.67,0.0086
3.68,0.0108
3.69,0.0196
3.70,0.0149
3.71,0.0206
3.72,0.0195
3.73,0.0130
3.74,0.0143
3.75,0.0155
3.76,0.0169
3.77,0.0351
3.78,0.0226
3.79,0.0280
3.81,0.0498
3.82,0.0472
3.83,0.0529
3.85,0.0109
3.88,0.0099
3.89,0.0058
3.94,0.0020
3.95,0.0036
3.96,0.0036
3.97,0.0022
3.99,0.0088
4.01,0.0077
4.02,0.0045
4.04,0.0126
4.04,0.0114
4.06,0.1658
4.07,0.1682
4.14,0.0024
4.16,0.0016
4.17,0.0026
4.18,0.0027
4.20,0.0016
4.21,0.0015
4.23,0.0011
4.25,0.0016
4.26,0.0051
4.28,0.0060
4.30,0.0215
4.31,0.0198
4.34,0.0015
4.39,0.0026
4.44,0.0405
4.45,0.0385
4.47,0.0111
4.48,0.0100
4.51,0.0721
4.52,0.1442
4.53,0.0608
4.54,0.0553
4.55,0.0840
4.56,0.0517
4.58,0.0083
4.63,0.0014
4.65,0.0019
4.66,0.0021
4.69,0.0021
4.69,0.0011
4.71,0.0031
4.72,0.0026
5.01,0.1532
5.02,0.1420
5.05,0.1253
5.06,0.1001
5.13,0.0400
5.15,0.0595
5.16,0.0322
5.18,0.0564
5.20,0.0099
5.27,0.0358
5.30,0.0566
5.31,0.0893
5.32,0.0440
5.33,0.0100
5.35,0.0122
5.37,0.0195
5.38,0.0104
5.40,0.0009
5.43,0.0015
5.45,0.0016
5.60,0.0222
5.61,0.0088
5.63,0.0013
5.65,0.0012
5.68,0.0012
5.70,0.0034
5.72,0.0473
5.75,0.0034
5.83,0.0016
5.85,0.0342
5.87,0.0341
5.88,0.0328
5.90,0.0298
5.92,0.0012
5.93,0.0017
5.95,0.0042
6.02,0.0014
6.04,0.0009
6.07,0.0009
6.13,0.0015
6.14,0.0013
6.15,0.0014
6.16,0.0020
6.17,0.0041
6.25,0.0146
6.27,0.0147
6.28,0.0154
6.29,0.0143
6.32,0.0027
6.33,0.0019
6.34,0.0019
6.35,0.0036
6.38,0.0018
6.41,0.0015
6.45,0.0014
6.47,0.0021
6.49,0.0035
6.50,0.0052
6.51,0.0053
6.53,0.0032
6.54,0.0020
6.57,0.0020
6.61,0.0017
6.62,0.0021
6.64,0.0023
6.66,0.0021
6.67,0.0017
6.68,0.0046
6.70,0.0057
6.71,0.0055
6.73,0.0051
6.73,0.0045
6.76,0.0183
6.77,0.0179
6.79,0.0161
6.80,0.0137
6.83,0.0026
6.85,0.0016
6.88,0.0040
6.88,0.0047
6.90,0.0008
6.91,0.0033
6.92,0.0023
6.94,0.0026
6.94,0.0029
6.96,0.0041
6.97,0.0027
7.02,0.0024
7.03,0.0025
7.06,0.0014
7.08,0.0017
7.10,0.0024
7.11,0.0021
7.12,0.0027
7.14,0.0035
7.16,0.0087
7.17,0.0059
7.18,0.0019
7.21,0.0019
7.22,0.0042
7.24,0.0020
7.26,0.0008
7.29,0.0029
