"ppm", "INTENSITY"
0.00,0.0722
0.25,0.0008
0.28,0.0007
0.29,0.0008
0.33,0.0009
0.36,0.0012
0.37,0.0012
0.39,0.0013
0.41,0.0014
0.42,0.0014
0.43,0.0015
0.46,0.0017
0.48,0.0020
0.50,0.0026
0.54,0.0050
0.55,0.0076
0.58,0.0053
0.61,0.0491
0.62,0.0102
0.63,0.0076
0.65,0.0175
0.66,0.0173
0.68,0.0138
0.69,0.0096
0.70,0.0086
0.72,0.0110
0.73,0.0458
0.74,0.0350
0.76,0.0241
0.77,0.0235
0.79,0.0558
0.81,0.0516
0.82,0.0400
0.83,0.0762
0.84,0.0492
0.85,0.0466
0.85,0.0468
0.86,0.0510
0.87,0.0869
0.88,0.1270
0.89,0.0834
0.91,0.0366
0.93,0.0829
0.95,0.0637
0.96,0.0591
0.97,0.0624
0.98,0.0527
0.99,0.0401
1.00,0.0415
1.01,0.0387
1.01,0.0387
1.03,0.0608
1.04,0.0371
1.06,0.0495
1.08,0.0345
1.09,0.0495
1.10,0.0363
1.10,0.0366
1.12,0.0394
1.13,0.0441
1.14,0.0415
1.15,0.0394
1.15,0.0394
1.16,0.0462
1.17,0.1060
1.18,0.0884
1.20,0.0551
1.22,0.0796
1.22,0.0819
1.22,0.0908
1.27,0.4953
1.30,0.1423
1.33,0.0719
1.35,0.0559
1.36,0.0517
1.37,0.0544
1.38,0.0496
1.40,0.0625
1.42,0.0682
1.44,0.0370
1.44,0.0380
1.45,0.0360
1.45,0.0350
1.46,0.0342
1.47,0.0354
1.48,0.0366
1.50,0.0391
1.51,0.0376
1.53,0.0371
1.56,0.0629
1.56,0.0602
1.57,0.0841
1.59,0.0849
1.60,0.0806
1.64,0.0712
1.65,0.0558
1.65,0.0562
1.67,0.0802
1.68,0.0384
1.69,0.0390
1.70,0.0348
1.72,0.0361
1.73,0.0371
1.75,0.0259
1.76,0.0307
1.77,0.0460
1.80,0.0301
1.82,0.0248
1.83,0.0265
1.84,0.0291
1.85,0.0300
1.86,0.0262
1.86,0.0295
1.87,0.0301
1.88,0.0282
1.88,0.0290
1.89,0.0280
1.91,0.0270
1.92,0.0256
1.92,0.0256
1.93,0.0260
1.95,0.0325
1.96,0.0371
1.97,0.0402
1.98,0.0373
2.00,0.0624
2.01,0.0545
2.02,0.0557
2.04,0.0437
2.06,0.0604
2.07,0.0382
2.08,0.0343
2.09,0.0359
2.09,0.0356
2.11,0.0387
2.11,0.0458
2.13,0.0330
2.15,0.0272
2.17,0.0280
2.24,0.0355
2.25,0.0527
2.27,0.0354
2.28,0.0153
2.29,0.0142
2.29,0.0130
2.30,0.0122
2.30,0.0124
2.31,0.0119
2.32,0.0118
2.32,0.0120
2.33,0.0112
2.34,0.0108
2.35,0.0109
2.36,0.0129
2.37,0.0165
2.37,0.0156
2.38,0.0160
2.39,0.0128
2.40,0.0114
2.41,0.0103
2.42,0.0082
2.43,0.0084
2.43,0.0084
2.43,0.0085
2.44,0.0078
2.45,0.0076
2.45,0.0076
2.46,0.0081
2.47,0.0082
2.47,0.0076
2.48,0.0077
2.48,0.0073
2.49,0.0098
2.50,0.0092
2.51,0.0097
2.51,0.0099
2.52,0.0097
2.53,0.0129
2.54,0.0238
2.55,0.0104
2.56,0.0126
2.56,0.0107
2.57,0.0121
2.58,0.0082
2.59,0.0079
2.61,0.0073
2.62,0.0074
2.64,0.0085
2.65,0.0097
2.66,0.0078
2.67,0.0069
2.68,0.0063
2.70,0.0061
2.71,0.0062
2.72,0.0070
2.75,0.0079
2.76,0.0115
2.77,0.0126
2.78,0.0116
2.79,0.0115
2.82,0.0134
2.83,0.0196
2.84,0.0159
2.87,0.0062
2.88,0.0064
2.89,0.0061
2.90,0.0076
2.91,0.0067
2.92,0.0074
2.93,0.0108
2.95,0.0062
2.96,0.0063
2.97,0.0063
2.97,0.0058
2.99,0.0142
3.01,0.0051
3.01,0.0048
3.02,0.0053
3.03,0.0053
3.04,0.0048
3.06,0.0065
3.07,0.0090
3.08,0.0197
3.09,0.0252
3.10,0.0144
3.10,0.0194
3.11,0.0163
3.12,0.0263
3.14,0.0144
3.14,0.0115
3.15,0.0137
3.16,0.0129
3.17,0.0133
3.18,0.0569
3.19,0.0160
3.20,0.0185
3.21,0.0139
3.22,0.0172
3.23,0.0140
3.23,0.0164
3.24,0.0167
3.25,0.0414
3.27,0.0302
3.28,0.0437
3.51,0.0949
3.52,0.0960
3.53,0.0429
3.54,0.0539
3.57,0.0875
3.57,0.0975
3.58,0.0684
3.59,0.0727
3.60,0.0504
3.61,0.0510
3.61,0.0513
3.61,0.0470
3.62,0.0466
3.63,0.0659
3.64,0.0677
3.65,0.0674
3.65,0.0866
3.67,0.0548
3.67,0.0665
3.68,0.0566
3.68,0.0549
3.69,0.0552
3.69,0.0493
3.70,0.0581
3.71,0.0594
3.71,0.0480
3.72,0.0538
3.73,0.0624
3.74,0.0810
3.74,0.0807
3.75,0.0712
3.76,0.0957
3.77,0.0987
3.78,0.1285
3.78,0.1049
3.79,0.0869
3.80,0.1311
3.81,0.1143
3.81,0.1190
3.82,0.1309
3.82,0.1183
3.83,0.1859
3.84,0.1427
3.85,0.1836
3.85,0.1821
3.86,0.2250
3.87,0.1242
3.89,0.0825
3.91,0.0273
3.93,0.0259
3.94,0.0255
3.95,0.0289
3.95,0.0295
3.97,0.0253
3.97,0.0229
3.98,0.0192
4.00,0.0338
4.01,0.0250
4.02,0.0349
4.04,0.0368
4.05,0.0247
4.06,0.0288
4.07,0.0273
4.08,0.0270
4.09,0.0264
4.10,0.0323
4.11,0.0333
4.13,0.0456
4.13,0.0456
4.14,0.0489
4.15,0.0451
4.17,0.0208
4.19,0.0134
4.20,0.0107
4.21,0.0101
4.22,0.0122
4.22,0.0129
4.23,0.0220
4.24,0.0203
4.26,0.0114
4.27,0.0097
4.28,0.0099
4.29,0.0098
4.30,0.0096
4.31,0.0111
4.32,0.0097
4.33,0.0091
4.34,0.0092
4.35,0.0097
4.36,0.0086
4.37,0.0084
4.38,0.0081
4.39,0.0116
4.40,0.0092
4.41,0.0095
4.42,0.0106
4.43,0.0114
4.45,0.0123
4.47,0.0192
4.48,0.0193
4.49,0.0139
4.50,0.0138
4.52,0.0193
4.53,0.0116
4.55,0.0160
4.57,0.0083
4.57,0.0083
4.58,0.0116
4.61,0.0086
4.62,0.0099
