"ppm", "INTENSITY"
0.00,0.0109
0.17,0.0002
0.44,0.0002
0.46,0.0010
0.48,0.0016
0.48,0.0014
0.50,0.0016
0.51,0.0004
0.52,0.0005
0.54,0.0019
0.55,0.0022
0.56,0.0067
0.58,0.0016
0.61,0.0433
0.61,0.0311
0.63,0.0090
0.64,0.0121
0.65,0.0132
0.66,0.0127
0.66,0.0144
0.68,0.0531
0.70,0.0074
0.71,0.0061
0.72,0.0079
0.73,0.0075
0.74,0.0112
0.76,0.0166
0.78,0.0617
0.79,0.0218
0.81,0.0763
0.82,0.0657
0.83,0.0308
0.83,0.0292
0.84,0.0345
0.85,0.0470
0.86,0.0287
0.87,0.0291
0.89,0.0731
0.90,0.0650
0.90,0.0926
0.91,0.0557
0.92,0.0925
0.94,0.1050
0.96,0.1368
0.97,0.1130
0.98,0.0478
0.99,0.0515
1.00,0.1453
1.01,0.0902
1.02,0.1389
1.03,0.1341
1.04,0.1353
1.05,0.1134
1.06,0.0725
1.07,0.0974
1.09,0.0476
1.10,0.0703
1.11,0.0509
1.12,0.0469
1.13,0.0417
1.14,0.0392
1.15,0.0480
1.15,0.0464
1.15,0.0519
1.16,0.0467
1.17,0.0977
1.18,0.0512
1.19,0.0391
1.21,0.1467
1.23,0.0631
1.24,0.0633
1.24,0.0404
1.26,0.0494
1.27,0.0572
1.28,0.0508
1.28,0.0505
1.29,0.0355
1.30,0.0347
1.30,0.0345
1.32,0.0541
1.34,0.0465
1.35,0.0452
1.37,0.0381
1.38,0.0368
1.40,0.0467
1.41,0.0442
1.42,0.0453
1.42,0.0418
1.43,0.0430
1.45,0.0521
1.46,0.0480
1.48,0.0481
1.49,0.0482
1.50,0.0542
1.50,0.0517
1.52,0.0492
1.53,0.0482
1.55,0.0515
1.56,0.0518
1.58,0.0626
1.60,0.0518
1.62,0.0381
1.64,0.0532
1.66,0.0405
1.68,0.0388
1.69,0.0415
1.69,0.0437
1.69,0.0434
1.70,0.0444
1.71,0.0431
1.71,0.0423
1.72,0.0484
1.73,0.0451
1.76,0.0271
1.77,0.0255
1.79,0.0285
1.80,0.0284
1.80,0.0281
1.82,0.0278
1.83,0.0295
1.86,0.1106
1.88,0.0364
1.89,0.0329
1.92,0.0330
1.93,0.0379
1.94,0.0386
1.95,0.0405
1.96,0.0412
1.97,0.0358
1.98,0.0358
1.98,0.0358
1.99,0.0357
2.00,0.0420
2.00,0.0403
2.01,0.0309
2.02,0.0283
2.02,0.0298
2.03,0.0291
2.04,0.0352
2.05,0.0250
2.08,0.0224
2.09,0.0230
2.09,0.0241
2.10,0.0240
2.11,0.0304
2.12,0.0323
2.15,0.0254
2.17,0.0172
2.17,0.0177
2.19,0.0106
2.20,0.0100
2.21,0.0100
2.21,0.0096
2.22,0.0097
2.22,0.0102
2.23,0.0092
2.25,0.0096
2.26,0.0100
2.27,0.0133
2.29,0.0120
2.33,0.0094
2.37,0.0243
2.38,0.0199
2.39,0.0199
2.41,0.0087
2.43,0.0072
2.44,0.0077
2.45,0.0172
2.46,0.0227
2.47,0.0241
2.48,0.0220
2.49,0.0114
2.50,0.0108
2.51,0.0152
2.53,0.0124
2.53,0.0120
2.54,0.0112
2.55,0.0164
2.56,0.0314
2.58,0.0087
2.61,0.0042
2.61,0.0031
2.63,0.0024
2.64,0.0019
2.65,0.0018
2.66,0.0015
2.67,0.0014
2.69,0.0008
2.70,0.0005
2.71,0.0004
2.72,0.0003
2.74,0.0003
2.75,0.0004
2.76,0.0005
2.78,0.0020
2.79,0.0022
2.80,0.0036
2.81,0.0042
2.83,0.0031
2.83,0.0043
2.85,0.0030
2.86,0.0038
2.88,0.0016
2.90,0.0006
2.91,0.0006
2.91,0.0005
2.92,0.0005
2.96,0.0002
3.00,0.0039
3.01,0.0009
3.02,0.0010
3.04,0.0006
3.05,0.0007
3.06,0.0007
3.07,0.0006
3.10,0.0007
