"ppm", "INTENSITY"
0.00,0.0417
0.15,0.0008
0.16,0.0007
0.34,0.0022
0.39,0.0018
0.42,0.0010
0.44,0.0010
0.47,0.0013
0.54,0.0052
0.56,0.0048
0.58,0.0043
0.61,0.0218
0.65,0.0068
0.66,0.0070
0.67,0.0078
0.68,0.0121
0.70,0.0159
0.72,0.0116
0.74,0.0096
0.76,0.0154
0.77,0.0138
0.79,0.0326
0.80,0.0258
0.81,0.0285
0.82,0.0310
0.83,0.0317
0.84,0.0356
0.85,0.0425
0.86,0.0525
0.87,0.0704
0.88,0.0882
0.89,0.0707
0.90,0.0559
0.91,0.0558
0.92,0.0590
0.93,0.0649
0.95,0.0483
0.96,0.0534
0.96,0.0514
0.99,0.0565
1.00,0.0645
1.00,0.0667
1.01,0.0690
1.02,0.0717
1.03,0.0708
1.03,0.0672
1.04,0.0684
1.07,0.1023
1.09,0.0942
1.12,0.1297
1.12,0.1296
1.13,0.1360
1.14,0.1266
1.15,0.1188
1.16,0.1183
1.18,0.1281
1.20,0.1065
1.22,0.1315
1.22,0.1300
1.27,0.5094
1.30,0.2068
1.36,0.1075
1.37,0.1041
1.39,0.1292
1.40,0.1379
1.44,0.0785
1.46,0.0858
1.49,0.0898
1.50,0.0924
1.51,0.0925
1.52,0.0932
1.53,0.0962
1.55,0.1020
1.57,0.1124
1.58,0.1205
1.59,0.1198
1.61,0.1211
1.64,0.1596
1.67,0.4037
1.74,0.1105
1.75,0.0894
1.79,0.0744
1.85,0.0879
1.85,0.0889
1.87,0.0857
1.89,0.0800
1.91,0.0889
1.93,0.0921
1.96,0.0849
1.99,0.0869
2.01,0.1001
2.05,0.2232
2.05,0.2178
2.10,0.1205
2.12,0.0991
2.15,0.1032
2.20,0.0565
2.23,0.0696
2.25,0.0671
2.26,0.0627
2.26,0.0638
2.28,0.0560
2.31,0.0313
2.32,0.0305
2.33,0.0285
2.36,0.0210
2.36,0.0210
2.37,0.0214
2.39,0.0188
2.46,0.0225
2.47,0.0228
2.48,0.0232
2.49,0.0227
2.52,0.0375
2.54,0.0194
2.56,0.0537
2.58,0.0183
2.59,0.0207
2.60,0.0200
2.61,0.0244
2.62,0.0184
2.63,0.0167
2.63,0.0169
2.64,0.0163
2.65,0.0163
2.66,0.0170
2.66,0.0160
2.68,0.0170
2.74,0.0271
2.75,0.0274
2.76,0.0267
2.83,0.0083
2.86,0.0066
2.87,0.0068
2.88,0.0069
2.91,0.0050
2.93,0.0050
2.96,0.0086
2.97,0.0083
2.99,0.0058
2.99,0.0059
3.00,0.0052
3.01,0.0044
3.03,0.0054
3.04,0.0050
3.05,0.0051
3.07,0.0053
3.10,0.0117
3.12,0.0155
3.13,0.0166
3.15,0.0120
3.15,0.0117
3.19,0.0736
3.21,0.0298
3.21,0.0192
3.24,0.0176
3.26,0.0547
3.26,0.0398
3.28,0.0429
3.29,0.1680
3.51,0.0324
3.52,0.0349
3.54,0.0265
3.56,0.0319
3.57,0.0354
3.58,0.0282
3.59,0.0323
3.60,0.0288
3.61,0.0379
3.62,0.0512
3.63,0.0640
3.64,0.0630
3.66,0.0525
3.67,0.0400
3.68,0.0458
3.69,0.0471
3.70,0.0416
3.71,0.0338
3.72,0.0356
3.73,0.0371
3.74,0.0386
3.75,0.0527
3.76,0.0602
3.77,0.0799
3.78,0.0764
3.79,0.0623
3.80,0.0586
3.81,0.0680
3.81,0.0578
3.83,0.0831
3.84,0.0719
3.84,0.1211
3.86,0.0686
3.87,0.0541
3.87,0.0482
3.88,0.0453
3.89,0.0618
3.90,0.0449
3.93,0.0217
