"ppm", "INTENSITY"
0.00,0.0063
0.17,0.0001
0.25,0.0001
0.26,0.0001
0.27,0.0001
0.29,0.0001
0.30,0.0001
0.31,0.0001
0.33,0.0002
0.35,0.0002
0.37,0.0002
0.38,0.0002
0.40,0.0002
0.44,0.0003
0.45,0.0003
0.47,0.0003
0.51,0.0016
0.54,0.0089
0.54,0.0235
0.57,0.0050
0.58,0.0048
0.61,0.1933
0.65,0.0570
0.66,0.0573
0.69,0.0076
0.70,0.0055
0.71,0.0042
0.73,0.0032
0.74,0.0052
0.76,0.0086
0.77,0.0065
0.77,0.0058
0.80,0.0700
0.81,0.0160
0.83,0.0164
0.83,0.0131
0.84,0.0123
0.85,0.0092
0.85,0.0091
0.87,0.0151
0.88,0.0235
0.89,0.0168
0.91,0.0104
0.92,0.0105
0.93,0.0196
0.94,0.0187
0.94,0.0162
0.95,0.0156
0.97,0.0451
0.98,0.0556
0.99,0.0550
0.99,0.0568
1.00,0.0541
1.01,0.0249
1.01,0.0309
1.03,0.0353
1.04,0.0354
1.05,0.0379
1.06,0.0358
1.07,0.0314
1.09,0.0239
1.10,0.0209
1.11,0.0187
1.12,0.0211
1.13,0.0211
1.13,0.0223
1.14,0.0249
1.15,0.0242
1.15,0.0289
1.17,0.2622
1.18,0.1259
1.22,0.0821
1.24,0.0298
1.25,0.0236
1.27,0.0887
1.29,0.0356
1.31,0.0471
1.32,0.0379
1.33,0.0377
1.34,0.0208
1.35,0.0173
1.38,0.0095
1.41,0.0127
1.42,0.0205
1.43,0.0187
1.44,0.0230
1.45,0.0232
1.46,0.0345
1.48,0.0420
1.49,0.0319
1.52,0.0190
1.53,0.0191
1.54,0.0237
1.56,0.0269
1.57,0.0316
1.59,0.0517
1.61,0.0484
1.64,0.1539
1.67,0.0267
1.68,0.0627
1.69,0.0269
1.70,0.0269
1.72,0.0610
1.73,0.0587
1.76,0.0183
1.78,0.0278
1.80,0.0351
1.81,0.0397
1.83,0.0422
1.84,0.0584
1.85,0.0567
1.87,0.0773
1.88,0.0707
1.90,0.0480
1.91,0.0462
1.92,0.0368
1.92,0.0372
1.94,0.0244
1.96,0.0422
1.96,0.0417
1.97,0.0399
1.98,0.0639
2.00,0.0927
2.02,0.0315
2.02,0.0362
2.03,0.0360
2.04,0.0368
2.04,0.0406
2.05,0.0345
2.06,0.0270
2.07,0.0218
2.07,0.0194
2.10,0.0358
2.11,0.0615
2.12,0.0583
2.13,0.0404
2.15,0.0237
2.16,0.0220
2.17,0.0152
2.19,0.0148
2.20,0.0120
2.21,0.0087
2.24,0.0098
2.25,0.0141
2.27,0.0122
2.27,0.0110
2.28,0.0093
2.29,0.0088
2.29,0.0078
2.32,0.0058
2.32,0.0057
2.36,0.0187
2.37,0.0383
2.38,0.0312
2.38,0.0295
2.42,0.0094
2.43,0.0097
2.45,0.0068
2.46,0.0072
2.46,0.0070
2.48,0.0070
2.49,0.0063
2.50,0.0247
2.52,0.0069
2.53,0.0295
2.55,0.0078
2.56,0.0064
2.57,0.0061
2.58,0.0056
2.59,0.0081
2.60,0.0052
2.60,0.0053
2.61,0.0053
2.61,0.0051
2.62,0.0052
2.63,0.0050
2.63,0.0064
2.64,0.0063
2.65,0.0062
2.68,0.0031
2.69,0.0025
2.71,0.0022
2.73,0.0022
2.73,0.0021
2.75,0.0021
2.76,0.0021
2.78,0.0014
2.79,0.0018
2.80,0.0020
2.81,0.0017
2.82,0.0018
2.84,0.0013
2.84,0.0012
2.85,0.0012
2.86,0.0010
2.86,0.0010
2.88,0.0006
2.89,0.0007
2.90,0.0007
2.91,0.0005
2.92,0.0004
2.93,0.0002
2.94,0.0004
2.96,0.0004
2.96,0.0001
2.97,0.0001
2.98,0.0004
2.99,0.0069
3.00,0.0019
3.02,0.0016
3.02,0.0010
3.02,0.0009
3.03,0.0014
3.04,0.0018
3.06,0.0003
3.07,0.0001
3.08,0.0014
3.10,0.0023
3.11,0.0019
3.12,0.0030
3.14,0.0019
3.15,0.0013
3.15,0.0020
3.17,0.0034
3.18,0.0010
3.19,0.0012
3.20,0.0012
3.20,0.0007
3.22,0.0050
3.24,0.0011
3.25,0.0007
3.26,0.0005
3.27,0.0006
3.27,0.0006
3.28,0.0006
3.29,0.0023
3.51,0.0029
3.52,0.0021
3.52,0.0032
3.53,0.0032
3.54,0.0003
3.55,0.0001
3.56,0.0006
3.57,0.0040
3.58,0.0047
3.58,0.0045
3.59,0.0077
3.60,0.0094
3.61,0.0057
3.61,0.0063
3.62,0.0048
3.63,0.0217
3.65,0.0051
3.65,0.0089
3.66,0.0057
3.67,0.0057
3.67,0.0083
3.68,0.0060
3.70,0.0069
3.70,0.0063
3.71,0.0076
3.71,0.0092
3.72,0.0119
