"ppm", "INTENSITY"
0.00,0.0025
0.41,0.0001
0.41,0.0000
0.42,0.0001
0.44,0.0001
0.48,0.0002
0.49,0.0002
0.50,0.0002
0.52,0.0003
0.53,0.0003
0.54,0.0003
0.60,0.0013
0.61,0.0016
0.62,0.0008
0.63,0.0011
0.65,0.0018
0.68,0.0010
0.70,0.0020
0.72,0.0033
0.73,0.0058
0.76,0.0051
0.76,0.0044
0.77,0.0040
0.77,0.0054
0.79,0.0168
0.81,0.0148
0.82,0.0132
0.83,0.0056
0.85,0.0054
0.86,0.0078
0.88,0.0123
0.88,0.0078
0.89,0.0087
0.90,0.0050
0.91,0.0049
0.92,0.0077
0.93,0.0084
0.94,0.0049
0.95,0.0047
0.96,0.0057
0.97,0.0041
0.98,0.0040
0.98,0.0038
0.99,0.0037
1.00,0.0047
1.01,0.0034
1.02,0.0048
1.03,0.0035
1.05,0.0029
1.05,0.0029
1.06,0.0027
1.07,0.0028
1.08,0.0029
1.09,0.0044
1.11,0.0031
1.14,0.0042
1.15,0.0048
1.16,0.0072
1.17,0.0072
1.17,0.0071
1.18,0.0080
1.19,0.0080
1.19,0.0066
1.24,0.0478
1.27,0.0176
1.28,0.0193
1.34,0.0092
1.35,0.0086
1.37,0.0107
1.38,0.0601
1.42,0.0061
1.43,0.0059
1.44,0.0066
1.44,0.0067
1.47,0.0060
1.49,0.0060
1.50,0.0052
1.51,0.0054
1.52,0.0054
1.56,0.0085
1.57,0.0095
1.58,0.0090
1.59,0.0097
1.60,0.0082
1.60,0.0074
1.62,0.0191
1.64,0.0077
1.65,0.0092
1.66,0.0127
1.67,0.0104
1.70,0.1258
1.73,0.0280
1.74,0.1126
1.76,0.0165
1.78,0.0069
1.80,0.0046
1.81,0.0041
1.83,0.0027
1.84,0.0028
1.85,0.0026
1.87,0.0023
1.88,0.0022
1.89,0.0024
1.90,0.0025
1.91,0.0024
1.93,0.0050
1.94,0.0031
1.95,0.0028
1.98,0.0041
2.00,0.0059
2.00,0.0040
2.01,0.0043
2.01,0.0056
2.02,0.0052
2.05,0.0045
2.05,0.0041
2.06,0.0032
2.07,0.0033
2.08,0.0030
2.10,0.0026
2.11,0.0027
2.12,0.0027
2.14,0.0029
2.15,0.0030
2.16,0.0031
2.18,0.0026
2.21,0.0027
2.22,0.0029
2.25,0.0050
2.26,0.0068
2.27,0.0049
2.28,0.0035
2.31,0.0028
2.32,0.0029
2.34,0.0023
2.35,0.0025
2.37,0.0018
2.38,0.0017
2.40,0.0018
2.40,0.0018
2.41,0.0025
2.44,0.0023
2.46,0.0015
2.47,0.0015
2.47,0.0016
2.48,0.0014
2.49,0.0016
2.50,0.0015
2.50,0.0014
2.51,0.0017
2.51,0.0017
2.52,0.0019
2.54,0.0037
2.56,0.0044
2.57,0.0084
2.58,0.0052
2.60,0.0017
2.61,0.0021
2.62,0.0031
2.63,0.0023
2.64,0.0014
2.65,0.0012
2.66,0.0010
2.67,0.0010
2.68,0.0009
2.69,0.0010
2.69,0.0010
2.70,0.0010
2.72,0.0011
2.73,0.0015
2.74,0.0020
2.75,0.0015
2.76,0.0014
2.77,0.0016
2.78,0.0017
2.79,0.0018
2.81,0.0014
2.82,0.0014
2.83,0.0014
2.84,0.0017
2.85,0.0024
2.87,0.0077
2.88,0.0130
2.89,0.0084
2.93,0.0015
2.94,0.0015
2.95,0.0015
2.96,0.0013
2.99,0.0050
3.00,0.0070
3.01,0.0039
3.03,0.0017
3.06,0.0052
3.07,0.0053
3.11,0.0018
3.12,0.0020
3.13,0.0021
3.16,0.0125
3.19,0.0037
3.20,0.0043
3.21,0.0045
3.22,0.0043
3.24,0.0414
3.27,0.0074
3.29,0.0103
3.51,0.0051
3.52,0.0053
3.54,0.0056
3.55,0.0065
3.56,0.0052
3.57,0.0055
3.58,0.0033
3.59,0.0033
3.60,0.0052
