"ppm", "INTENSITY"
0.00,0.0368
0.08,0.0011
0.12,0.0013
0.15,0.0016
0.16,0.0017
0.27,0.0027
0.34,0.0038
0.39,0.0045
0.44,0.0055
0.49,0.0107
0.55,0.0284
0.57,0.0525
0.61,0.6058
0.63,0.1423
0.66,0.0672
0.67,0.0591
0.68,0.0477
0.69,0.0315
0.70,0.0359
0.72,0.0206
0.74,0.0281
0.76,0.0233
0.77,0.0247
0.78,0.0363
0.80,0.0378
0.82,0.0798
0.82,0.0694
0.84,0.0901
0.85,0.0709
0.87,0.0937
0.88,0.0990
0.88,0.1312
0.89,0.1150
0.90,0.1153
0.90,0.0801
0.91,0.0748
0.91,0.0754
0.93,0.0958
0.96,0.0847
0.96,0.0887
0.99,0.0861
0.99,0.1178
1.00,0.0996
1.02,0.1417
1.04,0.1590
1.05,0.1702
1.06,0.1624
1.07,0.1726
1.09,0.1416
1.10,0.1299
1.11,0.1358
1.12,0.1418
1.13,0.1938
1.15,0.2935
1.16,0.4787
1.18,10.000
1.20,0.2460
1.21,0.2998
1.23,0.1757
1.24,0.1896
1.25,0.1716
1.27,0.5087
1.30,0.2084
1.31,0.2049
1.32,0.2138
1.34,0.1585
1.34,0.1569
1.39,0.0839
1.40,0.0902
1.41,0.0898
1.42,0.0998
1.43,0.1089
1.44,0.1112
1.46,0.1516
1.47,0.1946
1.49,0.1797
1.53,0.1080
1.55,0.1214
1.57,0.1289
1.59,0.1617
1.61,0.2047
1.62,0.2019
1.64,0.4391
1.67,0.1889
1.69,0.3551
1.70,0.1288
1.72,0.1463
1.73,0.1314
1.77,0.0886
1.79,0.0960
1.82,0.1664
1.85,0.2223
1.87,0.2501
1.89,0.2302
1.94,0.1070
1.97,0.1411
1.98,0.1382
1.99,0.1682
2.00,0.4587
2.02,0.0892
2.04,0.0929
2.05,0.0884
2.07,0.0800
2.08,0.0930
2.11,0.2285
2.12,0.1995
2.16,0.0645
2.18,0.0922
2.20,0.0362
2.23,0.0324
2.24,0.0387
2.25,0.0511
2.26,0.0528
2.27,0.0477
2.27,0.0457
2.28,0.0423
2.31,0.0370
2.33,0.0347
2.35,0.0433
2.37,0.1172
2.39,0.1045
2.39,0.0980
2.45,0.0174
2.46,0.0160
2.48,0.0155
2.50,0.0170
2.50,0.0154
2.51,0.0175
2.52,0.0161
2.54,0.0146
2.56,0.0289
2.58,0.0135
2.59,0.0125
2.60,0.0114
2.61,0.0114
2.62,0.0095
2.64,0.0086
2.65,0.0077
2.65,0.0077
2.68,0.0058
2.69,0.0053
2.70,0.0068
2.74,0.0099
2.75,0.0099
2.76,0.0090
2.80,0.0064
2.82,0.0097
2.82,0.0083
2.83,0.0118
2.84,0.0112
2.86,0.0084
2.87,0.0055
2.88,0.0025
2.89,0.0019
2.90,0.0022
2.91,0.0024
2.93,0.0017
2.98,0.0016
2.99,0.0010
3.51,0.0115
3.52,0.0114
3.53,0.0119
3.53,0.0127
3.54,0.0124
3.55,0.0142
3.56,0.0166
3.57,0.0656
3.58,0.1613
3.60,0.1637
3.61,0.0648
3.62,0.0205
3.64,0.0757
3.65,0.0164
3.65,0.0187
3.67,0.0146
3.67,0.0137
3.68,0.0167
3.69,0.0188
3.71,0.0180
3.72,0.0199
3.73,0.0189
3.74,0.0183
3.75,0.0171
3.76,0.0212
3.77,0.0226
3.77,0.0225
3.78,0.0202
3.79,0.0266
3.80,0.0231
3.82,0.0364
3.83,0.0321
3.84,0.0332
3.86,0.0188
3.87,0.0177
3.88,0.0154
3.89,0.0166
3.90,0.0163
3.92,0.0118
3.93,0.0122
3.95,0.0133
3.96,0.0127
3.98,0.0135
3.99,0.0157
4.81,0.0776
4.84,0.2110
4.90,0.3951
4.99,0.0427
5.01,0.0354
5.03,0.0203
5.04,0.0173
5.07,0.0172
5.09,0.0156
5.09,0.0159
5.10,0.0169
5.14,0.0330
5.17,0.0188
5.18,0.0281
5.20,0.0165
5.22,0.0103
5.25,0.0268
5.27,0.0431
5.29,0.0415
5.30,0.0527
5.31,0.0366
5.33,0.0245
5.34,0.0166
5.36,0.0115
5.37,0.0118
5.40,0.0066
5.41,0.0065
5.43,0.0059
5.44,0.0060
5.45,0.0058
5.49,0.0059
5.52,0.0079
5.53,0.0078
5.55,0.0071
5.56,0.0069
5.60,0.0266
5.61,0.0240
5.63,0.0100
5.65,0.0099
5.68,0.0076
5.70,0.0097
5.72,0.0134
5.74,0.0092
5.76,0.0085
5.79,0.0120
5.81,0.0118
5.83,0.0066
5.85,0.0192
5.87,0.0192
5.88,0.0163
5.91,0.0143
5.92,0.0053
5.93,0.0063
5.93,0.0065
5.94,0.0060
5.94,0.0058
5.95,0.0045
5.96,0.0052
5.96,0.0053
5.97,0.0051
5.98,0.0048
5.98,0.0046
5.99,0.0037
6.00,0.0040
6.00,0.0038
6.01,0.0034
6.02,0.0044
6.04,0.0039
6.06,0.0044
6.07,0.0051
6.09,0.0050
6.11,0.0036
6.12,0.0036
6.12,0.0038
6.13,0.0037
