"ppm", "INTENSITY"
0.00,0.0450
0.54,0.0001
0.56,0.0001
0.61,0.0028
0.63,0.0010
0.66,0.0015
0.68,0.0028
0.70,0.0034
0.74,0.0264
0.75,0.0106
0.77,0.0056
0.80,0.0245
0.81,0.0254
0.82,0.0136
0.83,0.0178
0.84,0.0336
0.85,0.0278
0.87,0.0373
0.88,0.0567
0.89,0.0315
0.91,0.0126
0.93,0.0377
0.96,0.0254
0.97,0.0227
0.98,0.0197
0.99,0.0169
1.01,0.0189
1.02,0.0150
1.04,0.0308
1.07,0.0213
1.09,0.0280
1.11,0.0155
1.12,0.0155
1.13,0.0137
1.14,0.0111
1.15,0.0136
1.16,0.0192
1.18,0.0213
1.18,0.0287
1.21,0.0132
1.22,0.0151
1.27,0.3155
1.30,0.0661
1.35,0.0188
1.37,0.0166
1.38,0.0163
1.39,0.0192
1.40,0.0239
1.43,0.0159
1.45,0.0183
1.47,0.0117
1.49,0.0107
1.51,0.0107
1.52,0.0109
1.53,0.0119
1.56,0.0163
1.58,0.0186
1.59,0.0207
1.67,0.0283
1.68,0.0132
1.70,0.0109
1.73,0.0071
1.77,0.0053
1.78,0.0045
1.79,0.0051
1.80,0.0052
1.81,0.0057
1.83,0.0045
1.84,0.0045
1.84,0.0046
1.85,0.0043
1.86,0.0044
1.87,0.0045
1.88,0.0043
1.88,0.0040
1.90,0.0047
1.92,0.0050
1.93,0.0044
1.94,0.0044
1.96,0.0041
1.97,0.0043
1.98,0.0044
2.01,0.0145
2.02,0.0137
2.05,0.0053
2.07,0.0034
2.08,0.0027
2.11,0.0034
2.12,0.0026
2.15,0.0022
2.18,0.0017
2.19,0.0016
2.21,0.0017
2.24,0.0131
2.25,0.0217
2.27,0.0124
2.28,0.0036
2.29,0.0031
2.31,0.0035
2.32,0.0039
2.32,0.0041
2.33,0.0045
2.35,0.0045
2.36,0.0040
2.37,0.0029
2.38,0.0036
2.39,0.0052
2.40,0.0048
2.41,0.0026
2.42,0.0031
2.43,0.0029
2.44,0.0024
2.45,0.0020
2.46,0.0022
2.48,0.0016
2.49,0.0017
2.50,0.0020
2.50,0.0021
2.52,0.0024
2.52,0.0023
2.54,0.0082
2.56,0.0019
2.57,0.0012
2.59,0.0007
2.61,0.0004
2.64,0.0006
2.68,0.0012
2.69,0.0005
2.70,0.0004
2.71,0.0004
2.73,0.0003
2.75,0.0010
2.76,0.0018
2.77,0.0011
2.78,0.0007
2.79,0.0009
2.80,0.0006
2.82,0.0002
2.88,0.0002
2.89,0.0002
2.91,0.0001
2.93,0.0008
2.99,0.0006
3.10,0.0049
3.12,0.0074
3.12,0.0039
3.13,0.0070
3.15,0.0019
3.17,0.0016
3.19,0.0108
3.21,0.0038
3.22,0.0015
3.23,0.0012
3.26,0.0145
3.27,0.0132
3.27,0.0126
3.29,0.0995
3.30,0.1261
3.51,0.0065
3.51,0.0065
3.52,0.0059
3.53,0.0095
3.56,0.0141
3.57,0.0172
3.57,0.0169
3.59,0.0158
3.60,0.0255
3.62,0.0199
3.62,0.0219
3.63,0.0246
3.64,0.0268
3.65,0.0149
3.66,0.0269
3.67,0.0132
3.68,0.0156
3.69,0.0186
3.70,0.0191
3.72,0.0250
3.74,0.0324
3.75,0.0282
3.75,0.0246
3.76,0.0306
3.77,0.0547
3.78,0.0373
3.79,0.0235
3.80,0.0260
3.80,0.0289
3.81,0.0383
3.82,0.0452
3.85,0.0429
3.85,0.0400
3.87,0.0306
3.87,0.0229
3.88,0.0236
3.89,0.0091
3.90,0.0084
3.90,0.0143
3.92,0.0055
3.93,0.0060
3.94,0.0090
3.95,0.0089
3.96,0.0060
3.97,0.0043
3.99,0.0154
3.99,0.0152
5.02,0.0066
5.06,0.0049
5.07,0.0046
5.09,0.0094
5.10,0.0094
5.13,0.0040
5.13,0.0044
5.14,0.0039
5.17,0.0034
5.18,0.0031
5.19,0.0028
5.20,0.0026
5.22,0.0026
5.25,0.0030
5.28,0.0024
5.29,0.0039
5.32,0.0073
5.33,0.0102
5.34,0.0072
5.35,0.0038
5.36,0.0030
5.37,0.0036
5.38,0.0032
5.42,0.0013
5.44,0.0012
5.44,0.0012
5.45,0.0012
5.49,0.0027
5.51,0.0010
5.54,0.0020
5.55,0.0015
5.57,0.0011
5.59,0.0010
5.61,0.0010
5.62,0.0009
5.63,0.0008
5.65,0.0007
5.66,0.0007
5.68,0.0007
5.69,0.0009
5.69,0.0009
5.71,0.0008
5.71,0.0007
5.73,0.0007
5.73,0.0006
5.74,0.0006
5.75,0.0005
5.76,0.0006
5.78,0.0006
5.79,0.0006
5.80,0.0006
5.82,0.0006
5.83,0.0007
5.84,0.0005
5.85,0.0005
5.86,0.0006
5.87,0.0005
5.88,0.0006
5.89,0.0007
5.90,0.0005
5.91,0.0005
5.91,0.0004
5.92,0.0003
5.92,0.0003
5.93,0.0006
5.94,0.0004
5.95,0.0006
5.96,0.0006
5.96,0.0007
5.97,0.0004
5.97,0.0002
5.98,0.0007
5.98,0.0007
5.99,0.0008
5.99,0.0003
5.99,0.0004
6.00,0.0003
6.00,0.0003
6.00,0.0004
6.01,0.0007
6.02,0.0002
6.02,0.0003
6.03,0.0001
6.04,0.0002
6.05,0.0004
6.05,0.0004
6.06,0.0003
6.06,0.0002
6.07,0.0004
6.08,0.0003
6.08,0.0002
6.09,0.0003
6.10,0.0002
6.11,0.0003
6.12,0.0002
6.13,0.0003
6.13,0.0002
6.13,0.0003
6.14,0.0003
6.15,0.0003
6.15,0.0003
6.17,0.0004
6.18,0.0004
6.19,0.0006
6.19,0.0006
6.20,0.0006
6.21,0.0005
6.22,0.0006
6.22,0.0008
6.23,0.0006
6.25,0.0009
6.25,0.0008
6.27,0.0008
6.28,0.0022
6.29,0.0023
6.30,0.0010
6.31,0.0016
6.33,0.0023
6.35,0.0014
6.36,0.0026
6.37,0.0013
6.38,0.0019
6.39,0.0012
6.40,0.0020
6.41,0.0012
6.43,0.0009
6.44,0.0011
6.45,0.0016
6.48,0.0031
6.48,0.0021
6.50,0.0014
6.53,0.0021
6.54,0.0025
6.56,0.0017
6.57,0.0016
6.58,0.0017
6.59,0.0022
6.60,0.0033
6.63,0.0057
6.64,0.0038
6.65,0.0034
6.66,0.0057
6.68,0.0050
6.71,0.0041
6.72,0.0042
6.73,0.0044
6.74,0.0047
6.75,0.0046
6.75,0.0055
6.77,0.0046
6.79,0.0047
6.80,0.0053
6.82,0.0042
6.83,0.0049
6.84,0.0039
6.85,0.0035
6.87,0.0025
6.88,0.0024
6.89,0.0025
6.90,0.0031
6.91,0.0032
6.92,0.0059
6.94,0.0068
6.96,0.0053
6.96,0.0060
6.97,0.0044
7.02,0.0022
7.03,0.0027
7.05,0.0022
7.07,0.0017
7.11,0.0012
7.13,0.0026
7.14,0.0025
7.14,0.0023
7.15,0.0024
7.16,0.0038
7.18,0.0033
7.18,0.0030
7.20,0.0017
7.22,0.0035
7.24,0.0013
7.26,0.0011
7.26,0.0008
7.27,0.0009
7.30,0.0011
7.31,0.0036
7.33,0.0019
7.33,0.0021
7.37,0.0060
7.38,0.0071
7.39,0.0070
7.42,0.0034
7.43,0.0047
7.45,0.0058
7.46,0.0073
7.47,0.0072
7.51,0.0019
7.54,0.0036
7.56,0.0048
7.58,0.0054
7.59,0.0065
7.64,0.0016
7.66,0.0009
7.67,0.0007
7.69,0.0007
7.73,0.0006
7.73,0.0005
7.75,0.0004
7.76,0.0004
7.78,0.0001
7.85,0.0003
7.88,0.0017
7.89,0.0016
7.96,0.0022
7.98,0.0041
8.00,0.0040
8.01,0.0028
8.03,0.0027
8.03,0.0032
8.07,0.0011
8.09,0.0010
8.12,0.0007
8.13,0.0006
8.14,0.0003
8.15,0.0012
8.19,0.0003
8.19,0.0003
9.55,0.0001
9.56,0.0001
9.73,0.0014
