"ppm", "INTENSITY"
0.00,0.0275
0.32,0.0002
0.42,0.0006
0.54,0.0033
0.55,0.0034
0.61,0.0249
0.65,0.0069
0.66,0.0079
0.67,0.0070
0.68,0.0086
0.71,0.0113
0.72,0.0139
0.74,0.0182
0.75,0.0313
0.76,0.0226
0.79,0.0216
0.80,0.0406
0.83,0.0410
0.84,0.0544
0.85,0.0542
0.85,0.0518
0.86,0.0718
0.88,0.1086
0.89,0.0745
0.90,0.0618
0.94,0.0524
0.95,0.0393
0.95,0.0394
0.96,0.0501
0.98,0.0504
0.98,0.0463
0.99,0.0494
0.99,0.0440
1.00,0.0373
1.01,0.0347
1.02,0.0335
1.03,0.0347
1.04,0.0365
1.05,0.0382
1.07,0.0353
1.10,0.0568
1.12,0.0566
1.13,0.0568
1.15,0.0988
1.16,0.1637
1.17,0.1215
1.18,0.1321
1.26,0.9987
1.36,0.0683
1.38,0.0634
1.39,0.1520
1.41,0.0798
1.44,0.0554
1.50,0.1174
1.51,0.1230
1.56,0.0780
1.57,0.0743
1.60,0.0690
1.62,0.0528
1.64,0.0473
1.65,0.0556
1.71,0.2449
1.73,0.0788
1.75,0.1859
1.77,0.0261
1.79,0.0235
1.83,0.0247
1.85,0.0249
1.88,0.0250
1.89,0.0203
1.90,0.0202
1.92,0.0184
1.95,0.0319
2.01,0.2469
2.03,0.0353
2.04,0.0348
2.10,0.0169
2.12,0.0146
2.14,0.0113
2.16,0.0103
2.17,0.0106
2.19,0.0187
2.21,0.0228
2.22,0.0167
2.26,0.0210
2.26,0.0210
2.27,0.0199
2.31,0.0140
2.32,0.0184
2.34,0.0256
2.35,0.0275
2.37,0.0205
2.38,0.0178
2.39,0.0163
2.41,0.0167
2.49,0.0074
2.50,0.0080
2.52,0.0093
2.53,0.0094
2.54,0.0093
2.58,0.0087
2.61,0.0044
2.62,0.0044
2.64,0.0051
2.65,0.0042
2.68,0.0029
2.71,0.0025
2.73,0.0036
2.74,0.0064
2.75,0.0076
2.77,0.0050
2.79,0.0042
2.80,0.0032
2.81,0.0032
2.81,0.0031
2.82,0.0035
2.87,0.0028
2.88,0.0047
2.90,0.0065
2.91,0.0041
2.95,0.0011
2.96,0.0014
2.98,0.0020
3.00,0.0040
3.01,0.0044
3.03,0.0026
3.04,0.0014
3.06,0.0011
3.07,0.0011
3.08,0.0031
3.10,0.0039
3.11,0.0023
3.12,0.0025
3.13,0.0026
3.16,0.0031
3.17,0.0049
3.19,0.0028
3.23,0.0067
3.25,0.0093
3.27,0.0196
3.52,0.0065
3.53,0.0044
3.55,0.0041
3.57,0.0161
3.59,0.0372
3.60,0.0363
3.61,0.0148
3.63,0.0044
3.64,0.0048
3.64,0.0046
3.65,0.0044
3.70,0.0121
3.73,0.0122
3.74,0.0112
3.76,0.0176
3.77,0.0273
3.79,0.0165
3.79,0.0157
3.80,0.0160
3.82,0.0201
3.83,0.0149
3.84,0.0171
3.85,0.0119
3.87,0.0109
3.88,0.0066
3.89,0.0055
3.91,0.0056
3.95,0.0102
3.97,0.0096
4.82,0.0429
4.84,0.0668
4.90,0.3111
5.04,0.0073
5.08,0.0080
5.10,0.0063
5.12,0.0074
5.13,0.0067
5.14,0.0062
5.15,0.0054
5.16,0.0052
5.18,0.0061
5.19,0.0059
5.21,0.0048
5.23,0.0059
5.25,0.0055
5.29,0.0283
5.31,0.0412
5.32,0.0315
5.34,0.0065
5.38,0.0028
5.39,0.0025
5.41,0.0022
5.42,0.0020
5.44,0.0016
5.46,0.0018
5.47,0.0018
5.53,0.0017
5.58,0.0013
5.60,0.0016
5.61,0.0020
5.64,0.0009
5.65,0.0014
5.66,0.0015
5.67,0.0017
5.68,0.0035
5.69,0.0084
5.70,0.0058
5.71,0.0126
5.74,0.0031
5.77,0.0031
5.78,0.0030
5.80,0.0028
5.82,0.0010
5.83,0.0009
5.85,0.0012
5.88,0.0023
5.88,0.0026
5.89,0.0019
5.91,0.0017
5.92,0.0024
5.94,0.0017
5.94,0.0018
5.95,0.0014
5.95,0.0014
5.96,0.0012
5.97,0.0013
5.98,0.0013
5.98,0.0011
5.99,0.0007
5.99,0.0014
5.99,0.0013
6.00,0.0012
6.01,0.0012
6.01,0.0012
6.02,0.0013
6.02,0.0013
6.02,0.0015
6.03,0.0014
6.04,0.0016
6.04,0.0014
6.06,0.0015
6.07,0.0018
6.09,0.0022
6.10,0.0026
6.10,0.0025
6.11,0.0028
6.13,0.0050
6.17,0.0073
6.18,0.0072
6.20,0.0085
6.21,0.0084
6.23,0.0094
6.24,0.0077
6.25,0.0060
6.26,0.0060
6.28,0.0060
6.29,0.0064
6.30,0.0063
6.31,0.0057
6.32,0.0063
6.33,0.0062
6.34,0.0074
6.35,0.0101
