"ppm", "INTENSITY"
0.00,0.0328
0.36,0.0005
0.41,0.0014
0.42,0.0020
0.43,0.0018
0.44,0.0019
0.49,0.0063
0.55,0.0278
0.56,0.0509
0.61,0.5855
0.66,0.0761
0.66,0.0771
0.68,0.0459
0.70,0.0231
0.72,0.0214
0.73,0.0368
0.74,0.0248
0.75,0.0238
0.77,0.0334
0.78,0.0336
0.80,0.0673
0.81,0.1473
0.83,0.0775
0.84,0.0896
0.85,0.0556
0.87,0.0980
0.88,0.1297
0.88,0.1513
0.89,0.1605
0.90,0.0990
0.93,0.1025
0.93,0.0963
0.94,0.0861
0.95,0.1037
0.96,0.1079
0.97,0.0870
0.98,0.1599
0.99,0.1859
1.00,0.1474
1.00,0.1465
1.02,0.1341
1.03,0.1407
1.04,0.1351
1.05,0.1245
1.06,0.1611
1.08,0.1222
1.09,0.1172
1.10,0.1067
1.11,0.1134
1.12,0.1163
1.13,0.1316
1.15,0.2894
1.16,0.4952
1.17,0.9988
1.20,0.1470
1.22,0.2338
1.22,0.2151
1.23,0.1089
1.24,0.1231
1.27,0.4597
1.31,0.2070
1.31,0.2079
1.32,0.1976
1.33,0.1865
1.34,0.1674
1.36,0.0916
1.40,0.0729
1.41,0.0743
1.42,0.0857
1.42,0.0952
1.43,0.0954
1.45,0.1152
1.45,0.1317
1.46,0.1371
1.47,0.1592
1.48,0.1345
1.49,0.1348
1.49,0.1432
1.52,0.0912
1.53,0.0909
1.55,0.1092
1.56,0.1209
1.58,0.1375
1.60,0.1798
1.62,0.1644
1.64,0.4833
1.68,0.1864
1.72,0.1410
1.73,0.1259
1.75,0.0691
1.79,0.0832
1.82,0.1514
1.84,0.1964
1.87,0.1896
1.87,0.2046
1.88,0.1773
1.89,0.2071
1.90,0.1495
1.93,0.0962
1.94,0.1050
1.95,0.0994
1.95,0.0997
1.96,0.1190
1.97,0.1246
1.97,0.1220
1.98,0.1189
1.98,0.1260
1.99,0.1259
2.00,0.2551
2.02,0.0916
2.03,0.0823
2.04,0.1075
2.05,0.0894
2.08,0.0759
2.11,0.1634
2.12,0.1609
2.15,0.0531
2.16,0.0479
2.17,0.0498
2.19,0.0295
2.20,0.0344
2.22,0.0195
2.24,0.0298
2.25,0.0487
2.27,0.0389
2.28,0.0316
2.30,0.0236
2.31,0.0245
2.34,0.0289
2.37,0.1017
2.39,0.0846
2.39,0.0787
2.43,0.0160
2.43,0.0156
2.44,0.0175
2.45,0.0168
2.45,0.0167
2.47,0.0132
2.47,0.0128
2.49,0.0114
2.50,0.0107
2.51,0.0116
2.52,0.0120
2.53,0.0099
2.55,0.0145
2.56,0.0436
2.57,0.0137
2.58,0.0153
2.58,0.0147
2.62,0.0065
2.64,0.0070
2.65,0.0061
2.66,0.0056
2.66,0.0048
2.68,0.0047
2.68,0.0047
2.69,0.0041
2.71,0.0040
2.74,0.0098
2.76,0.0144
2.77,0.0093
2.79,0.0057
2.80,0.0048
2.81,0.0048
2.83,0.0062
2.84,0.0059
2.85,0.0044
2.86,0.0034
2.87,0.0030
2.89,0.0008
2.91,0.0008
2.92,0.0013
2.95,0.0007
2.97,0.0015
2.98,0.0057
3.51,0.0093
3.51,0.0097
3.52,0.0096
3.54,0.0098
3.55,0.0112
3.57,0.0719
3.58,0.1882
3.60,0.1886
3.61,0.0687
3.62,0.0238
3.63,0.0217
3.63,0.0768
3.65,0.0163
3.66,0.0206
3.67,0.0149
3.68,0.0168
3.69,0.0167
3.70,0.0173
3.70,0.0142
3.71,0.0165
3.72,0.0194
3.74,0.0169
3.75,0.0199
3.76,0.0211
3.76,0.0243
3.77,0.0369
3.78,0.0289
3.79,0.0272
3.81,0.0321
3.81,0.0324
3.82,0.0301
3.82,0.0402
3.83,0.0400
3.84,0.0303
3.85,0.0593
3.87,0.0123
3.88,0.0094
3.88,0.0107
3.90,0.0106
3.91,0.0074
3.92,0.0061
3.94,0.0066
3.95,0.0085
3.96,0.0087
3.96,0.0072
3.97,0.0072
3.99,0.0156
4.81,0.0897
4.84,0.1962
4.91,0.2734
4.92,0.2714
4.99,0.0830
5.01,0.0600
5.03,0.0406
5.04,0.0331
5.07,0.0290
5.09,0.0232
5.10,0.0229
5.12,0.0173
5.13,0.0223
5.14,0.0270
5.17,0.0185
5.18,0.0258
5.20,0.0149
5.22,0.0115
5.25,0.0178
5.27,0.0281
5.29,0.0515
5.30,0.0763
5.32,0.0489
5.32,0.0429
5.34,0.0280
5.35,0.0187
5.36,0.0181
5.38,0.0141
5.39,0.0085
5.41,0.0079
5.42,0.0076
5.44,0.0061
5.44,0.0061
5.47,0.0045
5.47,0.0045
5.48,0.0044
5.52,0.0062
5.53,0.0065
5.56,0.0050
5.58,0.0044
5.60,0.0204
5.61,0.0167
5.64,0.0042
5.65,0.0036
5.67,0.0030
5.68,0.0047
5.70,0.0068
5.72,0.0258
5.73,0.0072
5.76,0.0054
5.76,0.0032
5.78,0.0054
5.79,0.0059
5.81,0.0064
5.82,0.0039
5.84,0.0032
5.85,0.0151
5.87,0.0143
5.88,0.0134
5.89,0.0054
5.90,0.0068
5.91,0.0132
5.92,0.0039
5.93,0.0060
5.93,0.0068
5.94,0.0082
5.95,0.0059
5.95,0.0063
5.96,0.0061
5.97,0.0038
5.98,0.0040
5.98,0.0038
5.99,0.0017
6.00,0.0031
6.01,0.0016
6.01,0.0018
6.02,0.0019
6.03,0.0017
6.03,0.0017
6.04,0.0015
6.04,0.0014
6.05,0.0014
6.06,0.0015
6.07,0.0020
6.08,0.0020
6.09,0.0028
6.10,0.0044
6.11,0.0028
6.13,0.0026
6.17,0.0064
6.18,0.0027
6.19,0.0026
6.20,0.0036
6.20,0.0043
6.22,0.0030
6.23,0.0050
6.23,0.0053
6.24,0.0073
6.25,0.0040
6.27,0.0078
6.28,0.0069
6.28,0.0046
6.30,0.0074
6.32,0.0017
6.33,0.0016
6.35,0.0026
6.36,0.0031
6.37,0.0037
6.39,0.0047
6.40,0.0057
6.41,0.0054
6.42,0.0031
6.45,0.0031
6.48,0.0069
6.48,0.0065
6.49,0.0027
6.51,0.0039
6.51,0.0055
6.53,0.0047
6.55,0.0049
6.56,0.0034
6.58,0.0076
6.58,0.0070
6.59,0.0045
6.60,0.0053
6.61,0.0042
6.63,0.0061
6.65,0.0103
6.66,0.0065
6.67,0.0079
6.68,0.0116
6.69,0.0082
6.70,0.0080
6.71,0.0077
6.73,0.0149
6.73,0.0152
6.75,0.0167
6.75,0.0169
6.76,0.0103
6.78,0.0140
6.79,0.0124
6.81,0.0133
6.82,0.0101
6.83,0.0088
6.83,0.0089
6.84,0.0115
6.85,0.0066
6.86,0.0083
6.87,0.0085
6.88,0.0089
6.89,0.0088
6.90,0.0051
6.91,0.0057
6.92,0.0076
6.93,0.0056
6.94,0.0056
6.95,0.0059
6.96,0.0042
6.97,0.0047
6.97,0.0047
6.98,0.0048
7.01,0.0051
7.01,0.0051
7.02,0.0093
7.02,0.0090
7.04,0.0031
7.04,0.0031
7.07,0.0050
7.07,0.0051
7.08,0.0055
7.09,0.0058
7.10,0.0053
7.11,0.0032
7.13,0.0037
7.13,0.0030
7.15,0.0047
7.16,0.0147
7.18,0.0080
7.21,0.0033
7.23,0.0043
7.25,0.0027
7.26,0.0029
7.27,0.0033
7.29,0.0037
7.31,0.0033
7.32,0.0035
7.34,0.0045
7.35,0.0061
7.37,0.0153
7.38,0.0169
7.39,0.0158
7.40,0.0096
7.42,0.0120
7.43,0.0156
7.44,0.0150
7.45,0.0243
7.47,0.0238
7.48,0.0182
7.49,0.0104
7.51,0.0048
7.52,0.0052
7.53,0.0066
7.54,0.0092
7.55,0.0110
7.56,0.0122
7.57,0.0128
7.58,0.0144
7.59,0.0118
7.60,0.0107
7.63,0.0059
7.66,0.0027
7.67,0.0033
7.68,0.0035
7.72,0.0031
7.73,0.0009
7.75,0.0008
7.76,0.0007
7.79,0.0016
7.80,0.0015
7.82,0.0015
7.83,0.0016
7.85,0.0013
7.87,0.0012
7.88,0.0009
7.90,0.0010
7.95,0.0074
7.96,0.0085
7.98,0.0046
7.99,0.0099
8.01,0.0099
8.02,0.0106
8.04,0.0095
8.07,0.0032
8.10,0.0121
8.11,0.0126
8.18,0.0024
8.20,0.0021
9.10,0.0004
9.11,0.0006
9.15,0.0003
9.18,0.0013
9.19,0.0010
9.21,0.0004
9.23,0.0002
9.23,0.0003
9.24,0.0007
9.26,0.0006
9.27,0.0024
