"ppm", "INTENSITY"
0.00,0.0213
0.16,0.0006
0.17,0.0009
0.18,0.0007
0.20,0.0004
0.22,0.0005
0.27,0.0011
0.28,0.0010
0.30,0.0012
0.31,0.0013
0.33,0.0016
0.34,0.0018
0.35,0.0019
0.36,0.0018
0.38,0.0020
0.39,0.0020
0.42,0.0032
0.49,0.0072
0.54,0.0513
0.54,0.0546
0.55,0.1910
0.58,0.0303
0.59,0.0350
0.61,0.5220
0.66,0.1952
0.66,0.2174
0.68,0.0331
0.68,0.0293
0.69,0.0448
0.70,0.0277
0.72,0.0171
0.74,0.0233
0.76,0.0253
0.77,0.0239
0.79,0.0276
0.81,0.2775
0.82,0.0757
0.83,0.0849
0.85,0.0567
0.87,0.0625
0.87,0.0830
0.88,0.0991
0.89,0.0832
0.89,0.0705
0.90,0.0610
0.91,0.0547
0.92,0.0598
0.94,0.1235
0.95,0.0746
0.96,0.0607
0.98,0.3277
0.99,0.2378
1.00,0.2296
1.00,0.2360
1.01,0.1060
1.02,0.1259
1.03,0.1278
1.04,0.1380
1.05,0.1356
1.06,0.1672
1.07,0.1298
1.08,0.1239
1.11,0.1036
1.12,0.1333
1.15,0.3614
1.16,0.6155
1.17,0.9990
1.20,0.1753
1.22,0.4614
1.24,0.1734
1.27,0.2888
1.29,0.1250
1.30,0.1349
1.31,0.1395
1.31,0.1216
1.32,0.1201
1.35,0.0748
1.39,0.0477
1.40,0.0527
1.42,0.0720
1.46,0.1421
1.46,0.1475
1.48,0.1965
1.49,0.1689
1.49,0.1667
1.51,0.1184
1.55,0.1247
1.56,0.1135
1.57,0.1347
1.58,0.1360
1.60,0.2010
1.61,0.1681
1.64,0.4130
1.66,0.1264
1.68,0.2636
1.70,0.1084
1.72,0.2637
1.73,0.2196
1.75,0.0899
1.78,0.1213
1.81,0.1577
1.83,0.1489
1.85,0.2107
1.85,0.2022
1.87,0.2557
1.92,0.1575
1.94,0.1153
1.95,0.1305
1.97,0.1637
1.98,0.1550
1.99,0.1486
1.99,0.3978
2.01,0.0939
2.02,0.1099
2.04,0.1264
2.07,0.0756
2.08,0.0642
2.11,0.3656
2.12,0.2028
2.16,0.0722
2.17,0.0529
2.19,0.0455
2.20,0.0370
2.22,0.0251
2.24,0.0257
2.25,0.0426
2.25,0.0425
2.27,0.0435
2.28,0.0473
2.29,0.0378
2.30,0.0388
2.31,0.0353
2.36,0.0846
2.37,0.1207
2.38,0.1036
2.39,0.0927
2.44,0.0376
