"ppm", "INTENSITY"
0.00,0.0164
0.16,0.0001
0.27,0.0001
0.30,0.0001
0.34,0.0006
0.36,0.0006
0.38,0.0007
0.39,0.0007
0.42,0.0011
0.43,0.0012
0.49,0.0064
0.55,0.0360
0.56,0.0429
0.62,0.7055
0.66,0.0973
0.66,0.0965
0.68,0.0673
0.70,0.0180
0.72,0.0097
0.74,0.0171
0.77,0.0190
0.77,0.0208
0.82,0.1485
0.84,0.0582
0.85,0.0364
0.87,0.0546
0.89,0.0726
0.90,0.0475
0.91,0.0430
0.92,0.0466
0.93,0.0570
0.93,0.0701
0.96,0.0791
0.99,0.1397
0.99,0.1687
1.00,0.1374
1.00,0.1469
1.01,0.0981
1.02,0.0997
1.03,0.1368
1.04,0.1408
1.06,0.1464
1.09,0.1172
1.11,0.0965
1.12,0.0918
1.13,0.1149
1.14,0.2645
1.16,0.4657
1.18,0.9987
1.20,0.1596
1.22,0.2859
1.24,0.1088
1.25,0.0885
1.27,0.2034
1.30,0.1237
1.31,0.1520
1.34,0.1246
1.36,0.0657
1.38,0.0484
1.40,0.0561
1.41,0.0602
1.43,0.0867
1.45,0.1097
1.45,0.1276
1.46,0.1426
1.47,0.1645
1.48,0.1313
1.49,0.1337
1.53,0.0761
1.55,0.0891
1.57,0.0926
1.58,0.1247
1.60,0.1860
1.62,0.1733
1.64,0.5792
1.66,0.1202
1.68,0.4162
1.72,0.1614
1.73,0.1296
1.76,0.0640
1.82,0.1704
1.83,0.1696
1.84,0.2339
1.87,0.2713
1.89,0.2596
1.94,0.1065
1.96,0.1325
1.97,0.1231
1.99,0.1566
2.00,0.6173
2.03,0.0702
2.04,0.0796
2.05,0.0758
2.06,0.0765
2.07,0.0685
2.11,0.1729
2.13,0.1760
2.16,0.0786
2.17,0.0808
2.19,0.0368
2.21,0.0306
2.22,0.0250
2.26,0.0311
2.28,0.0265
2.28,0.0266
2.29,0.0245
2.31,0.0252
2.37,0.1404
2.39,0.1138
2.39,0.1084
2.43,0.0196
2.44,0.0188
2.47,0.0146
2.48,0.0141
2.50,0.0130
2.51,0.0148
2.55,0.0170
2.56,0.0309
2.58,0.0181
2.60,0.0099
2.63,0.0078
2.65,0.0068
2.65,0.0063
2.67,0.0055
2.69,0.0053
2.71,0.0057
2.72,0.0055
2.73,0.0060
2.75,0.0058
2.75,0.0058
2.76,0.0053
2.78,0.0046
2.79,0.0038
2.80,0.0041
2.82,0.0064
2.83,0.0080
2.84,0.0080
2.85,0.0069
2.86,0.0061
2.87,0.0048
2.91,0.0020
2.92,0.0017
2.93,0.0014
2.95,0.0014
2.97,0.0013
2.98,0.0020
2.99,0.0012
3.01,0.0019
3.02,0.0010
3.03,0.0008
3.04,0.0010
3.06,0.0009
3.10,0.0020
3.11,0.0019
3.12,0.0025
3.13,0.0019
3.14,0.0020
3.14,0.0016
3.17,0.0010
3.19,0.0029
3.20,0.0018
3.23,0.0018
3.24,0.0057
3.27,0.0090
3.29,0.1201
3.51,0.0054
3.52,0.0058
3.54,0.0060
3.55,0.0063
3.57,0.0679
3.58,0.1831
3.60,0.1835
3.61,0.0697
3.63,0.0398
3.64,0.0117
3.65,0.0125
3.66,0.0100
3.69,0.0146
3.71,0.0142
3.72,0.0122
3.74,0.0114
3.75,0.0164
3.76,0.0182
3.78,0.0152
3.79,0.0153
3.81,0.0231
3.83,0.0293
3.84,0.0205
3.85,0.0141
3.86,0.0110
3.88,0.0109
3.88,0.0125
3.89,0.0121
3.91,0.0078
3.92,0.0067
3.93,0.0063
3.95,0.0070
3.99,0.0085
4.81,0.0884
4.84,0.2241
4.87,0.0353
4.88,0.0392
4.91,0.0377
4.93,0.0390
4.99,0.1298
5.01,0.1586
5.03,0.1492
5.13,0.0467
5.14,0.0544
5.16,0.0356
5.18,0.0473
5.20,0.0227
5.26,0.0387
5.27,0.0640
5.29,0.0577
5.31,0.0927
5.32,0.0529
5.35,0.0181
5.37,0.0219
5.38,0.0155
5.40,0.0092
5.43,0.0084
5.47,0.0069
5.52,0.0073
5.57,0.0056
5.58,0.0057
5.61,0.0159
5.64,0.0069
5.65,0.0070
5.67,0.0054
5.68,0.0064
5.70,0.0073
5.72,0.0326
5.76,0.0071
5.77,0.0050
5.79,0.0073
5.81,0.0074
5.82,0.0055
5.85,0.0231
5.87,0.0240
5.88,0.0215
5.90,0.0198
5.92,0.0044
5.93,0.0065
5.96,0.0038
5.96,0.0036
5.97,0.0036
5.97,0.0038
5.98,0.0039
5.98,0.0038
5.99,0.0031
6.00,0.0031
6.01,0.0028
6.02,0.0040
6.02,0.0040
6.04,0.0027
6.05,0.0027
6.06,0.0030
6.07,0.0036
6.08,0.0029
6.09,0.0033
6.10,0.0028
6.11,0.0030
6.13,0.0033
6.14,0.0028
6.16,0.0028
6.18,0.0034
6.19,0.0028
6.21,0.0023
6.22,0.0024
6.23,0.0023
6.24,0.0105
6.26,0.0107
6.28,0.0110
6.30,0.0101
6.32,0.0024
6.34,0.0027
6.35,0.0023
6.38,0.0019
6.41,0.0019
6.42,0.0017
6.43,0.0017
6.45,0.0016
6.47,0.0019
6.48,0.0021
6.49,0.0030
6.51,0.0028
6.52,0.0036
6.54,0.0029
6.56,0.0024
6.57,0.0031
6.59,0.0028
6.60,0.0027
6.62,0.0032
6.63,0.0030
6.65,0.0040
6.66,0.0044
6.68,0.0071
6.69,0.0052
6.70,0.0060
6.71,0.0052
6.72,0.0060
6.73,0.0063
6.74,0.0071
6.75,0.0140
6.76,0.0080
6.77,0.0145
6.79,0.0143
6.81,0.0127
6.82,0.0061
6.85,0.0053
6.87,0.0044
6.89,0.0039
6.90,0.0040
6.92,0.0056
6.94,0.0058
6.95,0.0040
6.96,0.0044
6.97,0.0045
7.00,0.0039
7.02,0.0034
7.04,0.0031
7.07,0.0051
7.08,0.0062
7.10,0.0060
7.11,0.0047
7.13,0.0038
7.14,0.0045
7.16,0.0156
7.18,0.0086
7.19,0.0048
7.20,0.0031
7.22,0.0032
7.24,0.0020
7.26,0.0019
7.27,0.0016
7.29,0.0018
7.31,0.0014
7.32,0.0018
7.33,0.0017
7.34,0.0017
7.35,0.0023
7.37,0.0023
7.38,0.0018
7.40,0.0020
7.41,0.0025
7.42,0.0046
7.42,0.0036
7.44,0.0026
7.45,0.0023
7.47,0.0019
7.52,0.0012
7.54,0.0018
7.55,0.0015
7.57,0.0018
7.58,0.0015
7.59,0.0014
7.60,0.0013
7.61,0.0012
7.64,0.0009
7.68,0.0005
7.70,0.0005
7.71,0.0005
7.73,0.0004
7.74,0.0003
7.76,0.0003
7.80,0.0010
7.80,0.0010
7.83,0.0006
7.84,0.0005
7.87,0.0001
7.99,0.0003
8.01,0.0003
8.03,0.0002
8.04,0.0005
8.06,0.0011
8.08,0.0001
8.11,0.0003
9.18,0.0020
9.19,0.0012
9.20,0.0007
9.21,0.0005
9.23,0.0003
9.25,0.0007
9.26,0.0007
9.27,0.0022
9.31,0.0006
9.33,0.0002
9.34,0.0002
9.37,0.0002
9.38,0.0003
9.40,0.0010
9.41,0.0002
9.54,0.0005
9.56,0.0005
9.71,0.0185
9.72,0.0027
9.75,0.0037
9.76,0.0037
9.82,0.0003
9.87,0.0002
9.91,0.0055
9.93,0.0057
9.98,0.0003
9.98,0.0004
9.99,0.0004
10.00,0.0004
10.02,0.0002
10.04,0.0003
10.06,0.0003
10.16,0.0003
