"ppm", "INTENSITY"
0.00,0.0567
0.31,0.0003
0.41,0.0005
0.42,0.0006
0.44,0.0007
0.52,0.0033
0.53,0.0025
0.60,0.0087
0.61,0.0101
0.67,0.0148
0.70,0.0271
0.73,0.1715
0.75,0.0627
0.76,0.0666
0.76,0.1159
0.77,0.0656
0.79,0.1840
0.82,0.1565
0.83,0.2397
0.84,0.1194
0.85,0.1471
0.86,0.1618
0.86,0.1494
0.87,0.1522
0.88,0.2133
0.89,0.1119
0.90,0.0646
0.91,0.0644
0.92,0.2486
0.94,0.1164
0.94,0.1008
0.96,0.2590
0.98,0.0567
0.99,0.0628
1.01,0.0655
1.02,0.0573
1.03,0.0568
1.04,0.0598
1.06,0.0695
1.07,0.0615
1.10,0.0790
1.11,0.0963
1.12,0.1492
1.13,0.0984
1.13,0.0963
1.14,0.0848
1.15,0.1983
1.17,0.3178
1.18,0.2158
1.19,0.1008
1.21,0.3723
1.23,0.1563
1.26,0.9998
1.33,0.1043
1.35,0.0904
1.38,0.0835
1.39,0.0799
1.40,0.0838
1.41,0.0864
1.43,0.0914
1.44,0.1023
1.46,0.1240
1.47,0.1164
1.48,0.1344
1.51,0.1793
1.56,0.4995
1.57,0.5220
1.58,0.4798
1.59,0.4867
1.60,0.3654
1.65,0.2747
1.67,0.1369
1.68,0.1433
1.70,0.1146
1.71,0.0956
1.72,0.0925
1.73,0.0981
1.75,0.0960
1.78,0.4722
1.83,0.0468
1.85,0.0517
1.87,0.0618
1.89,0.0651
1.90,0.0820
1.94,0.1304
1.95,0.1697
1.97,0.1651
2.00,0.1863
2.04,0.2197
2.05,0.3239
2.06,0.5138
2.08,0.2453
2.10,0.1613
2.22,0.0834
2.24,0.1466
2.25,0.1690
2.27,0.1029
2.31,0.0218
2.32,0.0251
2.35,0.0245
2.37,0.0187
2.39,0.0187
2.40,0.0173
2.42,0.0163
2.43,0.0146
2.44,0.0146
2.46,0.0130
2.48,0.0133
2.51,0.0254
2.52,0.0202
2.54,0.0225
2.55,0.0285
2.57,0.0267
2.58,0.0324
2.59,0.0372
2.60,0.0442
2.63,0.0693
2.64,0.0823
2.65,0.0565
2.72,0.0118
2.74,0.0112
2.75,0.0114
2.77,0.0100
2.79,0.0078
2.80,0.0059
2.82,0.0043
2.84,0.0021
2.86,0.0013
2.88,0.0021
2.89,0.0042
2.93,0.0035
2.95,0.0029
2.98,0.0030
3.01,0.0018
3.02,0.0015
3.04,0.0012
3.10,0.0097
3.11,0.0145
3.12,0.0162
3.14,0.0262
3.14,0.0189
3.16,0.0312
3.17,0.0151
3.18,0.0077
3.20,0.0040
3.22,0.0043
3.24,0.0082
3.51,0.0262
3.52,0.0291
3.54,0.0218
3.54,0.0225
3.54,0.0222
3.56,0.0256
3.56,0.0287
3.58,0.0692
3.59,0.1525
3.60,0.1495
3.62,0.0713
3.63,0.0444
3.63,0.0451
3.65,0.0604
3.67,0.0654
3.69,0.0660
3.71,0.0937
3.73,0.0957
3.74,0.1243
3.75,0.1372
3.75,0.1502
3.76,0.1864
3.77,0.1912
3.78,0.1956
3.78,0.1964
3.79,0.1962
3.80,0.1885
3.80,0.1956
3.82,0.3478
3.83,0.2431
3.85,0.0924
3.85,0.0819
3.86,0.1104
3.87,0.0524
3.88,0.0611
3.89,0.0280
3.91,0.0130
3.92,0.0112
3.96,0.0094
3.97,0.0081
4.00,0.0146
4.88,0.5400
5.09,0.0918
5.10,0.1179
5.12,0.1138
5.21,0.0164
5.22,0.0288
5.24,0.0226
5.29,0.0133
5.31,0.0225
5.32,0.0361
5.33,0.0237
5.36,0.0110
5.44,0.0048
5.46,0.0184
5.50,0.0017
5.52,0.0018
5.53,0.0023
5.55,0.0021
5.56,0.0018
5.57,0.0016
5.60,0.0014
5.61,0.0015
5.63,0.0013
5.65,0.0021
5.67,0.0021
5.69,0.0022
5.72,0.0081
5.75,0.0026
5.76,0.0022
5.77,0.0026
5.80,0.0039
5.84,0.0050
5.85,0.0047
5.86,0.0038
5.87,0.0041
5.88,0.0043
5.89,0.0037
5.90,0.0038
5.91,0.0039
5.92,0.0039
5.92,0.0039
5.92,0.0040
5.93,0.0037
5.94,0.0045
5.94,0.0035
5.95,0.0039
5.96,0.0037
5.96,0.0034
5.97,0.0036
5.98,0.0048
5.99,0.0032
5.99,0.0035
5.99,0.0046
6.00,0.0039
6.00,0.0034
6.01,0.0032
6.01,0.0033
6.01,0.0031
6.02,0.0030
6.03,0.0038
6.04,0.0032
6.05,0.0033
6.05,0.0033
6.07,0.0036
6.08,0.0037
6.08,0.0039
6.11,0.0055
6.12,0.0062
6.13,0.0069
6.13,0.0074
6.14,0.0074
6.15,0.0078
6.16,0.0086
6.18,0.0100
6.20,0.0091
6.21,0.0116
6.22,0.0108
6.23,0.0145
6.24,0.0148
6.26,0.0170
6.27,0.0237
6.28,0.0210
6.29,0.0179
6.29,0.0162
6.31,0.0656
6.32,0.0631
6.34,0.0139
6.35,0.0140
6.36,0.0175
6.37,0.0226
6.38,0.0184
6.39,0.0253
6.40,0.0641
6.41,0.0597
6.44,0.0263
6.44,0.0249
6.45,0.0208
6.45,0.0166
6.46,0.0206
6.47,0.0291
6.48,0.0183
6.50,0.0250
6.51,0.0261
6.52,0.0263
6.53,0.0240
6.53,0.0239
6.54,0.0265
6.56,0.0270
6.57,0.0283
6.58,0.0278
6.61,0.0280
6.61,0.0288
6.63,0.0598
6.65,0.0334
6.66,0.0449
6.67,0.0400
6.68,0.0389
6.69,0.0455
6.70,0.0461
6.71,0.0850
6.73,0.1019
6.74,0.1285
6.79,0.0402
6.80,0.0373
6.81,0.0370
6.83,0.0252
6.84,0.0275
6.84,0.0277
6.85,0.0321
6.87,0.0249
6.89,0.0176
6.90,0.0229
6.92,0.0177
6.92,0.0220
6.93,0.0182
6.95,0.0176
6.97,0.0127
6.99,0.0184
7.01,0.0250
7.01,0.0256
7.02,0.0190
7.04,0.0151
7.04,0.0156
7.07,0.0069
7.08,0.0068
7.10,0.0138
7.12,0.0135
7.14,0.0234
7.14,0.0233
7.15,0.0213
7.19,0.0160
7.20,0.0079
7.21,0.0078
7.22,0.0087
7.24,0.0110
7.25,0.0097
7.25,0.0106
7.29,0.0177
7.30,0.0199
7.32,0.0337
7.35,0.0767
7.36,0.0760
7.39,0.0360
7.42,0.0780
7.42,0.0782
7.43,0.1267
7.45,0.0961
7.51,0.0218
7.54,0.0658
7.54,0.0675
7.55,0.0812
7.56,0.0627
7.57,0.0460
7.58,0.0249
7.60,0.0205
7.61,0.0194
7.64,0.0207
7.64,0.0126
7.66,0.0099
7.67,0.0168
7.69,0.0078
7.70,0.0096
7.72,0.0058
7.73,0.0049
7.75,0.0063
7.77,0.0049
7.78,0.0048
7.79,0.0051
7.82,0.0062
7.83,0.0069
7.86,0.0085
7.88,0.0088
7.90,0.0095
7.92,0.0100
7.93,0.0115
7.94,0.0109
7.96,0.0165
7.98,0.0177
7.98,0.0158
8.00,0.0783
8.01,0.0964
8.03,0.0392
8.07,0.0046
8.09,0.0026
8.11,0.0030
8.15,0.0007
8.17,0.0006
9.29,0.0036
9.30,0.0034
9.53,0.0011
9.54,0.0013
9.55,0.0008
9.60,0.0010
9.72,0.0058
10.14,0.0004
