"ppm", "INTENSITY"
0.00,0.0470
0.41,0.0013
0.42,0.0023
0.44,0.0016
0.49,0.0065
0.55,0.0578
0.56,0.0683
0.61,0.7232
0.66,0.1247
0.66,0.1109
0.68,0.0160
0.69,0.0125
0.70,0.0134
0.73,0.0176
0.74,0.0161
0.77,0.0167
0.77,0.0193
0.79,0.0261
0.82,0.1897
0.83,0.0462
0.84,0.0600
0.85,0.0456
0.89,0.1732
0.90,0.0867
0.93,0.0541
0.93,0.0567
0.94,0.0547
0.96,0.0868
0.98,0.2053
0.99,0.2627
1.00,0.1962
1.00,0.1984
1.02,0.1090
1.03,0.0715
1.04,0.1191
1.05,0.1233
1.06,0.1313
1.09,0.1008
1.10,0.0718
1.11,0.0748
1.12,0.0733
1.12,0.0736
1.13,0.0822
1.15,0.1755
1.16,0.2617
1.18,0.9987
1.20,0.0792
1.21,0.1261
1.22,0.2129
1.24,0.0820
1.25,0.0826
1.27,0.2581
1.30,0.2161
1.31,0.2052
1.32,0.2254
1.33,0.1829
1.34,0.1857
1.36,0.0910
1.39,0.0423
1.40,0.0488
1.41,0.0519
1.43,0.0783
1.46,0.1222
1.46,0.1277
1.47,0.1403
1.48,0.1289
1.49,0.1355
1.53,0.0647
1.56,0.0777
1.57,0.0808
1.59,0.1221
1.60,0.1656
1.62,0.1474
1.64,0.3866
1.67,0.1411
1.68,0.3695
1.69,0.1490
1.72,0.1679
1.73,0.1787
1.76,0.0604
1.78,0.0663
1.79,0.0779
1.82,0.1543
1.84,0.2038
1.85,0.2070
1.87,0.2432
1.87,0.2398
1.88,0.1998
1.89,0.2238
1.93,0.0869
1.94,0.1004
1.95,0.1423
1.97,0.1315
2.00,0.5235
2.01,0.0987
2.02,0.1072
2.04,0.2149
2.05,0.1470
2.08,0.0642
2.11,0.1988
2.12,0.1515
2.15,0.0601
2.16,0.0532
2.17,0.0425
2.20,0.1465
2.22,0.0145
2.24,0.0152
2.25,0.0243
2.27,0.0199
2.28,0.0257
2.30,0.0191
2.31,0.0167
2.34,0.0250
2.37,0.1173
2.39,0.0886
2.39,0.0802
2.43,0.0155
2.45,0.0211
2.47,0.0100
2.48,0.0095
2.50,0.0100
2.52,0.0124
2.53,0.0117
2.54,0.0095
