"ppm", "INTENSITY"
0.00,0.0183
0.27,0.0006
0.34,0.0008
0.36,0.0008
0.37,0.0006
0.39,0.0006
0.42,0.0007
0.43,0.0010
0.49,0.0041
0.54,0.0331
0.55,0.1011
0.59,0.0212
0.61,0.4773
0.66,0.1590
0.66,0.1608
0.68,0.1152
0.70,0.0325
0.72,0.0135
0.74,0.0181
0.77,0.0233
0.79,0.0233
0.81,0.1898
0.83,0.0579
0.84,0.0722
0.85,0.0442
0.87,0.0622
0.88,0.0678
0.88,0.0878
0.89,0.0847
0.90,0.0518
0.91,0.0503
0.93,0.0770
0.93,0.0984
0.96,0.1328
0.98,0.2605
0.99,0.1744
1.00,0.1609
1.00,0.1636
1.01,0.0931
1.02,0.1067
1.03,0.1223
1.04,0.1209
1.06,0.1487
1.08,0.1153
1.08,0.1099
1.12,0.1119
1.15,0.2986
1.16,0.5035
1.17,0.9988
1.20,0.1616
1.22,0.4563
1.23,0.1386
1.24,0.1822
1.27,0.3373
1.29,0.1360
1.30,0.1363
1.31,0.1379
1.32,0.1293
1.33,0.1190
1.33,0.1118
1.35,0.0818
1.36,0.0709
1.38,0.0602
1.40,0.0570
1.40,0.0556
1.42,0.0630
1.42,0.0687
1.45,0.1088
1.47,0.1893
1.49,0.1498
1.53,0.1009
1.54,0.1196
1.55,0.1196
1.57,0.1230
1.58,0.1249
1.60,0.1726
1.62,0.1384
1.64,0.3619
1.68,0.2437
1.70,0.1001
1.72,0.2176
1.73,0.1926
1.75,0.0799
1.78,0.1070
1.79,0.1088
1.81,0.1469
1.84,0.1900
1.87,0.2186
1.89,0.2023
1.90,0.1665
1.92,0.1179
1.94,0.1037
1.96,0.1223
1.97,0.1385
1.99,0.1384
1.99,0.3511
2.02,0.0908
2.04,0.1002
2.04,0.1001
2.07,0.0625
2.11,0.2408
2.12,0.1643
2.13,0.1225
2.16,0.0606
2.16,0.0685
2.18,0.0463
2.19,0.0389
2.20,0.0328
2.22,0.0246
2.24,0.0269
2.25,0.0406
2.27,0.0371
2.28,0.0387
2.29,0.0347
2.30,0.0350
2.31,0.0332
2.32,0.0263
2.36,0.0833
2.37,0.1123
2.38,0.0988
2.39,0.0883
2.43,0.0274
2.44,0.0299
2.46,0.0218
2.47,0.0230
2.49,0.0179
2.50,0.0179
2.51,0.0163
2.52,0.0165
2.54,0.0261
2.56,0.0950
2.58,0.0303
2.60,0.0191
2.61,0.0148
2.63,0.0137
2.64,0.0122
2.66,0.0113
2.70,0.0076
2.73,0.0087
2.75,0.0110
2.76,0.0126
2.78,0.0108
2.79,0.0081
2.80,0.0090
2.81,0.0164
2.82,0.0153
2.83,0.0178
2.84,0.0170
2.85,0.0126
2.86,0.0110
2.87,0.0093
2.90,0.0049
2.92,0.0043
2.93,0.0039
2.95,0.0037
2.96,0.0036
