"ppm", "INTENSITY"
0.00,0.0903
0.12,0.0006
0.15,0.0009
0.19,0.0023
0.23,0.0023
0.24,0.0022
0.26,0.0036
0.28,0.0026
0.30,0.0033
0.32,0.0022
0.33,0.0024
0.35,0.0027
0.36,0.0039
0.38,0.0027
0.41,0.0028
0.41,0.0028
0.43,0.0027
0.45,0.0027
0.49,0.0050
0.55,0.0229
0.56,0.0386
0.59,0.0181
0.61,0.2584
0.66,0.0862
0.66,0.0729
0.68,0.0140
0.69,0.0153
0.70,0.0212
0.74,0.0520
0.77,0.0235
0.80,0.0647
0.81,0.1036
0.84,0.1003
0.85,0.0587
0.86,0.0607
0.87,0.0973
0.88,0.1336
0.89,0.0999
0.91,0.0531
0.93,0.1005
0.95,0.0699
0.96,0.0644
0.98,0.1258
1.00,0.0876
1.00,0.0841
1.01,0.0718
1.04,0.0949
1.06,0.0860
1.07,0.0616
1.09,0.0842
1.11,0.0578
1.11,0.0688
1.13,0.0742
1.15,0.1383
1.16,0.2229
1.17,0.4234
1.18,0.2351
1.19,0.0830
1.20,0.0824
1.21,0.1247
1.22,0.1366
1.27,0.5880
1.30,0.1471
1.32,0.1285
1.34,0.0849
1.36,0.0508
1.36,0.0544
1.37,0.0514
1.39,0.0482
1.40,0.0638
1.42,0.0516
1.43,0.0509
1.45,0.0640
1.45,0.0657
1.46,0.0654
1.47,0.0791
1.48,0.0719
1.49,0.0702
1.49,0.0721
1.50,0.0660
1.52,0.0533
1.52,0.0536
1.53,0.0532
1.55,0.0636
1.57,0.0701
1.59,0.0973
1.60,0.1003
1.62,0.0798
1.64,0.2223
1.66,0.0775
1.67,0.0889
1.68,0.0857
1.70,0.0515
1.71,0.0504
1.72,0.1000
1.73,0.1003
1.76,0.0383
1.78,0.0475
1.81,0.0647
1.82,0.0700
1.85,0.0949
1.86,0.0949
1.87,0.0972
1.88,0.0882
1.89,0.0960
1.90,0.0697
1.91,0.0648
1.92,0.0547
1.93,0.0460
1.94,0.0457
1.96,0.0607
1.97,0.0590
1.98,0.0584
1.99,0.0661
2.00,0.1116
2.02,0.0537
2.02,0.0497
2.03,0.0504
2.04,0.0502
2.05,0.0448
2.08,0.0338
2.11,0.0967
2.12,0.0704
2.13,0.0534
2.15,0.0261
2.16,0.0242
2.18,0.0186
2.19,0.0176
2.20,0.0156
2.22,0.0128
2.24,0.0292
2.25,0.0444
2.27,0.0313
2.27,0.0191
2.29,0.0174
2.29,0.0169
2.30,0.0175
2.31,0.0183
2.33,0.0197
2.36,0.0357
2.37,0.0535
2.37,0.0481
2.39,0.0429
2.39,0.0403
2.43,0.0123
2.44,0.0119
2.45,0.0117
2.46,0.0082
2.47,0.0099
2.48,0.0075
2.49,0.0079
2.50,0.0097
2.51,0.0096
2.51,0.0107
2.51,0.0097
2.53,0.0103
2.54,0.0138
2.55,0.0082
2.55,0.0078
2.56,0.0068
2.58,0.0049
2.59,0.0043
2.61,0.0038
2.62,0.0040
2.63,0.0066
2.65,0.0035
2.67,0.0040
2.68,0.0048
2.69,0.0039
2.70,0.0038
2.71,0.0036
2.75,0.0064
2.76,0.0085
2.77,0.0064
2.79,0.0053
2.80,0.0055
2.82,0.0049
2.83,0.0047
2.84,0.0047
2.86,0.0042
2.87,0.0035
2.88,0.0030
2.91,0.0024
2.92,0.0027
2.93,0.0031
2.95,0.0023
2.95,0.0022
2.98,0.0036
2.99,0.0035
3.00,0.0034
3.02,0.0031
3.03,0.0031
3.09,0.0078
3.10,0.0104
3.11,0.0118
3.12,0.0155
3.14,0.0074
3.15,0.0090
3.16,0.0091
3.18,0.0233
3.19,0.0084
3.20,0.0113
3.21,0.0087
3.22,0.0088
3.25,0.0294
3.29,0.2839
3.30,0.3701
3.51,0.0302
3.52,0.0314
3.52,0.0242
3.53,0.0284
3.54,0.0242
3.55,0.0279
3.56,0.0361
3.57,0.0539
3.59,0.0916
3.59,0.0357
3.60,0.0955
3.61,0.0484
3.62,0.0370
3.63,0.0368
3.63,0.0382
3.64,0.0649
3.65,0.0386
3.65,0.0385
3.66,0.0422
3.68,0.0505
3.69,0.0547
3.69,0.0552
3.70,0.0579
3.72,0.0719
3.73,0.0810
3.74,0.1245
3.75,0.0908
3.76,0.1832
3.77,0.1221
3.78,0.1127
3.78,0.1232
3.79,0.1162
3.79,0.1381
3.80,0.1751
3.81,0.1651
3.82,0.1800
3.84,0.2986
3.84,0.2196
3.86,0.1357
3.87,0.0769
3.88,0.0323
3.88,0.0340
3.89,0.0714
3.91,0.0163
3.92,0.0101
3.94,0.0189
3.96,0.0105
3.97,0.0099
3.97,0.0102
3.98,0.0121
3.99,0.0113
4.00,0.0155
4.91,0.0254
4.93,0.0241
4.94,0.0159
4.96,0.0097
4.99,0.0191
5.00,0.0120
5.01,0.0152
5.01,0.0167
5.03,0.0160
5.05,0.0144
5.07,0.0164
5.09,0.0098
5.10,0.0083
5.13,0.0162
5.14,0.0113
5.14,0.0110
5.16,0.0062
5.17,0.0163
5.18,0.0122
5.18,0.0120
5.20,0.0078
5.22,0.0151
5.24,0.0288
5.26,0.0160
5.29,0.0418
5.30,0.0424
5.31,0.0289
5.33,0.0231
5.34,0.0183
5.34,0.0201
5.35,0.0134
5.37,0.0120
5.38,0.0086
5.42,0.0018
5.44,0.0021
5.45,0.0023
5.46,0.0022
5.48,0.0139
5.50,0.0019
5.52,0.0019
5.54,0.0027
5.55,0.0022
5.57,0.0023
5.60,0.0132
5.61,0.0069
5.63,0.0021
5.65,0.0025
5.68,0.0037
5.70,0.0050
5.72,0.0169
5.74,0.0047
5.76,0.0052
5.77,0.0043
5.78,0.0040
5.79,0.0035
5.81,0.0029
5.81,0.0031
5.83,0.0037
5.83,0.0036
5.85,0.0070
5.87,0.0075
5.88,0.0051
5.89,0.0075
5.90,0.0050
5.91,0.0073
5.91,0.0047
5.92,0.0045
5.94,0.0049
5.94,0.0045
5.96,0.0045
5.96,0.0044
5.98,0.0049
5.99,0.0046
6.00,0.0037
6.00,0.0036
6.00,0.0035
6.02,0.0036
6.02,0.0030
6.03,0.0030
6.04,0.0030
6.04,0.0028
6.06,0.0034
6.07,0.0034
6.08,0.0035
6.09,0.0042
6.10,0.0040
6.11,0.0051
6.12,0.0059
6.12,0.0062
6.14,0.0062
6.15,0.0065
6.17,0.0059
6.18,0.0065
6.19,0.0078
6.20,0.0067
6.20,0.0063
6.21,0.0066
6.22,0.0080
6.23,0.0073
6.25,0.0136
6.26,0.0099
6.27,0.0138
6.28,0.0197
6.29,0.0121
6.30,0.0142
6.31,0.0123
6.32,0.0093
6.33,0.0186
6.34,0.0095
6.34,0.0100
6.36,0.0216
6.38,0.0145
6.39,0.0088
6.39,0.0170
6.40,0.0114
6.41,0.0081
6.42,0.0071
6.42,0.0071
6.43,0.0114
6.45,0.0157
6.46,0.0150
6.47,0.0190
6.47,0.0127
6.48,0.0200
6.49,0.0141
6.50,0.0141
6.51,0.0138
6.52,0.0199
6.52,0.0214
6.54,0.0193
6.56,0.0203
6.56,0.0142
6.57,0.0159
6.58,0.0152
6.60,0.0301
6.61,0.0263
6.64,0.0410
6.65,0.0408
6.66,0.0337
6.67,0.0401
6.68,0.0363
6.69,0.0349
6.69,0.0323
6.70,0.0333
6.71,0.0357
6.71,0.0337
6.73,0.0421
6.74,0.0432
6.75,0.0372
6.76,0.0391
6.77,0.0335
6.78,0.0402
6.79,0.0394
6.80,0.0360
6.81,0.0306
6.82,0.0320
6.83,0.0328
6.85,0.0219
6.87,0.0253
6.89,0.0230
6.89,0.0272
6.90,0.0209
6.92,0.0329
6.93,0.0428
6.95,0.0372
6.96,0.0260
6.97,0.0235
6.98,0.0214
6.98,0.0218
7.01,0.0149
7.01,0.0157
7.03,0.0250
7.04,0.0147
7.06,0.0125
7.06,0.0122
7.08,0.0106
7.10,0.0088
7.12,0.0157
7.12,0.0161
7.14,0.0250
7.15,0.0209
7.16,0.0204
7.16,0.0171
7.17,0.0267
7.17,0.0240
7.18,0.0144
7.19,0.0170
7.20,0.0103
7.21,0.0226
7.23,0.0099
7.24,0.0080
7.25,0.0099
7.26,0.0097
7.27,0.0085
7.28,0.0097
7.29,0.0131
7.30,0.0165
7.30,0.0166
7.32,0.0268
7.33,0.0201
7.33,0.0211
7.34,0.0253
7.36,0.0527
7.37,0.0555
7.38,0.0560
7.39,0.0308
7.41,0.0368
7.43,0.0573
7.44,0.0574
7.45,0.0466
7.46,0.0499
7.47,0.0357
7.51,0.0119
7.52,0.0211
7.54,0.0340
7.55,0.0410
7.57,0.0458
7.57,0.0428
7.58,0.0445
7.60,0.0231
7.62,0.0080
7.62,0.0109
7.63,0.0116
7.66,0.0079
7.67,0.0104
7.68,0.0079
7.70,0.0094
7.72,0.0074
7.73,0.0052
7.74,0.0067
7.76,0.0071
7.77,0.0034
7.78,0.0029
7.79,0.0033
7.81,0.0033
7.82,0.0034
7.84,0.0034
7.87,0.0087
7.89,0.0077
7.91,0.0056
7.94,0.0085
7.96,0.0145
7.98,0.0453
7.99,0.0468
8.00,0.0454
8.01,0.0196
8.02,0.0280
8.02,0.0270
8.04,0.0190
8.07,0.0053
8.07,0.0053
8.09,0.0046
8.11,0.0023
8.12,0.0020
8.14,0.0028
8.16,0.0027
8.17,0.0029
9.18,0.0007
9.27,0.0006
9.54,0.0009
9.56,0.0008
9.71,0.0147
9.73,0.0094
