"ppm", "INTENSITY"
0.00,0.0247
0.12,0.0002
0.16,0.0003
0.17,0.0005
0.18,0.0003
0.28,0.0004
0.29,0.0003
0.30,0.0003
0.31,0.0003
0.33,0.0005
0.34,0.0008
0.36,0.0011
0.37,0.0009
0.38,0.0010
0.39,0.0011
0.44,0.0014
0.46,0.0044
0.48,0.0066
0.48,0.0068
0.49,0.0052
0.50,0.0068
0.55,0.0241
0.56,0.0376
0.61,0.4523
0.64,0.0561
0.66,0.0689
0.66,0.0643
0.68,0.0437
0.69,0.0274
0.70,0.0267
0.72,0.0353
0.73,0.0339
0.74,0.0545
0.76,0.0714
0.78,0.2278
0.81,0.2840
0.82,0.2260
0.84,0.1332
0.85,0.1853
0.87,0.1536
0.89,0.2997
0.91,0.3673
0.92,0.2227
0.93,0.3365
0.94,0.4316
0.96,0.4420
0.97,0.3871
0.98,0.1968
0.99,0.2195
1.00,0.5478
1.02,0.3797
1.02,0.5233
1.03,0.5299
1.04,0.5437
1.05,0.4735
1.06,0.2942
1.07,0.4009
1.09,0.1934
1.10,0.2893
1.11,0.2237
1.12,0.2195
1.13,0.2108
1.15,0.6093
1.16,0.9988
1.17,0.9567
1.20,0.2139
1.20,0.2200
1.21,0.2708
1.23,0.2311
1.24,0.2344
1.24,0.1851
1.25,0.1850
1.27,0.3092
1.28,0.2157
1.30,0.1822
1.32,0.2437
1.34,0.2061
1.38,0.1447
1.40,0.1979
1.42,0.2088
1.42,0.1939
1.44,0.2007
1.46,0.2497
1.46,0.2428
1.47,0.2398
1.49,0.2429
1.50,0.2631
1.51,0.2103
1.54,0.1732
1.56,0.1812
1.57,0.1806
1.58,0.2457
1.60,0.2489
1.64,0.4895
1.68,0.3432
1.71,0.1696
1.72,0.1941
1.73,0.1939
1.77,0.1178
1.78,0.1111
1.80,0.1306
1.82,0.1646
1.83,0.1610
1.86,0.4361
1.87,0.2410
1.89,0.2194
1.93,0.1722
1.94,0.1646
1.94,0.1647
1.96,0.1896
1.98,0.2006
1.99,0.1977
2.00,0.4648
2.02,0.1369
2.02,0.1397
2.04,0.1329
2.08,0.1057
2.11,0.1861
2.13,0.1946
2.17,0.0999
2.17,0.1018
2.20,0.0526
2.21,0.0499
2.21,0.0481
2.22,0.0512
2.23,0.0496
2.26,0.0572
2.28,0.0654
2.28,0.0632
2.30,0.0680
2.33,0.0580
2.37,0.1397
2.39,0.1201
2.39,0.1141
2.43,0.0491
2.44,0.0496
2.45,0.0841
2.46,0.1029
2.47,0.1065
2.48,0.0937
2.51,0.0679
2.52,0.0663
2.54,0.0556
2.55,0.0537
2.56,0.0486
2.57,0.0378
2.61,0.0234
2.63,0.0210
2.64,0.0207
2.65,0.0188
2.66,0.0175
2.67,0.0163
2.71,0.0140
2.71,0.0133
2.72,0.0131
2.73,0.0130
2.74,0.0128
2.75,0.0132
2.77,0.0186
2.78,0.0198
2.80,0.0226
2.81,0.0243
2.83,0.0245
2.84,0.0263
2.84,0.0259
2.86,0.0218
2.87,0.0185
2.91,0.0087
2.92,0.0077
2.93,0.0070
2.95,0.0063
2.97,0.0059
2.98,0.0066
3.01,0.0073
3.04,0.0054
3.05,0.0062
3.07,0.0052
3.08,0.0049
3.10,0.0065
3.12,0.0072
3.13,0.0068
3.13,0.0069
3.14,0.0065
3.15,0.0064
3.17,0.0052
3.18,0.0048
3.19,0.0079
3.21,0.0056
3.22,0.0048
3.23,0.0049
3.25,0.0079
3.27,0.0098
3.29,0.0990
3.51,0.0086
3.52,0.0091
3.53,0.0096
3.55,0.0102
3.57,0.1463
3.58,0.4067
3.60,0.4098
3.61,0.1529
3.63,0.0436
3.64,0.0183
3.65,0.0175
3.66,0.0153
3.69,0.0180
3.71,0.0186
3.72,0.0237
3.74,0.0183
3.76,0.0227
3.76,0.0217
3.77,0.0248
3.77,0.0247
3.78,0.0227
3.79,0.0327
3.81,0.0426
3.81,0.0432
3.82,0.0411
3.83,0.0440
3.83,0.0490
3.84,0.0619
3.85,0.0495
3.86,0.0250
3.87,0.0191
3.88,0.0256
3.88,0.0256
3.90,0.0285
3.92,0.0126
3.94,0.0137
3.99,0.0119
4.00,0.0097
4.81,0.0568
4.84,0.1533
4.88,0.0527
4.89,0.0522
4.96,0.2956
5.06,0.0491
5.10,0.0972
5.13,0.0317
5.14,0.0338
5.15,0.0249
5.16,0.0245
5.16,0.0267
5.18,0.0300
5.19,0.0218
5.19,0.0218
5.20,0.0219
5.22,0.0196
5.25,0.0450
5.27,0.0497
5.29,0.0487
5.31,0.0790
5.34,0.0287
5.35,0.0217
5.36,0.0203
5.43,0.0130
5.45,0.0106
5.47,0.0103
5.48,0.0096
5.51,0.0094
5.52,0.0101
5.53,0.0105
5.54,0.0108
5.56,0.0091
5.58,0.0097
5.61,0.0182
5.64,0.0103
5.68,0.0080
5.70,0.0108
5.72,0.0160
5.73,0.0091
5.76,0.0081
5.78,0.0072
5.79,0.0088
5.81,0.0092
5.82,0.0073
5.85,0.0156
5.86,0.0096
5.87,0.0153
5.88,0.0163
5.90,0.0368
5.91,0.0545
5.93,0.0358
5.95,0.0095
5.97,0.0085
5.98,0.0086
5.98,0.0086
5.98,0.0069
5.99,0.0064
5.99,0.0067
6.00,0.0064
6.01,0.0057
6.02,0.0061
6.02,0.0062
6.04,0.0050
6.06,0.0052
6.07,0.0052
6.07,0.0052
6.08,0.0049
6.09,0.0051
6.10,0.0056
6.11,0.0062
6.12,0.0057
6.13,0.0060
6.14,0.0064
6.15,0.0052
6.16,0.0055
6.16,0.0053
6.18,0.0054
6.19,0.0053
6.20,0.0046
6.22,0.0040
6.22,0.0040
6.24,0.0077
6.25,0.0053
6.26,0.0078
6.27,0.0052
6.28,0.0076
6.28,0.0057
6.30,0.0077
6.33,0.0032
6.34,0.0034
6.35,0.0031
6.35,0.0032
6.38,0.0029
6.39,0.0029
6.41,0.0029
6.45,0.0029
6.46,0.0034
6.48,0.0037
6.49,0.0048
6.51,0.0052
6.53,0.0069
6.54,0.0073
6.56,0.0056
6.57,0.0070
6.58,0.0068
6.60,0.0057
6.61,0.0058
6.62,0.0054
6.63,0.0058
6.64,0.0066
6.65,0.0099
6.66,0.0072
6.67,0.0074
6.68,0.0111
6.70,0.0097
6.70,0.0091
6.72,0.0126
6.73,0.0139
6.73,0.0165
6.74,0.0186
6.75,0.0218
