"ppm", "INTENSITY"
0.00,0.0232
0.71,0.0028
0.73,0.0030
0.74,0.0023
0.76,0.0027
0.77,0.0030
0.81,0.0061
0.81,0.0064
0.83,0.0049
0.86,0.0123
0.88,0.0183
0.88,0.0225
0.89,0.0159
0.90,0.0221
0.90,0.0122
0.91,0.0167
0.92,0.0270
0.93,0.0153
0.93,0.0250
0.95,0.0083
0.96,0.0051
0.98,0.0039
1.01,0.0054
1.02,0.0058
1.03,0.0057
1.04,0.0073
1.05,0.0090
1.06,0.0100
1.07,0.0118
1.10,0.0196
1.11,0.0325
1.13,0.0383
1.13,0.0382
1.14,0.0357
1.14,0.0322
1.15,0.0445
1.16,0.2122
1.18,0.3788
1.19,0.2018
1.22,0.0234
1.25,0.0857
1.28,0.0267
1.30,0.0145
1.32,0.0184
1.34,0.0163
1.35,0.0074
1.37,0.0093
1.39,0.0119
1.41,0.0056
1.41,0.0058
1.43,0.0057
1.44,0.0054
1.47,0.0061
1.50,0.0085
1.51,0.0108
1.53,0.0094
1.54,0.0110
1.56,0.0113
1.57,0.0123
1.58,0.0126
1.60,0.0100
1.62,0.0121
1.63,0.0115
1.69,0.1604
1.71,0.0360
1.73,0.0209
1.75,0.0158
1.77,0.0168
1.78,0.0200
1.79,0.0243
1.83,0.0364
1.84,0.0294
1.86,0.0483
1.87,0.0389
1.87,0.0407
1.88,0.0423
1.90,0.0962
1.90,0.1073
1.91,0.1098
1.91,0.0842
1.92,0.0828
1.95,0.1574
1.98,0.2637
1.99,0.2029
1.99,0.1148
2.01,0.3151
2.03,0.9500
2.06,0.0899
2.06,0.0466
2.08,0.0392
2.09,0.0260
2.10,0.0194
2.11,0.0203
2.11,0.0188
2.14,0.0177
2.16,0.0214
2.18,0.0206
2.19,0.0187
2.21,0.0130
2.23,0.0126
2.25,0.0145
2.26,0.0168
2.28,0.0158
2.30,0.0151
2.31,0.0157
2.32,0.0168
2.33,0.0171
2.34,0.0172
2.35,0.0210
2.36,0.0204
2.37,0.0201
2.38,0.0203
2.42,0.0320
2.43,0.0271
2.46,0.0875
2.47,0.2445
2.48,0.3252
2.48,0.3616
2.50,0.0448
2.52,0.0413
2.53,0.0414
2.54,0.0817
2.55,0.0427
2.57,0.0523
2.58,0.0514
2.59,0.0358
2.60,0.0395
2.62,0.0179
2.64,0.0128
2.66,0.0123
2.68,0.0072
2.70,0.0071
2.71,0.0071
2.74,0.0122
2.77,0.0061
2.78,0.0061
2.81,0.0057
2.82,0.0059
2.84,0.0058
2.88,0.0055
2.89,0.0063
2.90,0.0093
2.91,0.0086
2.91,0.0099
2.92,0.0088
2.93,0.0083
2.94,0.0160
