"ppm", "INTENSITY"
0.00,0.0445
0.26,0.0014
0.34,0.0013
0.35,0.0010
0.38,0.0010
0.43,0.0009
0.46,0.0018
0.50,0.0529
0.53,0.0084
0.54,0.0066
0.57,0.0167
0.60,0.1646
0.61,0.1884
0.64,0.0972
0.65,0.0642
0.66,0.0161
0.67,0.0102
0.68,0.0115
0.69,0.0118
0.71,0.0179
0.73,0.0161
0.75,0.0210
0.75,0.0204
0.77,0.0913
0.79,0.0333
0.81,0.0333
0.81,0.0310
0.83,0.0379
0.85,0.0480
0.86,0.0649
0.88,0.1192
0.90,0.0791
0.90,0.0547
0.91,0.0590
0.92,0.1191
0.93,0.1455
0.93,0.1406
0.95,0.0568
0.95,0.0618
0.96,0.0899
0.97,0.0933
0.98,0.0977
0.98,0.1012
1.00,0.0760
1.01,0.0779
1.02,0.0803
1.03,0.0744
1.04,0.0768
1.05,0.0827
1.05,0.0668
1.07,0.0575
1.08,0.0720
1.09,0.0630
1.10,0.0643
1.11,0.0711
1.13,0.1103
1.14,0.1209
1.16,0.6817
1.17,0.9998
1.19,0.5380
1.21,0.1519
1.22,0.0833
1.23,0.1302
1.25,0.4506
1.28,0.1708
1.32,0.0784
1.34,0.0651
1.35,0.0425
1.39,0.0652
1.40,0.0539
1.41,0.0538
1.44,0.0735
1.45,0.0748
1.46,0.0801
1.47,0.0776
1.48,0.0767
1.49,0.0661
1.51,0.0727
1.51,0.0725
1.53,0.0682
1.56,0.0941
1.57,0.1131
1.58,0.1009
1.60,0.0924
1.64,0.1841
1.67,0.1576
1.70,0.4533
1.72,0.1547
1.73,0.1335
1.77,0.0849
1.79,0.0982
1.79,0.0957
1.81,0.1019
1.83,0.1278
1.86,0.1577
1.87,0.1451
1.87,0.1529
1.90,0.2066
1.90,0.2093
1.91,0.2129
1.91,0.1737
1.92,0.1657
1.93,0.1545
1.94,0.1382
1.96,0.2523
1.97,0.1638
1.98,0.2561
1.98,0.2683
1.99,0.3270
2.01,0.3792
2.03,0.5362
2.03,0.3973
2.06,0.1728
2.09,0.1009
2.11,0.1562
2.15,0.0620
2.16,0.0545
2.18,0.0542
2.20,0.0453
2.22,0.0373
2.23,0.0395
2.24,0.0577
2.26,0.0699
2.27,0.0546
2.29,0.0379
2.30,0.0374
2.31,0.0370
2.33,0.0531
2.34,0.0530
2.35,0.0818
2.37,0.0683
2.39,0.0483
2.40,0.0476
2.42,0.0535
2.43,0.0620
2.43,0.0623
2.44,0.0455
2.45,0.0512
2.46,0.1228
2.48,0.6051
2.49,0.7495
2.52,0.0701
2.54,0.0871
2.55,0.1445
2.56,0.0861
2.57,0.0778
2.58,0.0837
2.59,0.1060
2.61,0.0869
2.64,0.0353
2.65,0.0272
2.67,0.0253
2.67,0.0213
2.69,0.0166
2.70,0.0161
2.72,0.0154
2.75,0.0204
2.80,0.0127
2.81,0.0114
2.82,0.0109
2.84,0.0112
2.84,0.0112
2.87,0.0094
2.89,0.0103
2.91,0.0156
2.92,0.0206
2.94,0.0168
2.94,0.0164
2.95,0.0369
2.97,0.0368
2.98,0.0401
3.00,0.0397
3.02,0.0080
3.04,0.0426
3.06,0.0479
3.07,0.0584
3.09,0.0561
3.12,0.0110
3.14,0.0186
3.15,0.0116
3.17,0.0142
3.19,0.0110
3.21,0.0126
3.24,0.0183
3.26,0.0215
3.28,0.0219
3.29,0.0619
3.51,0.0469
3.52,0.0495
3.53,0.0639
3.55,0.0379
3.55,0.0376
3.56,0.0370
3.56,0.0349
3.59,0.1939
3.60,0.4945
3.61,0.5047
3.63,0.2505
3.65,0.0913
3.65,0.0925
3.66,0.0882
3.66,0.0903
3.68,0.1301
3.69,0.1399
3.70,0.1611
3.72,0.2165
3.72,0.2069
3.73,0.2011
3.74,0.2514
3.74,0.2823
3.75,0.2557
3.75,0.2386
3.77,0.4700
3.78,0.3635
3.79,0.4274
3.80,0.5286
3.81,0.8814
3.82,0.9452
3.83,0.4435
3.84,0.3427
3.85,0.3573
3.85,0.3779
3.86,0.4059
3.91,0.0685
3.93,0.0608
