"ppm", "INTENSITY"
0.00,0.0610
0.13,0.0006
0.13,0.0006
0.18,0.0006
0.25,0.0009
0.30,0.0018
0.31,0.0019
0.33,0.0012
0.37,0.0014
0.42,0.0017
0.44,0.0016
0.45,0.0019
0.47,0.0022
0.49,0.0023
0.52,0.0035
0.58,0.0043
0.61,0.0234
0.65,0.0093
0.67,0.0185
0.69,0.0085
0.71,0.0110
0.73,0.0517
0.75,0.0197
0.76,0.0333
0.77,0.0230
0.79,0.0652
0.79,0.0479
0.80,0.0453
0.83,0.0771
0.84,0.0543
0.85,0.0622
0.85,0.0671
0.87,0.0866
0.88,0.1189
0.89,0.0916
0.91,0.0428
0.93,0.0791
0.94,0.0598
0.94,0.0590
0.96,0.0717
0.99,0.0410
1.00,0.0468
1.01,0.0319
1.02,0.0520
1.03,0.0364
1.04,0.0352
1.05,0.0426
1.07,0.0363
1.08,0.0445
1.12,0.0506
1.13,0.0522
1.15,0.1311
1.16,0.2243
1.18,0.1497
1.19,0.0529
1.19,0.0526
1.22,0.0978
1.26,0.5247
1.30,0.1358
1.36,0.0420
1.37,0.0431
1.39,0.0502
1.40,0.0364
1.43,0.0354
1.46,0.0309
1.47,0.0325
1.49,0.0335
1.51,0.0355
1.51,0.0357
1.52,0.0384
1.55,0.0446
1.56,0.0499
1.58,0.0657
1.59,0.0756
1.62,0.0342
1.63,0.0342
1.66,0.0739
1.68,0.0289
1.69,0.0298
1.70,0.0272
1.72,0.0283
1.75,0.0207
1.78,0.0260
1.80,0.0267
1.81,0.0220
1.83,0.0256
1.84,0.0251
1.85,0.0252
1.85,0.0246
1.86,0.0264
1.88,0.0265
1.90,0.0387
1.91,0.0359
1.92,0.0285
1.93,0.0281
1.95,0.0332
1.97,0.0427
1.97,0.0470
1.98,0.0417
2.00,0.0644
2.01,0.0592
2.02,0.0607
2.04,0.0756
2.06,0.0219
2.08,0.0186
2.10,0.0193
2.12,0.0164
2.15,0.0115
2.16,0.0118
2.17,0.0119
2.17,0.0118
2.20,0.0120
2.21,0.0122
2.22,0.0120
2.24,0.0290
2.25,0.0445
2.27,0.0307
2.28,0.0160
2.30,0.0148
2.31,0.0148
2.33,0.0154
2.34,0.0136
2.35,0.0140
2.36,0.0143
2.37,0.0144
2.38,0.0146
2.40,0.0118
2.41,0.0112
2.43,0.0110
2.44,0.0118
2.46,0.0113
2.47,0.0109
2.48,0.0120
2.50,0.0168
2.51,0.0180
2.53,0.0247
2.53,0.0251
2.55,0.0230
2.56,0.0241
2.57,0.0137
2.57,0.0134
2.58,0.0141
2.59,0.0144
2.60,0.0148
2.61,0.0128
2.63,0.0135
2.64,0.0089
2.65,0.0094
2.66,0.0086
2.67,0.0093
2.69,0.0082
2.69,0.0081
2.71,0.0103
2.72,0.0104
2.75,0.0135
2.75,0.0141
2.77,0.0106
2.79,0.0094
2.80,0.0076
2.82,0.0065
2.84,0.0063
2.85,0.0059
2.87,0.0072
2.88,0.0065
2.89,0.0058
2.90,0.0060
2.90,0.0060
2.91,0.0059
2.92,0.0068
2.94,0.0069
2.96,0.0067
2.97,0.0066
2.99,0.0065
3.01,0.0095
3.04,0.0102
3.04,0.0102
3.07,0.0100
3.09,0.0132
3.11,0.0158
3.12,0.0142
3.12,0.0173
3.14,0.0139
3.15,0.0125
3.16,0.0304
3.18,0.0116
3.21,0.0189
3.24,0.0194
3.30,0.2564
3.30,0.2597
3.51,0.0326
3.53,0.0340
3.54,0.0333
3.54,0.0328
3.55,0.0327
3.55,0.0351
3.57,0.0424
3.57,0.0690
3.59,0.1256
3.60,0.1301
3.62,0.0778
3.63,0.0565
3.64,0.0542
3.65,0.0663
3.65,0.0603
3.67,0.0747
3.68,0.0749
3.68,0.0776
3.70,0.1250
3.70,0.1006
3.71,0.1076
3.72,0.1158
3.73,0.1630
3.74,0.1692
3.74,0.1359
3.75,0.1522
3.76,0.1606
3.76,0.1574
3.77,0.2662
3.78,0.1983
3.79,0.2081
3.80,0.1826
3.81,0.2756
3.82,0.2208
3.83,0.2267
3.85,0.1160
3.86,0.1021
3.87,0.0841
3.88,0.1679
3.90,0.0193
3.91,0.0162
3.92,0.0198
3.92,0.0183
3.94,0.0197
3.95,0.0162
3.95,0.0166
3.96,0.0160
3.97,0.0129
4.00,0.0202
4.00,0.0199
4.90,0.0250
4.91,0.0234
4.93,0.0167
4.94,0.0106
4.97,0.0062
4.99,0.0114
4.99,0.0114
5.00,0.0082
5.01,0.0120
5.01,0.0119
5.04,0.0075
5.05,0.0080
5.07,0.0094
5.08,0.0118
5.09,0.0110
5.10,0.0119
5.11,0.0112
5.12,0.0094
5.12,0.0090
5.14,0.0124
5.17,0.0065
5.18,0.0105
5.20,0.0075
5.21,0.0120
5.22,0.0076
5.24,0.0110
5.29,0.0124
5.29,0.0121
5.30,0.0140
5.31,0.0195
5.32,0.0241
5.33,0.0188
5.34,0.0094
5.35,0.0095
5.37,0.0098
5.39,0.0079
5.39,0.0078
5.41,0.0089
5.42,0.0072
5.42,0.0081
5.44,0.0077
5.45,0.0059
5.46,0.0118
5.51,0.0031
5.52,0.0031
5.53,0.0028
5.55,0.0031
5.56,0.0029
5.58,0.0027
5.62,0.0025
5.62,0.0024
5.66,0.0040
5.68,0.0040
5.69,0.0036
5.72,0.0032
5.73,0.0032
5.75,0.0036
5.75,0.0038
5.77,0.0038
5.78,0.0042
5.79,0.0043
5.80,0.0047
5.81,0.0047
5.85,0.0085
5.87,0.0086
5.89,0.0109
5.89,0.0116
5.90,0.0126
5.91,0.0087
5.92,0.0132
5.92,0.0112
5.93,0.0063
5.94,0.0072
5.95,0.0060
5.96,0.0065
5.97,0.0062
5.98,0.0060
5.99,0.0064
5.99,0.0065
6.00,0.0061
6.01,0.0057
6.02,0.0060
6.03,0.0061
6.04,0.0067
6.10,0.0093
6.10,0.0098
6.11,0.0111
6.12,0.0119
6.13,0.0117
6.13,0.0119
6.14,0.0132
6.15,0.0132
6.15,0.0123
6.15,0.0124
6.17,0.0117
6.18,0.0129
6.19,0.0124
6.19,0.0115
6.20,0.0120
6.21,0.0141
6.22,0.0145
6.22,0.0133
6.23,0.0133
6.24,0.0128
6.25,0.0146
6.26,0.0147
6.27,0.0148
6.27,0.0160
6.28,0.0233
6.29,0.0237
6.30,0.0216
6.30,0.0219
6.31,0.0274
6.32,0.0327
6.33,0.0247
6.34,0.0400
6.35,0.0185
6.36,0.0181
6.37,0.0203
6.39,0.0182
6.40,0.0158
6.41,0.0151
6.42,0.0165
6.42,0.0162
6.44,0.0167
6.45,0.0207
6.45,0.0278
6.47,0.0219
6.47,0.0215
6.48,0.0308
6.49,0.0270
6.51,0.0517
6.52,0.0535
6.53,0.0288
6.53,0.0301
6.54,0.0211
6.55,0.0236
6.56,0.0247
6.58,0.0241
6.60,0.0291
6.61,0.0329
6.61,0.0313
6.62,0.0308
6.63,0.0426
6.63,0.0398
6.64,0.0370
6.65,0.0410
6.67,0.0571
6.69,0.0669
6.71,0.0490
6.72,0.0535
6.73,0.0554
6.74,0.0539
6.76,0.0504
6.76,0.0518
6.78,0.0524
6.79,0.0445
6.80,0.0476
6.80,0.0486
6.81,0.0401
6.81,0.0396
6.82,0.0376
6.83,0.0435
6.84,0.0396
6.86,0.0304
6.86,0.0305
6.87,0.0262
6.88,0.0274
6.89,0.0234
6.90,0.0257
6.91,0.0259
6.92,0.0403
6.93,0.0419
6.94,0.0348
6.94,0.0349
6.95,0.0297
6.96,0.0288
