"ppm", "INTENSITY"
0.00,0.1830
0.67,0.0076
0.69,0.0072
0.74,0.0832
0.76,0.0117
0.77,0.0154
0.77,0.0159
0.78,0.0136
0.80,0.0902
0.81,0.0721
0.84,0.0940
0.86,0.0555
0.87,0.0796
0.88,0.1087
0.90,0.0680
0.91,0.0462
0.92,0.0740
0.93,0.1245
0.94,0.0436
0.95,0.0907
0.97,0.0502
0.98,0.0729
1.00,0.0818
1.01,0.0499
1.04,0.1282
1.06,0.0505
1.08,0.0603
1.09,0.0489
1.10,0.0475
1.11,0.0369
1.13,0.0374
1.14,0.0369
1.15,0.0614
1.16,0.0778
1.18,0.0657
1.18,0.0624
1.20,0.0492
1.21,0.0480
1.22,0.0564
1.22,0.0610
1.23,0.0984
1.24,0.0790
1.27,0.5050
1.29,0.1580
1.31,0.1250
1.32,0.1223
1.35,0.0511
1.36,0.0494
1.36,0.0487
1.37,0.0528
1.39,0.0639
1.40,0.0724
1.42,0.0591
1.45,0.0491
1.46,0.0522
1.47,0.0368
1.48,0.0327
1.49,0.0319
1.51,0.0307
1.51,0.0310
1.52,0.0299
1.54,0.0320
1.55,0.0338
1.58,0.0907
1.59,0.0629
1.60,0.0449
1.62,0.0634
1.65,0.0644
1.67,0.1410
1.70,0.0356
1.73,0.0289
1.76,0.0141
1.79,0.0102
1.79,0.0106
1.81,0.0097
1.82,0.0095
1.84,0.0114
1.86,0.0117
1.87,0.0144
1.90,0.0159
1.91,0.0165
1.94,0.0188
1.95,0.0224
1.96,0.0301
2.00,0.0313
2.01,0.0340
2.02,0.0725
2.03,0.0364
2.09,0.0092
2.11,0.0122
2.12,0.0068
2.14,0.0092
2.16,0.0050
2.17,0.0026
2.23,0.0146
2.25,0.0230
2.26,0.0138
2.28,0.0027
2.29,0.0010
2.33,0.0017
2.37,0.0022
2.38,0.0076
2.39,0.0085
2.40,0.0046
2.41,0.0051
2.42,0.0037
2.44,0.0048
2.45,0.0036
2.47,0.0017
2.49,0.0011
2.50,0.0020
2.52,0.0065
2.53,0.0274
2.55,0.0071
2.57,0.0052
2.59,0.0023
2.66,0.0022
2.66,0.0019
2.67,0.0011
2.69,0.0047
2.71,0.0046
2.81,0.0016
2.83,0.0061
2.89,0.0011
2.91,0.0010
2.93,0.0013
2.93,0.0012
2.99,0.0056
3.10,0.0402
3.12,0.0624
3.13,0.0454
3.15,0.0088
3.17,0.0196
3.19,0.0097
3.20,0.0105
3.21,0.0083
3.22,0.0134
3.23,0.0097
3.25,0.1002
3.26,0.0886
3.27,0.1395
3.29,0.7772
3.51,0.0619
3.52,0.0630
3.53,0.0889
3.53,0.0798
3.54,0.0714
3.56,0.0954
3.57,0.0980
3.57,0.0900
3.58,0.0955
3.59,0.1108
3.60,0.2270
3.61,0.1377
3.62,0.1645
3.62,0.2080
3.63,0.2311
3.64,0.2071
3.64,0.1908
3.65,0.1532
3.66,0.2331
3.67,0.1541
3.68,0.1910
3.70,0.2041
3.72,0.2738
3.74,0.2571
3.75,0.2851
3.76,0.2627
3.77,0.4032
3.77,0.4194
3.78,0.3526
3.78,0.3137
3.80,0.4105
3.83,0.3518
3.84,0.3736
3.85,0.3906
3.86,0.3125
3.87,0.2163
3.89,0.1055
3.90,0.1381
3.93,0.0673
3.94,0.0949
3.96,0.0529
3.97,0.0521
3.98,0.0491
4.00,0.0915
4.81,0.0056
4.84,0.0740
4.90,0.0071
4.92,0.0099
4.94,0.0108
4.96,0.0100
4.97,0.0111
4.98,0.0134
4.99,0.0182
5.00,0.0146
5.00,0.0157
5.01,0.0145
5.02,0.0183
5.06,0.0446
5.09,0.0714
5.10,0.0750
5.13,0.0161
5.14,0.0162
5.16,0.0160
5.18,0.0118
5.19,0.0145
5.20,0.0102
5.22,0.0114
5.24,0.0071
5.26,0.0050
5.27,0.0044
5.29,0.0085
5.30,0.0079
5.32,0.0102
5.33,0.0141
5.34,0.0102
5.34,0.0112
5.36,0.0055
5.38,0.0176
5.38,0.0218
5.42,0.0026
5.44,0.0048
5.45,0.0053
5.46,0.0066
5.47,0.0089
5.48,0.0095
5.52,0.0014
5.83,0.0018
5.87,0.0071
5.87,0.0080
5.88,0.0308
5.89,0.0243
5.90,0.0082
5.92,0.0069
5.95,0.0047
5.96,0.0050
5.97,0.0060
5.98,0.0034
6.00,0.0016
6.21,0.0229
6.22,0.0244
6.29,0.0122
6.29,0.0075
6.32,0.0072
6.33,0.0494
6.36,0.0466
6.38,0.0111
6.40,0.0117
6.42,0.0113
6.43,0.0125
6.44,0.0122
6.46,0.0152
6.47,0.0227
6.49,0.0216
6.50,0.0131
6.51,0.0102
6.52,0.0150
6.54,0.0256
6.56,0.0205
6.57,0.0119
6.61,0.0284
6.62,0.0288
6.64,0.0329
6.66,0.0279
6.67,0.0300
6.69,0.0239
6.72,0.0236
6.73,0.0242
6.73,0.0242
6.75,0.0242
6.78,0.0270
6.80,0.0387
6.81,0.0370
6.82,0.0393
6.83,0.0387
6.84,0.0366
6.84,0.0346
6.84,0.0341
6.85,0.0322
6.86,0.0306
6.88,0.0334
6.90,0.0307
6.92,0.0558
6.93,0.0777
6.95,0.1109
6.97,0.0691
7.02,0.0157
7.03,0.0233
7.05,0.0255
7.06,0.0214
7.12,0.0240
7.13,0.0343
7.15,0.0262
7.17,0.0603
7.19,0.0190
7.21,0.0221
7.24,0.0087
7.25,0.0058
7.26,0.0089
7.28,0.0096
7.28,0.0093
7.30,0.0124
7.31,0.0272
7.33,0.0128
7.35,0.0143
7.36,0.0380
7.37,0.0396
7.38,0.0361
7.40,0.0427
7.41,0.0615
7.43,0.0534
7.44,0.0558
7.45,0.0636
7.50,0.0257
7.51,0.0334
7.52,0.0387
7.54,0.0355
7.55,0.0463
7.56,0.0434
7.58,0.0254
7.59,0.0338
7.65,0.0057
7.67,0.0051
7.70,0.0032
7.73,0.0045
7.73,0.0032
7.76,0.0025
7.87,0.0065
7.87,0.0065
7.89,0.0051
7.93,0.0013
7.96,0.0092
7.97,0.0563
7.99,0.0537
8.01,0.0123
8.03,0.0291
8.05,0.0338
8.07,0.0104
8.09,0.0068
8.11,0.0072
8.12,0.0113
8.15,0.0065
8.16,0.0038
8.45,0.0036
9.17,0.0014
9.51,0.0011
9.73,0.0089
