"ppm", "INTENSITY"
0.00,0.1515
0.15,0.0006
0.32,0.0005
0.38,0.0005
0.54,0.0038
0.56,0.0083
0.61,0.0623
0.64,0.0083
0.65,0.0160
0.66,0.0143
0.69,0.0124
0.72,0.0248
0.74,0.0533
0.77,0.0533
0.77,0.0354
0.80,0.0754
0.81,0.1008
0.82,0.0767
0.83,0.1060
0.84,0.1117
0.85,0.1130
0.87,0.1344
0.88,0.1918
0.91,0.1298
0.93,0.1322
0.94,0.1171
0.95,0.1278
0.96,0.1169
0.97,0.1447
0.98,0.1483
0.98,0.1444
0.99,0.1431
1.01,0.0971
1.02,0.0855
1.03,0.0919
1.05,0.0872
1.05,0.0852
1.06,0.0916
1.07,0.0893
1.11,0.1079
1.12,0.1027
1.13,0.1244
1.15,0.1361
1.16,0.2264
1.17,0.2717
1.18,0.2072
1.20,0.1635
1.22,0.2782
1.23,0.3298
1.26,0.9997
1.33,0.2095
1.40,0.1737
1.41,0.1249
1.42,0.1218
1.47,0.1614
1.49,0.1763
1.50,0.1800
1.52,0.1719
1.54,0.1724
1.56,0.1999
1.57,0.2092
1.58,0.2208
1.60,0.2101
1.62,0.2025
1.65,0.1841
1.66,0.2002
1.71,0.2339
1.73,0.1398
1.75,0.1421
1.78,0.1312
1.80,0.1025
1.82,0.1010
1.83,0.1106
1.84,0.1116
1.85,0.1090
1.86,0.1211
1.88,0.1103
1.90,0.1120
1.92,0.0993
1.93,0.0972
1.95,0.1467
1.96,0.1265
1.97,0.1527
2.00,0.2110
2.01,0.2413
2.03,0.1804
2.05,0.1514
2.05,0.1605
2.07,0.1211
2.10,0.1057
2.10,0.1064
2.12,0.0897
2.16,0.0544
2.18,0.0532
2.19,0.0536
2.20,0.0547
2.21,0.0542
2.24,0.0651
2.25,0.0794
2.27,0.0692
2.33,0.0491
2.35,0.0534
2.36,0.0599
2.38,0.0555
2.43,0.0447
2.45,0.0416
2.50,0.0408
2.52,0.0476
2.53,0.0429
2.54,0.0444
2.55,0.0399
2.56,0.0383
2.59,0.0446
2.60,0.0395
2.62,0.0346
2.65,0.0351
2.69,0.0255
2.71,0.0243
2.73,0.0282
2.75,0.0336
2.76,0.0384
2.77,0.0324
2.79,0.0275
2.81,0.0251
2.82,0.0246
2.83,0.0235
2.84,0.0229
2.87,0.0182
2.88,0.0168
2.91,0.0158
2.94,0.0130
2.95,0.0136
2.97,0.0162
2.98,0.0159
3.00,0.0166
3.00,0.0167
3.03,0.0141
3.05,0.0141
3.06,0.0134
3.09,0.0134
3.10,0.0152
3.11,0.0174
3.12,0.0168
3.13,0.0154
3.14,0.0180
3.15,0.0173
3.16,0.0178
3.17,0.0347
3.19,0.0246
3.23,0.0193
3.25,0.0344
3.27,0.0356
3.29,0.4375
3.51,0.0372
3.52,0.0348
3.53,0.0311
3.54,0.0307
3.56,0.0392
3.57,0.0477
3.58,0.0501
3.60,0.0608
3.61,0.0452
3.61,0.0485
3.62,0.0532
3.63,0.0505
3.64,0.0567
3.66,0.0589
3.70,0.1069
3.71,0.1075
3.74,0.1078
3.74,0.1106
3.75,0.1069
3.77,0.2235
3.79,0.1501
3.80,0.1502
3.81,0.1618
3.82,0.1799
3.83,0.1481
3.86,0.1214
3.87,0.0756
3.88,0.0631
3.90,0.0474
3.92,0.0338
3.95,0.0444
3.99,0.0259
4.82,0.0216
4.85,0.0732
4.89,0.0165
4.91,0.0137
4.92,0.0132
4.93,0.0120
4.96,0.0068
4.97,0.0053
4.98,0.0044
4.99,0.0062
4.99,0.0087
4.99,0.0086
5.00,0.0063
5.01,0.0075
5.01,0.0081
5.02,0.0069
5.02,0.0074
5.03,0.0073
5.05,0.0107
5.09,0.0226
5.10,0.0193
5.12,0.0259
5.14,0.0188
5.16,0.0139
5.18,0.0113
5.20,0.0100
5.22,0.0082
5.24,0.0122
5.25,0.0125
5.28,0.0208
5.31,0.0365
5.32,0.0373
5.33,0.0290
5.39,0.0107
5.40,0.0109
5.42,0.0118
5.43,0.0121
5.44,0.0121
5.45,0.0074
5.53,0.0071
5.54,0.0075
5.58,0.0016
5.60,0.0028
5.67,0.0012
5.69,0.0027
5.70,0.0043
5.72,0.0164
5.75,0.0052
5.77,0.0055
5.79,0.0056
5.81,0.0047
5.82,0.0010
5.85,0.0024
5.87,0.0030
5.89,0.0058
5.89,0.0056
5.91,0.0032
5.92,0.0068
5.93,0.0062
5.95,0.0037
5.98,0.0027
5.99,0.0026
6.02,0.0026
6.04,0.0025
6.05,0.0024
6.12,0.0073
6.16,0.0178
6.21,0.0116
6.21,0.0121
6.22,0.0124
6.23,0.0123
6.25,0.0111
6.27,0.0110
6.28,0.0176
6.30,0.0245
6.30,0.0200
6.32,0.0191
6.33,0.0238
6.35,0.0360
6.35,0.0195
6.36,0.0194
6.37,0.0149
6.38,0.0172
6.39,0.0202
6.41,0.0184
6.43,0.0176
6.44,0.0126
6.45,0.0170
6.47,0.0236
6.48,0.0201
6.49,0.0210
6.51,0.0456
6.51,0.0491
6.53,0.0212
6.56,0.0251
6.57,0.0301
6.57,0.0297
6.59,0.0209
6.60,0.0220
6.62,0.0227
6.63,0.0285
6.67,0.0376
6.68,0.0409
6.69,0.0499
6.71,0.0501
6.73,0.0565
6.73,0.0565
6.75,0.0613
6.76,0.0613
6.76,0.0642
6.78,0.0632
6.80,0.0564
6.81,0.0536
6.82,0.0572
6.84,0.0616
6.89,0.0312
6.92,0.0389
6.93,0.0386
6.94,0.0377
