"ppm", "INTENSITY"
0.00,0.0392
0.49,0.0044
0.54,0.0281
0.55,0.0401
0.61,0.7040
0.66,0.1504
0.66,0.1291
0.68,0.1271
0.72,0.0170
0.74,0.0164
0.77,0.0231
0.81,0.1734
0.82,0.0441
0.84,0.0578
0.87,0.0547
0.88,0.0897
0.89,0.0899
0.91,0.0510
0.93,0.0919
0.93,0.0976
0.95,0.0991
0.95,0.1175
0.96,0.1326
0.98,0.2040
0.99,0.1773
0.99,0.1790
1.00,0.1725
1.01,0.1251
1.03,0.1499
1.04,0.1498
1.06,0.1592
1.08,0.1301
1.08,0.1247
1.10,0.1031
1.11,0.1033
1.12,0.0945
1.15,0.1297
1.17,0.9970
1.22,0.5015
1.24,0.1121
1.25,0.1083
1.27,0.3253
1.29,0.1660
1.30,0.1609
1.31,0.1697
1.33,0.1350
1.33,0.1285
1.40,0.0696
1.41,0.0621
1.42,0.0853
1.45,0.1336
1.46,0.1423
1.47,0.1585
1.48,0.1387
1.49,0.1449
1.53,0.1021
1.55,0.1250
1.57,0.1191
1.58,0.1509
1.60,0.1981
1.62,0.1599
1.64,0.4569
1.68,0.3614
1.70,0.1232
1.72,0.1998
1.73,0.1883
1.75,0.0798
1.78,0.0973
1.78,0.0984
1.82,0.1720
1.84,0.2386
1.87,0.2799
1.89,0.2570
1.93,0.1117
1.96,0.1472
1.98,0.1459
2.00,0.4660
2.02,0.0852
2.04,0.0940
2.07,0.0601
2.10,0.1753
2.12,0.1677
2.16,0.0713
2.19,0.0402
2.20,0.0342
2.22,0.0250
2.23,0.0258
2.25,0.0316
2.26,0.0327
2.28,0.0329
2.29,0.0278
2.37,0.1474
2.38,0.1208
2.43,0.0265
2.44,0.0252
2.46,0.0178
2.50,0.0175
2.51,0.0175
2.52,0.0197
2.55,0.0724
2.58,0.0751
2.62,0.0177
2.73,0.0101
2.75,0.0114
2.76,0.0128
2.77,0.0113
2.79,0.0097
2.81,0.0097
2.82,0.0096
2.83,0.0105
2.84,0.0102
2.85,0.0093
2.90,0.0053
2.92,0.0054
2.95,0.0044
2.96,0.0040
2.98,0.0048
3.51,0.0145
3.51,0.0157
3.53,0.0156
3.54,0.0135
3.55,0.0127
3.57,0.0157
3.57,0.0154
3.59,0.0172
3.60,0.0219
3.62,0.0227
3.64,0.0421
3.65,0.0215
3.67,0.0227
3.67,0.0228
3.68,0.0243
3.69,0.0352
3.70,0.0496
3.71,0.0529
3.72,0.0352
3.74,0.0555
3.74,0.0463
3.76,0.0424
3.77,0.0893
3.79,0.0595
3.81,0.0903
3.82,0.1224
3.83,0.0862
3.84,0.0776
3.86,0.0429
3.87,0.0293
3.88,0.0251
3.88,0.0257
3.89,0.0244
3.94,0.0112
3.95,0.0133
3.99,0.0111
4.81,0.0482
4.84,0.0980
4.87,0.0214
4.89,0.0227
4.91,0.0333
4.93,0.0161
4.93,0.0152
4.95,0.0100
4.96,0.0080
4.97,0.0086
4.97,0.0080
4.98,0.0073
4.99,0.0517
4.99,0.0452
5.01,0.0491
5.03,0.0225
5.04,0.0222
5.07,0.0209
5.08,0.0081
5.10,0.0094
5.10,0.0083
5.12,0.0062
5.13,0.0214
5.15,0.0503
5.17,0.0228
5.18,0.0557
5.20,0.0137
5.22,0.0123
5.25,0.0310
5.27,0.0561
5.28,0.0444
5.29,0.0577
5.30,0.0764
5.32,0.0456
5.33,0.0308
5.35,0.0196
5.36,0.0219
5.38,0.0149
5.40,0.0092
5.42,0.0089
5.43,0.0095
5.48,0.0050
5.50,0.0037
5.52,0.0044
5.52,0.0042
5.53,0.0038
5.56,0.0037
5.58,0.0033
5.61,0.0144
5.65,0.0027
5.66,0.0027
5.67,0.0028
5.68,0.0028
5.68,0.0031
5.70,0.0059
5.72,0.0404
5.76,0.0071
5.77,0.0046
5.78,0.0047
5.80,0.0038
5.82,0.0047
5.85,0.0403
5.87,0.0406
5.89,0.0406
5.91,0.0375
5.93,0.0075
5.95,0.0053
5.96,0.0041
6.00,0.0041
6.01,0.0035
6.04,0.0032
6.06,0.0032
6.07,0.0036
6.09,0.0051
6.10,0.0053
6.11,0.0044
6.12,0.0054
6.13,0.0061
6.15,0.0051
6.16,0.0054
6.17,0.0055
6.19,0.0056
6.23,0.0073
6.24,0.0154
6.27,0.0158
6.28,0.0164
6.30,0.0232
6.31,0.0117
6.33,0.0117
6.34,0.0097
6.35,0.0174
6.36,0.0123
6.38,0.0081
6.39,0.0065
6.41,0.0075
6.41,0.0072
6.42,0.0071
6.43,0.0069
6.44,0.0077
6.44,0.0052
6.45,0.0084
6.48,0.0123
6.49,0.0149
6.51,0.0191
6.52,0.0212
6.53,0.0103
6.56,0.0082
6.58,0.0086
6.60,0.0087
6.62,0.0093
6.63,0.0105
6.65,0.0145
6.67,0.0175
6.68,0.0184
6.69,0.0293
6.71,0.0206
6.73,0.0212
6.76,0.0320
6.76,0.0234
6.78,0.0315
6.79,0.0297
6.81,0.0297
6.83,0.0209
6.85,0.0173
6.87,0.0136
6.88,0.0132
6.90,0.0106
6.92,0.0156
6.94,0.0142
6.95,0.0142
6.98,0.0134
7.04,0.0080
7.07,0.0068
7.09,0.0084
7.11,0.0151
7.13,0.0184
7.14,0.0185
7.16,0.0167
7.17,0.0148
7.19,0.0132
7.21,0.0205
7.22,0.0274
7.24,0.0179
7.25,0.0128
7.27,0.0111
7.29,0.0197
7.31,0.0169
7.33,0.0099
7.35,0.0216
7.37,0.0229
7.38,0.0200
7.40,0.0230
7.41,0.0359
7.43,0.0285
7.45,0.0199
7.46,0.0167
7.50,0.0128
7.52,0.0174
7.54,0.0126
7.56,0.0126
7.58,0.0125
7.60,0.0057
7.61,0.0062
7.66,0.0009
7.68,0.0020
7.71,0.0018
7.73,0.0008
7.79,0.0011
7.94,0.0009
7.98,0.0232
8.00,0.0242
8.01,0.0082
8.03,0.0065
8.05,0.0029
8.07,0.0035
8.08,0.0031
8.10,0.0031
9.18,0.0021
9.27,0.0011
9.54,0.0009
9.55,0.0009
9.70,0.0139
9.72,0.0033
