"ppm", "INTENSITY"
0.00,0.0606
0.25,0.0011
0.26,0.0012
0.48,0.0048
0.54,0.0457
0.55,0.0949
0.61,0.6204
0.65,0.1604
0.66,0.1340
0.68,0.0383
0.69,0.0319
0.70,0.0292
0.72,0.0225
0.74,0.0277
0.76,0.0274
0.81,0.1173
0.82,0.0616
0.83,0.0732
0.85,0.0538
0.87,0.0762
0.88,0.1000
0.88,0.0966
0.90,0.0700
0.92,0.0889
0.93,0.0926
0.95,0.0956
0.98,0.2208
0.98,0.1584
0.99,0.1516
1.00,0.1495
1.01,0.1497
1.03,0.1837
1.04,0.1864
1.06,0.2134
1.07,0.1563
1.08,0.1524
1.10,0.1218
1.11,0.1278
1.12,0.1639
1.14,0.1517
1.15,0.1775
1.17,0.9970
1.20,0.2653
1.21,0.2290
1.22,0.3439
1.23,0.1688
1.24,0.1956
1.27,0.3603
1.29,0.1933
1.31,0.1844
1.31,0.1937
1.33,0.1582
1.35,0.1092
1.36,0.1103
1.39,0.0890
1.42,0.1104
1.47,0.1994
1.49,0.1962
1.49,0.1926
1.53,0.1217
1.55,0.1308
1.58,0.1780
1.60,0.2162
1.62,0.1900
1.64,0.3859
1.66,0.1710
1.68,0.4207
1.69,0.1741
1.70,0.1440
1.72,0.2218
1.73,0.2231
1.75,0.1215
1.78,0.1328
1.80,0.1857
1.82,0.1947
1.84,0.2685
1.87,0.3208
1.89,0.2886
1.92,0.1836
1.96,0.1896
1.97,0.2102
1.98,0.1995
1.98,0.2092
2.00,0.6031
2.04,0.1452
2.07,0.0986
2.07,0.1069
2.11,0.2768
2.12,0.2343
2.19,0.0565
2.20,0.0534
2.21,0.0450
2.24,0.0440
2.25,0.0569
2.26,0.0600
2.27,0.0596
2.29,0.0551
2.30,0.0509
2.35,0.0923
2.37,0.1471
2.38,0.1278
2.39,0.1207
2.44,0.0442
2.46,0.0380
2.49,0.0290
2.51,0.0271
2.54,0.0399
2.56,0.0268
2.58,0.0274
2.59,0.0232
2.62,0.0217
2.64,0.0198
2.64,0.0224
2.68,0.0132
2.74,0.0117
2.74,0.0122
2.76,0.0130
2.77,0.0122
2.81,0.0156
2.82,0.0181
2.84,0.0146
2.85,0.0114
2.87,0.0085
2.90,0.0053
2.91,0.0041
2.93,0.0032
2.95,0.0026
2.96,0.0025
2.98,0.0024
3.00,0.0014
3.06,0.0014
3.10,0.0086
3.12,0.0029
3.14,0.0017
3.17,0.0139
3.19,0.0021
3.24,0.0120
3.27,0.0084
3.29,0.1498
3.51,0.0136
3.53,0.0134
3.55,0.0164
3.57,0.0206
3.59,0.0255
3.60,0.0384
3.61,0.0301
3.63,0.0949
3.65,0.0409
3.67,0.0447
3.69,0.0585
3.72,0.0783
3.72,0.0774
3.73,0.0792
3.74,0.0924
3.75,0.1078
3.76,0.1171
3.77,0.1173
3.78,0.1870
3.80,0.2323
3.81,0.2173
3.83,0.2716
3.83,0.2210
3.85,0.1198
3.86,0.0970
3.87,0.0790
3.88,0.0807
3.89,0.0763
3.96,0.0192
3.97,0.0176
3.98,0.0162
4.00,0.0175
4.81,0.0325
4.84,0.0748
4.87,0.0315
4.90,0.0277
4.95,0.0048
4.97,0.0039
4.99,0.0250
5.00,0.0205
5.01,0.0193
5.03,0.0170
5.05,0.0171
5.07,0.0194
5.10,0.0078
5.11,0.0082
5.13,0.0188
5.15,0.0202
5.17,0.0214
5.18,0.0221
5.20,0.0130
5.21,0.0125
5.25,0.0316
5.27,0.0579
5.28,0.0457
5.29,0.0477
5.30,0.0543
5.32,0.0366
5.35,0.0177
5.36,0.0199
5.38,0.0144
5.44,0.0069
5.44,0.0069
5.45,0.0068
5.47,0.0052
5.50,0.0041
5.52,0.0057
5.58,0.0041
5.60,0.0373
5.64,0.0065
5.65,0.0059
5.68,0.0056
5.70,0.0084
5.72,0.0263
5.73,0.0107
5.75,0.0093
5.77,0.0057
5.78,0.0060
5.80,0.0045
5.83,0.0044
5.85,0.0151
5.87,0.0155
5.89,0.0151
5.91,0.0137
5.93,0.0058
5.94,0.0050
5.98,0.0045
6.00,0.0040
6.03,0.0028
6.06,0.0029
6.07,0.0051
6.09,0.0041
6.10,0.0046
6.12,0.0068
6.13,0.0064
6.14,0.0065
6.16,0.0077
6.19,0.0061
6.20,0.0046
6.25,0.0106
6.27,0.0107
6.28,0.0112
6.30,0.0100
6.33,0.0032
6.34,0.0033
6.36,0.0034
6.38,0.0030
6.39,0.0031
6.41,0.0037
6.43,0.0042
6.45,0.0044
6.47,0.0074
6.48,0.0096
6.53,0.0154
6.54,0.0129
6.55,0.0130
6.58,0.0174
6.60,0.0193
6.62,0.0218
6.63,0.0261
6.65,0.0309
6.70,0.0518
6.70,0.0532
6.76,0.1016
6.77,0.1004
6.78,0.0977
6.79,0.0813
6.80,0.0714
6.81,0.0714
6.83,0.0588
6.85,0.0505
6.87,0.0440
6.88,0.0634
6.90,0.0424
6.92,0.0612
6.94,0.0489
6.95,0.0467
6.98,0.0361
6.99,0.0289
7.02,0.0225
7.04,0.0217
7.07,0.0173
7.08,0.0192
7.11,0.0178
7.11,0.0141
7.12,0.0138
7.13,0.0147
7.14,0.0160
7.15,0.0163
7.16,0.0298
7.18,0.0192
7.20,0.0111
7.22,0.0123
7.26,0.0064
7.27,0.0060
7.29,0.0068
7.30,0.0054
7.32,0.0065
7.36,0.0151
7.36,0.0153
7.40,0.0106
7.41,0.0128
7.42,0.0233
7.42,0.0245
7.44,0.0217
7.46,0.0169
7.52,0.0088
7.54,0.0145
7.55,0.0150
7.55,0.0150
7.56,0.0166
7.64,0.0030
7.68,0.0012
7.71,0.0010
7.79,0.0036
7.80,0.0017
7.82,0.0013
7.85,0.0007
7.87,0.0008
7.99,0.0103
8.00,0.0105
8.02,0.0014
8.07,0.0053
9.17,0.0008
9.25,0.0007
9.26,0.0028
9.51,0.0008
9.53,0.0030
9.55,0.0034
9.70,0.0319
9.72,0.0111
9.74,0.0014
9.76,0.0012
9.91,0.0011
9.92,0.0010
