"ppm", "INTENSITY"
0.00,0.0352
0.25,0.0006
0.26,0.0005
0.33,0.0005
0.35,0.0004
0.48,0.0053
0.54,0.0374
0.55,0.0716
0.61,0.7048
0.65,0.1752
0.66,0.1429
0.68,0.0305
0.69,0.0191
0.70,0.0188
0.72,0.0168
0.74,0.0187
0.76,0.0216
0.80,0.1527
0.82,0.0448
0.83,0.0546
0.87,0.0544
0.88,0.0799
0.90,0.0511
0.91,0.0411
0.93,0.0534
0.93,0.0578
0.94,0.0594
0.95,0.0615
0.98,0.2200
0.98,0.1606
0.99,0.1567
1.00,0.1530
1.01,0.1168
1.03,0.1481
1.04,0.1509
1.05,0.1651
1.07,0.1171
1.08,0.1162
1.10,0.0795
1.11,0.0860
1.12,0.1039
1.15,0.1328
1.17,0.9987
1.22,0.2948
1.24,0.1173
1.26,0.2816
1.29,0.1589
1.31,0.1692
1.33,0.1321
1.33,0.1256
1.35,0.0813
1.40,0.0629
1.42,0.0885
1.45,0.1310
1.46,0.1442
1.46,0.1453
1.47,0.1523
1.49,0.1501
1.49,0.1450
1.52,0.0787
1.55,0.0902
1.55,0.0888
1.57,0.1434
1.59,0.1926
1.61,0.1656
1.64,0.4150
1.66,0.1263
1.68,0.4313
1.72,0.2135
1.73,0.2165
1.75,0.0836
1.78,0.0977
1.80,0.1515
1.81,0.1575
1.82,0.1567
1.83,0.1773
1.84,0.2414
1.87,0.3016
1.89,0.2574
1.92,0.1277
1.93,0.1173
1.95,0.1337
1.96,0.1514
1.97,0.1534
1.98,0.1674
2.00,0.6089
2.02,0.0949
2.03,0.0961
2.04,0.1091
2.04,0.1045
2.07,0.0672
2.07,0.0712
2.11,0.2153
2.12,0.1855
2.16,0.0758
2.18,0.0436
2.20,0.0397
2.21,0.0310
2.25,0.0393
2.26,0.0392
2.27,0.0365
2.27,0.0403
2.29,0.0336
2.30,0.0303
2.35,0.0818
2.37,0.1451
2.38,0.1142
2.39,0.1059
2.42,0.0308
2.44,0.0308
2.46,0.0218
2.47,0.0213
2.48,0.0205
2.49,0.0237
2.50,0.0351
2.51,0.0218
2.54,0.0700
2.56,0.0253
2.58,0.0288
2.59,0.0202
2.60,0.0170
2.61,0.0165
2.64,0.0193
2.65,0.0148
2.68,0.0093
2.69,0.0087
2.72,0.0103
2.73,0.0091
2.74,0.0102
2.75,0.0120
2.77,0.0087
2.79,0.0070
2.80,0.0080
2.81,0.0083
2.82,0.0080
2.82,0.0097
2.84,0.0075
2.85,0.0061
2.87,0.0043
2.90,0.0025
2.91,0.0022
2.93,0.0017
2.95,0.0016
2.96,0.0013
2.98,0.0017
2.99,0.0015
3.01,0.0026
3.02,0.0009
3.03,0.0024
3.04,0.0016
3.05,0.0012
3.07,0.0015
3.08,0.0029
3.10,0.0052
3.11,0.0034
3.11,0.0043
3.13,0.0042
3.14,0.0025
3.18,0.0112
