"ppm", "INTENSITY"
0.00,0.3137
0.35,0.0012
0.56,0.0019
0.57,0.0017
0.61,0.0089
0.62,0.0232
0.66,0.0038
0.67,0.0021
0.69,0.0058
0.71,0.0029
0.74,0.0160
0.76,0.0094
0.77,0.0088
0.80,0.0144
0.81,0.0193
0.83,0.0132
0.84,0.0154
0.85,0.0241
0.87,0.0298
0.89,0.0366
0.90,0.0289
0.92,0.0279
0.93,0.0241
0.94,0.0404
0.95,0.0270
0.97,0.0319
0.99,0.0269
1.01,0.0231
1.03,0.0332
1.04,0.0210
1.06,0.0291
1.06,0.0273
1.08,0.0169
1.08,0.0156
1.10,0.0157
1.12,0.0289
1.13,0.0164
1.14,0.0261
1.15,0.0378
1.16,0.0555
1.18,0.0586
1.19,0.0266
1.20,0.0160
1.22,0.0271
1.23,0.0201
1.23,0.0223
1.28,0.1384
1.30,0.0530
1.32,0.0442
1.37,0.0137
1.40,0.0150
1.42,0.0159
1.43,0.0132
1.46,0.0137
1.49,0.0140
1.50,0.0138
1.52,0.0142
1.53,0.0140
1.56,0.0162
1.58,0.0241
1.59,0.0274
1.60,0.0228
1.62,0.0252
1.65,0.0217
1.66,0.0262
1.67,0.0270
1.69,0.0232
1.73,0.0103
1.78,0.0034
1.80,0.0042
1.83,0.0058
1.85,0.0075
1.88,0.0105
1.90,0.0097
1.92,0.0060
1.94,0.0058
1.95,0.0045
1.97,0.0064
2.01,0.0209
2.02,0.0087
2.05,0.0046
2.06,0.0025
2.10,0.0016
2.13,0.0017
2.22,0.0024
2.23,0.0045
2.24,0.0022
2.38,0.0036
2.39,0.0024
2.40,0.0026
2.45,0.0012
2.99,0.0012
3.11,0.0023
3.13,0.0043
3.15,0.0066
3.17,0.0023
3.19,0.0107
3.21,0.0053
3.22,0.0031
3.23,0.0085
3.26,0.0194
3.52,0.0036
3.53,0.0036
3.56,0.0068
3.57,0.0126
3.59,0.0245
3.60,0.0282
3.61,0.0142
3.62,0.0091
3.64,0.0095
3.65,0.0098
3.66,0.0117
3.68,0.0126
3.69,0.0132
3.72,0.0190
3.73,0.0258
3.74,0.0310
3.76,0.0227
3.78,0.0313
3.79,0.0266
3.82,0.0436
3.83,0.0375
3.84,0.0407
3.84,0.0505
3.85,0.0414
3.87,0.0222
3.88,0.0193
3.91,0.0160
3.92,0.0031
3.93,0.0034
3.96,0.0015
4.84,0.6526
4.99,0.0029
4.99,0.0071
5.02,0.0012
5.02,0.0012
5.08,0.0018
5.09,0.0026
5.10,0.0017
5.14,0.0020
5.18,0.0025
5.23,0.0013
5.27,0.0020
5.28,0.0018
5.30,0.0024
5.33,0.0045
5.35,0.0032
5.86,0.0014
5.88,0.0014
5.89,0.0022
5.91,0.0013
6.34,0.0031
6.37,0.0037
6.47,0.0019
6.50,0.0022
6.53,0.0020
6.55,0.0012
6.61,0.0032
6.65,0.0053
6.66,0.0029
6.67,0.0050
6.69,0.0021
6.69,0.0022
6.71,0.0016
6.75,0.0023
6.76,0.0040
6.77,0.0023
6.79,0.0027
6.91,0.0018
6.93,0.0017
6.94,0.0053
6.96,0.0039
6.96,0.0042
6.98,0.0022
7.11,0.0021
7.12,0.0021
7.17,0.0049
7.18,0.0017
7.22,0.0032
7.32,0.0037
7.32,0.0029
7.34,0.0047
7.37,0.0098
7.39,0.0158
7.40,0.0112
7.44,0.0034
7.45,0.0093
7.47,0.0116
7.53,0.0028
7.55,0.0021
7.59,0.0012
7.95,0.0141
7.97,0.0130
7.99,0.0013
8.00,0.0016
8.02,0.0018
8.04,0.0017
8.05,0.0013
8.08,0.0018
9.74,0.0012
