"ppm", "INTENSITY"
0.00,0.2866
0.61,0.0029
0.62,0.0029
0.67,0.0043
0.69,0.0079
0.74,0.0436
0.75,0.1783
0.77,0.0982
0.77,0.0560
0.79,0.0340
0.81,0.1335
0.83,0.2174
0.84,0.1182
0.86,0.1476
0.87,0.1493
0.88,0.1220
0.89,0.1075
0.91,0.0548
0.93,0.2050
0.95,0.1202
0.96,0.1523
0.97,0.0951
0.98,0.2390
1.00,0.0599
1.02,0.0635
1.03,0.0548
1.04,0.0638
1.05,0.0482
1.07,0.0470
1.08,0.0515
1.10,0.0853
1.11,0.0704
1.13,0.1170
1.15,0.0871
1.16,0.0947
1.18,0.0846
1.18,0.0746
1.23,0.2424
1.27,0.4207
1.30,0.1543
1.32,0.1079
1.34,0.0906
1.35,0.0851
1.39,0.0727
1.39,0.0779
1.40,0.0818
1.42,0.0752
1.43,0.0826
1.45,0.0853
1.52,0.1749
1.56,0.3762
1.57,0.4003
1.58,0.3915
1.60,0.3520
1.65,0.2834
1.68,0.1339
1.69,0.1184
1.70,0.1158
1.72,0.1038
1.73,0.1067
1.77,0.3005
1.84,0.0415
1.85,0.0425
1.87,0.0525
1.88,0.0556
1.90,0.0578
1.95,0.1083
1.96,0.1435
1.98,0.1302
2.00,0.1280
2.05,0.3530
2.07,0.2248
2.09,0.1861
2.24,0.0737
2.25,0.0947
2.26,0.0923
2.38,0.0016
2.39,0.0015
2.45,0.0022
2.46,0.0016
2.52,0.0033
2.54,0.0051
2.57,0.0123
2.59,0.0157
2.61,0.0167
2.64,0.0327
2.66,0.0451
2.67,0.0280
2.69,0.0142
2.70,0.0100
2.76,0.0046
2.79,0.0036
2.82,0.0019
2.83,0.0020
3.09,0.0048
3.12,0.0134
3.12,0.0196
3.14,0.0202
3.15,0.0206
3.16,0.0145
3.17,0.0144
3.18,0.0188
3.20,0.0055
3.25,0.0085
3.27,0.0064
3.51,0.0169
3.53,0.0182
3.54,0.0206
3.55,0.0233
3.57,0.0310
3.58,0.0448
3.60,0.0538
3.61,0.0436
3.62,0.0449
3.63,0.0474
3.64,0.0467
3.65,0.0564
3.68,0.0659
3.70,0.0824
3.71,0.1026
3.71,0.1003
3.72,0.1004
3.73,0.1031
3.74,0.1356
3.75,0.1203
3.77,0.1584
3.77,0.1643
3.78,0.1643
3.80,0.1759
3.81,0.2032
3.82,0.1952
3.83,0.2235
3.84,0.1834
3.85,0.1632
3.86,0.1104
3.87,0.1211
3.89,0.0654
3.90,0.0478
3.91,0.0379
3.92,0.0301
3.95,0.0203
3.95,0.0202
3.99,0.0120
4.84,0.1499
4.91,0.0073
4.92,0.0069
4.93,0.0088
4.94,0.0089
4.96,0.0086
4.97,0.0085
4.97,0.0098
4.98,0.0090
4.98,0.0102
4.99,0.0163
5.01,0.0088
5.02,0.0109
5.02,0.0107
5.09,0.0575
5.10,0.0576
5.11,0.0679
5.13,0.0687
5.16,0.0353
5.16,0.0351
5.22,0.0096
5.25,0.0246
5.29,0.0063
5.30,0.0060
5.32,0.0086
5.33,0.0105
5.33,0.0073
5.36,0.0045
5.37,0.0038
6.24,0.0016
6.26,0.0021
6.28,0.0073
6.31,0.0350
6.33,0.0124
6.35,0.0067
6.36,0.0129
6.37,0.0087
6.39,0.0363
6.39,0.0353
6.41,0.0137
6.44,0.0081
6.45,0.0087
6.48,0.0158
6.48,0.0122
6.50,0.0126
6.53,0.0184
6.54,0.0199
6.58,0.0284
6.60,0.0254
6.64,0.0539
6.66,0.0373
6.67,0.0443
6.68,0.0451
6.73,0.0900
6.77,0.0417
6.78,0.0447
6.80,0.0413
6.82,0.0269
6.89,0.0176
6.90,0.0165
6.92,0.0154
6.94,0.0223
6.96,0.0276
6.98,0.0172
7.03,0.0103
7.04,0.0133
7.11,0.0061
7.13,0.0100
7.14,0.0090
7.16,0.0122
7.18,0.0172
7.18,0.0165
7.22,0.0053
7.24,0.0040
7.30,0.0070
7.31,0.0165
7.38,0.0283
7.41,0.0268
7.43,0.0329
7.45,0.0351
7.46,0.0392
7.47,0.0335
7.51,0.0130
7.53,0.0150
7.54,0.0235
7.56,0.0270
7.58,0.0283
7.59,0.0281
7.76,0.0017
7.85,0.0048
7.91,0.0056
7.92,0.0087
7.94,0.0080
7.96,0.0109
7.98,0.0178
8.00,0.0154
8.03,0.0074
8.04,0.0073
8.05,0.0066
8.09,0.0019
8.11,0.0014
8.12,0.0012
8.13,0.0021
8.18,0.0017
9.31,0.0011
9.32,0.0013
9.63,0.0013
9.73,0.0010
