"ppm", "INTENSITY"
0.00,0.2995
0.56,0.0028
0.61,0.0683
0.66,0.0078
0.69,0.0091
0.74,0.0214
0.75,0.0276
0.77,0.0120
0.79,0.0207
0.80,0.0339
0.82,0.0195
0.84,0.0554
0.87,0.0694
0.88,0.0928
0.89,0.0649
0.91,0.0477
0.92,0.0472
0.93,0.0700
0.94,0.0578
0.96,0.0544
0.96,0.0554
0.98,0.0505
1.00,0.0410
1.02,0.0459
1.04,0.0532
1.07,0.0389
1.09,0.0397
1.10,0.0442
1.11,0.0499
1.12,0.0503
1.14,0.0584
1.15,0.0800
1.16,0.1155
1.18,0.2001
1.20,0.0934
1.21,0.1298
1.22,0.1293
1.27,0.7405
1.40,0.0595
1.43,0.0572
1.47,0.0722
1.51,0.0791
1.55,0.0678
1.57,0.0686
1.59,0.0797
1.60,0.0678
1.64,0.0559
1.66,0.0587
1.67,0.0601
1.69,0.0672
1.73,0.0350
1.78,0.0242
1.81,0.0305
1.84,0.0418
1.87,0.0514
1.88,0.0483
1.89,0.0465
1.91,0.0643
1.92,0.0401
1.93,0.0357
1.94,0.0321
1.97,0.0596
1.99,0.0865
2.00,0.1404
2.01,0.1523
2.03,0.0486
2.05,0.0396
2.08,0.0186
2.10,0.0248
2.12,0.0198
2.24,0.0051
2.25,0.0089
2.26,0.0061
2.37,0.0125
2.39,0.0111
2.52,0.0123
2.54,0.0066
2.55,0.0185
2.58,0.0043
2.59,0.0062
2.67,0.0041
2.82,0.0027
2.83,0.0031
3.11,0.0107
3.13,0.0142
3.15,0.0059
3.18,0.0326
3.20,0.0082
3.25,0.0217
3.27,0.0066
3.29,0.7511
3.51,0.0025
3.53,0.0043
3.54,0.0072
3.56,0.0106
3.57,0.0192
3.58,0.0361
3.60,0.0482
3.61,0.0332
3.62,0.0347
3.62,0.0346
3.64,0.0412
3.66,0.0487
3.68,0.0624
3.70,0.0753
3.71,0.0944
3.73,0.1044
3.74,0.1511
3.75,0.1317
3.76,0.1987
3.77,0.2296
3.78,0.1718
3.81,0.2514
3.82,0.2711
3.83,0.3300
3.84,0.2726
3.85,0.2227
3.86,0.2010
3.87,0.1570
3.88,0.0995
3.90,0.1389
3.95,0.0205
3.99,0.0102
4.84,0.2236
4.92,0.0046
4.93,0.0039
4.99,0.0084
5.00,0.0033
5.01,0.0046
5.09,0.0056
5.14,0.0039
5.18,0.0053
5.20,0.0027
5.22,0.0035
5.24,0.0046
5.26,0.0049
5.28,0.0058
5.29,0.0063
5.32,0.0093
5.33,0.0101
5.34,0.0051
5.69,0.1155
5.85,0.0026
5.87,0.0026
6.48,0.0050
6.50,0.0054
6.52,0.0089
6.54,0.0091
6.57,0.0123
6.60,0.0278
6.64,0.0676
6.66,0.0451
6.67,0.0437
6.69,0.0473
6.72,0.0456
6.75,0.0646
6.76,0.0659
6.78,0.0667
6.80,0.0581
6.80,0.0547
6.82,0.0416
6.83,0.0393
6.85,0.0334
6.89,0.0207
6.90,0.0205
6.93,0.0297
6.94,0.0362
6.96,0.0256
6.99,0.0165
7.04,0.0042
7.12,0.0075
7.13,0.0059
7.15,0.0039
7.16,0.0068
7.17,0.0150
7.22,0.0226
7.24,0.0039
7.32,0.0163
7.36,0.0151
7.37,0.0189
7.38,0.0186
7.40,0.0303
7.42,0.0581
7.43,0.0473
7.46,0.0254
7.47,0.0193
7.51,0.0190
7.52,0.0326
7.54,0.0240
7.56,0.0206
7.57,0.0203
7.58,0.0196
7.98,0.0426
7.99,0.0430
8.01,0.0054
9.31,0.0028
9.73,0.0110
9.73,0.0124
