"ppm", "INTENSITY"
0.00,0.0502
0.26,0.0010
0.48,0.0037
0.53,0.0566
0.61,0.5162
0.65,0.1381
0.66,0.1001
0.67,0.1624
0.69,0.0245
0.74,0.0348
0.75,0.0800
0.76,0.0533
0.80,0.1783
0.82,0.1044
0.83,0.0853
0.85,0.0815
0.86,0.1079
0.88,0.1618
0.89,0.1230
0.93,0.1546
0.95,0.2478
0.96,0.1672
0.97,0.1875
0.98,0.1896
0.99,0.2089
0.99,0.2055
1.01,0.1835
1.03,0.2045
1.05,0.1875
1.08,0.1619
1.09,0.1650
1.11,0.2044
1.16,0.7133
1.16,0.9013
1.17,0.9998
1.18,0.7639
1.19,0.3044
1.21,0.3499
1.22,0.7420
1.23,0.5926
1.26,0.6541
1.30,0.2538
1.31,0.2478
1.33,0.1784
1.34,0.1475
1.35,0.1468
1.37,0.1240
1.38,0.1231
1.39,0.1252
1.41,0.1221
1.41,0.1238
1.42,0.1241
1.45,0.1815
1.47,0.2633
1.49,0.2005
1.49,0.2010
1.51,0.1776
1.52,0.1872
1.55,0.2061
1.56,0.2028
1.57,0.2099
1.59,0.2271
1.61,0.2043
1.62,0.1992
1.64,0.3774
1.65,0.2027
1.68,0.2978
1.70,0.1828
1.72,0.2327
1.73,0.2281
1.75,0.1619
1.77,0.2128
1.79,0.2347
1.80,0.2356
1.81,0.2263
1.84,0.2668
1.86,0.2947
1.88,0.2445
1.88,0.2511
1.90,0.2547
1.91,0.2006
1.95,0.1966
1.97,0.2021
1.97,0.2915
1.98,0.2277
2.00,0.3800
2.02,0.2068
2.03,0.2138
2.06,0.1301
2.09,0.1607
2.11,0.1941
2.12,0.1979
2.12,0.1947
2.15,0.1242
2.18,0.0751
2.19,0.0700
2.21,0.0591
2.24,0.0765
2.25,0.0982
2.27,0.0965
2.28,0.0943
2.30,0.0882
2.33,0.0704
2.36,0.1361
2.37,0.1239
2.42,0.0601
2.44,0.0633
2.46,0.0729
2.48,0.0670
2.49,0.0614
2.50,0.0830
2.52,0.1561
2.55,0.0696
2.56,0.2003
2.56,0.1019
2.58,0.0818
2.59,0.0736
2.62,0.0677
2.64,0.0490
2.67,0.0283
2.69,0.0283
2.71,0.0229
2.72,0.0329
2.74,0.0490
2.75,0.0628
2.77,0.0563
2.78,0.0496
2.80,0.0673
2.81,0.0752
2.82,0.0808
2.83,0.0762
2.84,0.0403
2.86,0.0298
2.87,0.0223
2.89,0.0121
2.90,0.0087
2.91,0.0071
2.94,0.0068
2.95,0.0062
2.97,0.0036
2.98,0.0048
3.00,0.0027
3.02,0.0016
3.03,0.0013
3.07,0.0092
3.09,0.0251
3.10,0.0168
3.12,0.0114
3.13,0.0103
3.15,0.0349
3.17,0.0073
3.18,0.0071
3.23,0.0193
3.24,0.0089
3.26,0.0132
3.51,0.0346
3.52,0.0348
3.54,0.0327
3.56,0.0372
3.58,0.0432
3.58,0.0455
3.59,0.0550
3.60,0.0752
3.62,0.0700
3.63,0.1220
3.65,0.0834
3.65,0.0938
3.66,0.0944
3.67,0.1104
3.68,0.1152
3.70,0.1314
3.73,0.1820
3.75,0.3319
3.76,0.3454
3.78,0.3576
3.79,0.3535
3.79,0.3477
3.80,0.3715
3.81,0.3721
3.82,0.5542
3.85,0.1994
3.86,0.1699
3.87,0.1671
3.88,0.1355
3.94,0.0371
3.96,0.0405
4.00,0.0420
4.81,0.0334
4.84,0.0537
4.87,0.0291
4.88,0.0289
4.89,0.0269
4.92,0.0194
4.94,0.0128
4.96,0.0082
4.99,0.0624
5.01,0.0613
5.03,0.0192
5.04,0.0225
5.07,0.0179
5.08,0.0147
5.09,0.0107
5.11,0.0177
5.11,0.0231
5.13,0.0214
5.15,0.0675
5.17,0.0242
5.18,0.0729
5.20,0.0439
5.22,0.0174
5.24,0.0229
5.26,0.0320
5.26,0.0368
5.29,0.0443
5.31,0.0435
5.32,0.0453
5.33,0.0250
5.35,0.0149
5.36,0.0169
5.43,0.0087
5.44,0.0075
5.47,0.0037
5.52,0.0020
5.56,0.0009
5.60,0.0213
5.66,0.0046
5.68,0.0055
5.70,0.0076
5.71,0.0311
5.73,0.0063
5.75,0.0050
5.76,0.0010
5.82,0.0029
5.85,0.0475
5.88,0.0461
5.89,0.0435
5.91,0.0396
5.94,0.0014
5.95,0.0013
5.97,0.0020
5.98,0.0022
6.04,0.0036
6.09,0.0071
6.11,0.0094
6.14,0.0136
6.16,0.0150
6.18,0.0162
6.20,0.0088
6.21,0.0091
6.24,0.0109
6.25,0.0107
6.27,0.0107
6.28,0.0132
6.30,0.0081
6.31,0.0051
6.34,0.0015
6.35,0.0016
6.38,0.0031
6.39,0.0022
6.42,0.0041
6.43,0.0038
6.46,0.0228
6.48,0.0325
6.51,0.0506
6.53,0.0257
6.54,0.0399
6.56,0.0443
6.58,0.0316
6.59,0.0353
6.60,0.0371
6.62,0.0463
6.64,0.0810
6.66,0.1004
6.68,0.1234
6.69,0.1324
6.70,0.1122
6.70,0.1338
6.72,0.1222
6.74,0.1281
6.77,0.2583
6.80,0.1439
6.81,0.1953
6.83,0.1094
6.84,0.0990
6.84,0.0994
6.85,0.0854
6.86,0.0875
6.89,0.0747
6.92,0.1693
6.93,0.1238
6.96,0.0694
6.97,0.0738
6.98,0.0740
7.01,0.0484
7.02,0.0502
7.03,0.0401
7.05,0.0347
7.06,0.0331
7.08,0.0348
7.10,0.0847
7.11,0.0765
7.12,0.0659
7.15,0.0285
7.16,0.0441
7.17,0.0349
7.19,0.0209
7.21,0.0213
7.24,0.0113
7.26,0.0106
7.28,0.0126
7.29,0.0090
7.33,0.0129
7.34,0.0152
7.35,0.0235
7.36,0.0210
7.38,0.0164
7.39,0.0136
7.39,0.0146
7.41,0.0381
7.42,0.0279
7.44,0.0200
7.45,0.0123
7.47,0.0072
7.51,0.0129
7.52,0.0095
7.54,0.0206
7.55,0.0172
7.59,0.0071
7.61,0.0039
7.64,0.0023
7.67,0.0008
7.68,0.0019
7.70,0.0029
7.79,0.0081
7.80,0.0102
7.88,0.0008
7.90,0.0017
7.92,0.0010
7.96,0.0014
7.99,0.0093
8.00,0.0105
8.02,0.0053
8.06,0.0046
8.08,0.0009
9.15,0.0008
9.26,0.0013
9.34,0.0016
9.50,0.0019
9.52,0.0051
9.54,0.0056
9.66,0.0009
9.69,0.0172
9.71,0.0173
