"ppm", "INTENSITY"
0.00,0.0302
0.26,0.0016
0.33,0.0015
0.35,0.0013
0.51,0.0989
0.53,0.0124
0.55,0.0182
0.55,0.0165
0.61,0.6653
0.65,0.2206
0.66,0.2787
0.70,0.0212
0.73,0.0253
0.75,0.0640
0.76,0.0570
0.78,0.2547
0.80,0.0946
0.81,0.0821
0.83,0.0780
0.85,0.0775
0.88,0.2197
0.91,0.1207
0.94,0.2400
0.94,0.2683
0.95,0.2412
0.97,0.2529
0.98,0.2782
0.98,0.2880
0.99,0.2904
1.01,0.2178
1.02,0.2353
1.02,0.2298
1.03,0.2070
1.04,0.2116
1.05,0.1945
1.07,0.1383
1.08,0.1350
1.10,0.1279
1.11,0.1269
1.11,0.1370
1.17,1.0000
1.21,0.3094
1.23,0.4948
1.26,0.6825
1.29,0.3666
1.34,0.1237
1.38,0.1169
1.39,0.1363
1.41,0.1400
1.41,0.1434
1.43,0.1572
1.45,0.2036
1.47,0.2019
1.49,0.1860
1.52,0.1742
1.52,0.1746
1.53,0.1731
1.56,0.1961
1.58,0.2427
1.60,0.2145
1.62,0.1757
1.64,0.4807
1.67,0.4330
1.69,0.2196
1.71,0.3535
1.72,0.3361
1.73,0.2894
1.78,0.1657
1.80,0.1893
1.82,0.2389
1.84,0.2824
1.86,0.3494
1.88,0.3246
1.91,0.2562
1.91,0.2496
1.92,0.2442
1.93,0.1863
1.96,0.2392
1.97,0.2847
1.99,0.2574
2.00,0.5464
2.02,0.3552
2.04,0.6081
2.07,0.1593
2.10,0.1886
2.12,0.2928
2.15,0.1142
2.17,0.0722
2.18,0.0612
2.20,0.0494
2.25,0.0704
2.26,0.0913
2.27,0.0768
2.36,0.1785
2.40,0.0587
2.41,0.0571
2.43,0.0504
2.44,0.0446
2.45,0.0431
2.47,0.0639
2.49,0.2402
2.51,0.3370
2.54,0.0503
2.55,0.0609
2.57,0.1798
2.60,0.0614
2.61,0.0711
2.63,0.0609
2.70,0.0168
2.70,0.0165
2.72,0.0160
2.75,0.0199
2.77,0.0205
2.79,0.0156
2.80,0.0143
2.81,0.0128
2.83,0.0118
2.84,0.0118
2.86,0.0135
2.87,0.0142
2.89,0.0124
2.91,0.0092
2.92,0.0111
2.93,0.0112
2.94,0.0107
2.96,0.0109
2.97,0.0212
2.98,0.0207
3.00,0.0205
3.01,0.0196
3.06,0.0205
3.07,0.0290
3.09,0.0314
3.10,0.0267
3.12,0.0067
3.15,0.0268
3.18,0.0129
3.19,0.0106
3.22,0.0287
3.25,0.0160
3.27,0.0211
3.31,0.1387
3.33,0.0480
3.34,0.0512
3.36,0.0399
3.36,0.0380
3.37,0.0355
3.38,0.0269
3.39,0.0278
3.41,0.0234
3.41,0.0229
3.43,0.0253
3.44,0.0309
3.45,0.0282
3.47,0.0309
3.47,0.0294
3.48,0.0320
3.49,0.0336
3.50,0.0462
3.52,0.0579
3.53,0.0546
3.54,0.0432
3.55,0.0466
3.56,0.0456
3.59,0.0498
3.60,0.0749
3.61,0.0688
3.61,0.0796
3.63,0.0773
3.63,0.0978
3.65,0.0758
3.69,0.1017
3.70,0.1215
3.72,0.1419
3.73,0.1585
3.75,0.1771
3.78,0.2944
3.79,0.3132
3.80,0.3016
3.82,0.8008
3.85,0.2177
3.86,0.2580
3.87,0.2370
3.93,0.0401
3.94,0.0403
3.96,0.0367
3.97,0.0350
4.01,0.0435
4.03,0.0379
4.05,0.0275
4.08,0.1257
4.09,0.1263
4.12,0.0299
4.15,0.1196
4.19,0.0895
4.20,0.0952
4.23,0.0245
4.25,0.0225
4.26,0.0221
4.27,0.0225
4.29,0.0281
4.30,0.0253
4.37,0.0129
4.38,0.0128
4.39,0.0118
4.40,0.0109
4.43,0.0292
4.45,0.0313
4.47,0.0078
4.50,0.0377
4.52,0.0395
4.54,0.0267
4.80,0.0430
4.82,0.0282
4.84,0.0883
4.86,0.0231
4.89,0.0373
4.90,0.0205
4.93,0.0196
5.01,0.0504
5.03,0.0483
5.03,0.0378
5.04,0.0487
5.06,0.0281
5.08,0.0308
5.09,0.0174
5.10,0.0183
5.14,0.0428
5.17,0.0652
5.20,0.0604
5.21,0.1281
5.23,0.0655
5.24,0.0393
5.26,0.0453
5.27,0.0684
5.28,0.0670
5.33,0.0878
5.35,0.0273
5.37,0.0333
5.38,0.0256
5.39,0.0178
5.42,0.0134
5.43,0.0179
5.44,0.0165
5.52,0.0084
5.53,0.0091
5.56,0.0056
5.58,0.0063
5.62,0.0343
5.66,0.0089
5.67,0.0087
