"ppm", "INTENSITY"
0.00,0.2013
0.26,0.0035
0.48,0.0040
0.54,0.0528
0.57,0.0235
0.61,0.3210
0.65,0.1004
0.66,0.0472
0.67,0.0153
0.69,0.0092
0.70,0.0099
0.71,0.0094
0.73,0.0566
0.74,0.0200
0.76,0.0434
0.77,0.0269
0.79,0.0814
0.80,0.1030
0.81,0.0633
0.83,0.1006
0.84,0.0653
0.85,0.0838
0.86,0.0920
0.87,0.1029
0.88,0.1535
0.92,0.1590
0.93,0.1035
0.94,0.1018
0.95,0.1324
0.97,0.1331
0.97,0.1079
0.98,0.1056
0.99,0.1038
0.99,0.1078
1.01,0.0947
1.01,0.0885
1.03,0.1204
1.03,0.1197
1.05,0.1083
1.07,0.1030
1.10,0.1118
1.11,0.1038
1.12,0.1301
1.13,0.1304
1.14,0.1545
1.15,0.1862
1.17,0.5577
1.19,0.1317
1.20,0.1167
1.22,0.2201
1.26,0.5258
1.33,0.0838
1.34,0.0532
1.39,0.0416
1.41,0.0264
1.42,0.0201
1.45,0.0579
1.46,0.0573
1.48,0.0850
1.49,0.0755
1.51,0.0557
1.56,0.0930
1.57,0.1184
1.59,0.1435
1.61,0.0989
1.64,0.2042
1.65,0.1265
1.68,0.2270
1.70,0.1169
1.72,0.2626
1.74,0.0899
1.77,0.1282
1.80,0.1303
1.84,0.2228
1.86,0.2752
1.88,0.2558
1.89,0.2478
1.90,0.3514
1.91,0.3211
1.91,0.3601
1.92,0.2908
1.93,0.2609
1.96,0.3237
1.97,0.4961
1.98,0.4676
2.00,0.5608
2.02,0.5006
2.04,0.5456
2.07,0.2740
2.08,0.1728
2.09,0.1808
2.10,0.2090
2.11,0.1860
2.19,0.0534
2.21,0.0426
2.24,0.0507
2.25,0.0573
2.27,0.0439
2.31,0.0102
2.36,0.0609
2.38,0.0458
2.43,0.0167
2.44,0.0214
2.46,0.0455
2.47,0.0448
2.48,0.0802
2.50,0.2535
2.53,0.7230
2.57,0.1163
2.59,0.1664
2.60,0.0921
2.62,0.1046
2.63,0.1148
2.64,0.0758
2.64,0.0770
2.66,0.0501
2.68,0.0221
2.68,0.0210
2.69,0.0244
2.72,0.0048
2.74,0.0063
2.75,0.0062
2.78,0.0182
2.81,0.0059
2.82,0.0053
2.83,0.0058
2.86,0.0043
2.87,0.0046
2.88,0.0056
2.89,0.0051
2.94,0.0055
2.96,0.0072
2.97,0.0063
2.99,0.0077
3.51,0.0831
3.51,0.0888
3.53,0.0819
3.54,0.0870
3.55,0.0864
3.55,0.0898
3.57,0.1057
3.58,0.1117
3.59,0.1442
3.60,0.1996
3.62,0.1763
3.63,0.2450
3.65,0.2521
3.65,0.2538
3.67,0.2800
3.67,0.2820
3.68,0.2794
3.69,0.3312
3.71,0.3411
3.73,0.4803
3.74,0.4936
3.74,0.5536
3.75,0.5240
3.78,0.7936
3.79,0.8729
3.80,0.7567
3.81,0.7871
3.81,0.8395
3.83,0.9980
3.86,0.4600
3.87,0.3451
3.87,0.3478
3.89,0.2498
3.94,0.0884
3.96,0.0985
3.97,0.0879
4.00,0.1181
4.82,0.0254
4.84,0.0904
4.87,0.0384
4.89,0.0430
4.91,0.0286
4.92,0.0242
4.93,0.0230
4.95,0.0145
4.95,0.0146
4.97,0.0118
4.97,0.0124
4.98,0.0118
4.99,0.0250
5.02,0.0235
5.02,0.0207
5.03,0.0198
5.05,0.0670
5.07,0.0464
5.09,0.0398
5.10,0.0678
5.11,0.0672
5.13,0.0438
5.15,0.0463
5.16,0.0461
5.17,0.0545
5.18,0.0379
5.21,0.2050
5.23,0.0793
5.24,0.1154
5.26,0.1057
5.27,0.0681
5.29,0.0557
5.30,0.0904
5.31,0.0470
5.32,0.0467
5.35,0.0311
5.36,0.0325
5.38,0.0226
5.39,0.0200
5.41,0.0127
5.43,0.0300
5.44,0.0271
5.46,0.0076
5.47,0.0071
5.48,0.0068
5.51,0.0078
5.51,0.0092
5.57,0.0043
5.60,0.0212
5.64,0.0053
5.66,0.0047
5.69,0.0071
5.71,0.0192
5.73,0.0060
5.75,0.0052
5.78,0.0045
5.81,0.0077
5.83,0.0090
5.84,0.0104
5.85,0.0134
5.88,0.0128
5.89,0.0110
5.90,0.0099
5.91,0.0085
5.92,0.0087
5.94,0.0053
5.95,0.0053
5.96,0.0070
5.98,0.0048
5.99,0.0038
6.01,0.0034
6.03,0.0150
6.05,0.0059
6.10,0.0290
6.11,0.0352
6.11,0.0373
6.12,0.0389
6.13,0.0410
6.14,0.0504
6.15,0.0488
6.15,0.0470
6.18,0.0539
6.23,0.0167
6.24,0.0205
6.25,0.0191
6.26,0.0144
6.28,0.0159
6.31,0.0153
6.33,0.0066
6.35,0.0060
6.38,0.0150
6.40,0.0174
6.45,0.0267
6.47,0.0450
6.48,0.0709
6.51,0.0824
6.53,0.0734
6.54,0.0792
6.56,0.0969
6.59,0.0935
6.60,0.0952
6.61,0.1067
6.63,0.1149
6.68,0.2359
6.69,0.2433
6.70,0.2507
6.72,0.2912
6.73,0.3173
6.76,0.5137
6.77,0.3883
6.78,0.3788
6.79,0.3431
6.81,0.2692
6.83,0.2489
6.83,0.2368
6.84,0.2374
6.86,0.1980
6.87,0.1852
6.89,0.1685
6.91,0.1961
6.92,0.2311
6.93,0.2010
6.94,0.2036
6.95,0.1798
6.97,0.1761
6.98,0.2115
7.02,0.1091
7.04,0.0910
7.05,0.0744
7.07,0.0601
7.08,0.0632
7.11,0.0540
7.13,0.2670
7.16,0.0446
7.17,0.0371
7.19,0.0357
7.21,0.0416
7.24,0.0304
7.24,0.0305
7.25,0.0324
7.26,0.0311
7.28,0.0371
7.29,0.0239
7.31,0.0219
7.33,0.0261
7.34,0.0583
7.35,0.0580
7.36,0.0536
7.36,0.0536
7.39,0.0360
7.41,0.0624
7.43,0.0328
7.46,0.0273
7.49,0.0187
7.52,0.0333
7.53,0.0301
7.55,0.0470
7.59,0.0148
7.63,0.0106
7.67,0.0069
7.69,0.0093
7.70,0.0090
7.71,0.0105
7.74,0.0043
7.77,0.0031
7.78,0.0039
7.81,0.0471
7.82,0.0284
7.85,0.0078
7.86,0.0048
7.88,0.0079
7.90,0.0204
7.92,0.0147
7.95,0.0140
7.96,0.0173
7.98,0.0309
8.00,0.0287
8.01,0.0222
8.02,0.0259
8.07,0.0102
8.08,0.0070
8.11,0.0058
8.13,0.0049
8.14,0.0038
9.34,0.0064
9.50,0.0040
9.52,0.0116
9.54,0.0126
9.69,0.0175
9.71,0.0291
9.78,0.0037
