"ppm", "INTENSITY"
0.00,0.0822
0.26,0.0053
0.32,0.0038
0.33,0.0039
0.34,0.0041
0.48,0.0114
0.54,0.0956
0.61,0.5839
0.65,0.1808
0.66,0.1297
0.67,0.2359
0.74,0.0343
0.76,0.0414
0.80,0.1139
0.82,0.0786
0.83,0.0888
0.83,0.0844
0.85,0.0842
0.87,0.1133
0.88,0.1658
0.90,0.1217
0.92,0.1868
0.93,0.1967
0.95,0.2911
0.97,0.2189
0.99,0.1628
0.99,0.1613
1.01,0.1926
1.03,0.2388
1.03,0.2362
1.05,0.2393
1.07,0.2066
1.09,0.1715
1.10,0.1836
1.11,0.1811
1.12,0.2115
1.14,0.2421
1.17,0.9987
1.19,0.3040
1.22,0.8689
1.24,0.3101
1.26,0.5536
1.29,0.2358
1.30,0.2308
1.31,0.2212
1.34,0.1530
1.37,0.1277
1.39,0.1201
1.41,0.1194
1.46,0.2177
1.47,0.2369
1.48,0.2288
1.53,0.2025
1.54,0.2302
1.56,0.2206
1.57,0.2212
1.59,0.2220
1.61,0.1890
1.64,0.3078
1.66,0.1885
1.68,0.3780
1.69,0.2149
1.72,0.2484
1.73,0.2658
1.74,0.1496
1.78,0.1844
1.80,0.2246
1.84,0.2841
1.84,0.2855
1.86,0.3309
1.88,0.2832
1.90,0.2488
1.92,0.2253
1.96,0.2271
1.97,0.2958
1.98,0.2611
2.00,0.5058
2.02,0.2019
2.04,0.2039
2.07,0.1156
2.07,0.1085
2.11,0.2575
2.12,0.2178
2.19,0.0418
2.22,0.0354
2.24,0.0485
2.25,0.0618
2.26,0.0607
2.27,0.0626
2.29,0.0590
2.30,0.0544
2.36,0.1561
2.38,0.1410
2.42,0.0470
2.43,0.0472
2.45,0.0438
2.46,0.0466
2.48,0.0602
2.48,0.0563
2.50,0.0928
2.53,0.2633
2.56,0.2395
2.57,0.1244
2.59,0.0885
2.60,0.0657
2.61,0.0662
2.63,0.0704
2.64,0.0470
2.67,0.0312
2.69,0.0199
2.70,0.0213
2.73,0.0101
2.74,0.0124
2.76,0.0133
2.77,0.0137
2.81,0.0216
2.82,0.0229
2.83,0.0185
2.87,0.0080
2.90,0.0037
2.96,0.0031
2.97,0.0029
2.99,0.0038
3.00,0.0044
3.02,0.0044
3.03,0.0055
3.05,0.0091
3.08,0.0190
3.09,0.0241
3.11,0.0239
3.13,0.0251
3.14,0.0131
3.17,0.0265
3.19,0.0132
3.24,0.0297
3.26,0.0287
3.51,0.0403
3.51,0.0411
3.53,0.0417
3.54,0.0432
3.55,0.0461
3.57,0.0504
3.57,0.0541
3.59,0.0641
3.60,0.0777
3.61,0.0726
3.62,0.0738
3.63,0.1337
3.65,0.0928
3.65,0.0948
3.67,0.1047
3.69,0.1336
3.74,0.2095
3.75,0.2312
3.79,0.3500
3.81,0.3824
3.83,0.4254
3.83,0.4185
3.86,0.1599
3.87,0.1428
3.89,0.0994
3.94,0.0385
3.96,0.0396
3.97,0.0392
4.00,0.0429
4.81,0.0530
4.84,0.0781
4.87,0.0492
4.90,0.0393
4.99,0.0927
5.01,0.0934
5.05,0.0320
5.07,0.0283
5.10,0.0225
5.11,0.0204
5.13,0.0364
5.15,0.0997
5.17,0.0402
5.18,0.1083
5.21,0.0724
5.23,0.0300
5.25,0.0542
5.26,0.0686
5.28,0.0482
5.29,0.0424
5.30,0.0499
5.31,0.0332
5.32,0.0326
5.36,0.0164
5.44,0.0072
5.45,0.0057
5.60,0.0366
5.64,0.0030
5.70,0.0047
5.72,0.0149
5.73,0.0045
5.75,0.0042
5.82,0.0048
5.85,0.0639
5.87,0.0650
5.89,0.0605
5.91,0.0547
6.05,0.0037
6.10,0.0090
6.11,0.0096
6.13,0.0112
6.14,0.0128
6.15,0.0129
6.18,0.0131
6.18,0.0127
6.23,0.0038
6.24,0.0088
6.27,0.0082
6.28,0.0082
6.30,0.0063
6.40,0.0054
6.41,0.0051
6.45,0.0084
6.47,0.0142
6.48,0.0222
6.52,0.0288
6.55,0.0306
6.56,0.0327
6.58,0.0318
6.59,0.0385
6.61,0.0426
6.63,0.0479
6.70,0.1001
6.72,0.1188
6.76,0.2233
6.79,0.1408
6.81,0.1215
6.84,0.0900
6.86,0.0792
6.87,0.0760
6.90,0.0665
6.92,0.1007
6.93,0.0861
6.95,0.0687
6.97,0.0660
6.97,0.0727
7.01,0.0422
7.04,0.0304
7.06,0.0227
7.08,0.0253
7.10,0.0257
7.11,0.0200
7.12,0.0211
7.13,0.0722
7.16,0.0283
7.18,0.0171
7.20,0.0056
7.21,0.0065
7.26,0.0033
7.27,0.0032
7.28,0.0035
7.34,0.0144
7.36,0.0201
7.37,0.0160
7.40,0.0079
7.41,0.0222
7.43,0.0226
7.44,0.0232
7.46,0.0124
7.51,0.0041
7.54,0.0195
7.55,0.0190
7.55,0.0205
7.70,0.0055
7.79,0.0082
7.81,0.0138
7.86,0.0041
7.87,0.0035
7.91,0.0081
7.93,0.0065
7.96,0.0085
7.97,0.0104
7.99,0.0188
8.00,0.0203
8.04,0.0098
8.07,0.0074
8.08,0.0055
8.10,0.0040
9.53,0.0037
9.54,0.0044
9.69,0.0290
9.72,0.0104
9.78,0.0033
